Player,Mat_t20,Inns_t20,NO_t20,HS_t20,Ave_t20,SR_t20,4s_t20,6s_t20,Team_t20,Runs_t20,100s_t20,50s_t20,0s_t20,Mat_odi,Inns_odi,NO_odi,HS_odi,Ave_odi,SR_odi,4s_odi,6s_odi,Team_odi,Runs_odi,100s_odi,50s_odi,0s_odi,Price,Score,Price_score,Price_adjusted
C Munro,2,1,0,7,7,87.5,1,0,,7,0,0,0,,,,,,,,,,,,,,0,88.5,170.7787732598,1398.4713480045
LJ Wright,2,2,1,7,7,116.66,1,0,,7,0,0,1,2,2,0,1,0.5,7.14,0,0,,1,0,0,1,0,117.66,227.0489317712,1859.2558057199
BCJ Cutting,1,1,0,6,6,100,0,0,,6,0,0,0,1,1,0,26,26,118.18,2,1,,26,0,0,0,0,100,192.9703652653,1580.1936135644
PJ Hughes,1,1,0,6,6,75,1,0,,6,0,0,0,5,5,0,85,33.2,77.2,17,1,,166,0,2,0,0,76,146.6574776017,1200.947146309
S Prasanna,1,1,1,6,0,120,0,0,,6,0,0,0,10,9,0,29,8.88,85.1,5,5,,80,0,0,2,0,120,231.5644383184,1896.2323362773
DW Steyn,5,3,1,5,3,85.71,1,0,,6,0,0,1,19,10,3,23,9.57,54.03,9,1,,67,0,0,1,0,86.71,167.3246037216,1370.1858823217
SA Abbott,3,1,0,5,5,62.5,1,0,,5,0,0,0,1,1,0,3,3,42.85,0,0,,3,0,0,0,0,63.5,122.5361819435,1003.4229446134
KJ Abbott,7,2,1,2,4,100,0,0,,4,0,0,0,9,3,1,23,15,73.17,2,0,,30,0,0,0,0,100,192.9703652653,1580.1936135644
NJ Maddinson,1,1,0,4,4,66.66,0,0,,4,0,0,0,,,,,,,,,,,,,,0,66.66,128.6340454859,1053.3570628021
JM Muirhead,2,2,1,3,4,50,0,0,,4,0,0,0,,,,,,,,,,,,,,0,50,96.4851826327,790.0968067822
RJ Peterson,1,1,1,4,0,100,0,0,,4,0,0,0,2,1,0,11,11,91.66,0,1,,11,0,0,0,0,100,192.9703652653,1580.1936135644
NJ Reardon,2,1,0,4,4,50,0,0,,4,0,0,0,,,,,,,,,,,,,,0,50,96.4851826327,790.0968067822
Shamsur Rahman,3,2,0,4,2,30.76,0,0,,4,0,0,1,8,8,0,62,18.12,76.71,16,3,,145,0,1,2,0,30.76,59.3576843556,486.0675555324
BA Stokes,2,2,0,4,2,66.66,0,0,,4,0,0,1,9,8,1,33,12.71,81.65,7,2,,89,0,0,1,0,66.66,128.6340454859,1053.3570628021
PJ Cummins,3,2,1,3,3,42.85,0,0,,3,0,0,0,5,2,1,1,1,20,0,0,,1,0,0,1,0,42.85,82.6878015162,677.1129634124
GB Hogg,3,1,0,3,3,100,0,0,,3,0,0,0,,,,,,,,,,,,,,0,100,192.9703652653,1580.1936135644
AT Rayudu,1,1,1,3,0,60,0,0,,3,0,0,0,21,19,5,121,41.78,80.91,49,10,,585,1,4,0,0,60,115.7822191592,948.1161681387
SPD Smith,1,1,0,3,3,50,0,0,,3,0,0,0,17,16,2,104,53.78,88.69,62,5,,753,3,3,0,0,50,96.4851826327,790.0968067822
R Ashwin,7,1,1,2,0,66.66,0,0,,2,0,0,0,15,8,4,18,18.25,98.64,7,0,,73,0,0,1,0,66.66,128.6340454859,1053.3570628021
AF Milne,1,1,1,2,0,66.66,0,0,,2,0,0,0,12,3,2,19,27,65.85,1,0,,27,0,0,0,0,66.66,128.6340454859,1053.3570628021
TG Southee,4,2,1,2,2,66.66,0,0,,2,0,0,0,10,2,0,5,3,66.66,1,0,,6,0,0,0,0,66.66,128.6340454859,1053.3570628021
CR Woakes,2,2,1,2,2,100,0,0,,2,0,0,1,19,16,1,41,13.86,76.19,13,1,,208,0,0,2,0,100,192.9703652653,1580.1936135644
Al-Amin Hossain,8,2,1,1,1,20,0,0,,1,0,0,0,11,5,3,2,1.5,23.07,0,0,,3,0,0,2,0,20,38.5940730531,316.0387227129
DE Bollinger,7,2,2,1,0,100,0,0,,1,0,0,0,,,,,,,,,,,,,,0,100,192.9703652653,1580.1936135644
CJ Boyce,4,1,1,1,0,100,0,0,,1,0,0,0,,,,,,,,,,,,,,0,100,192.9703652653,1580.1936135644
JW Dernbach,6,1,1,1,0,100,0,0,,1,0,0,0,,,,,,,,,,,,,,0,100,192.9703652653,1580.1936135644
HMRKB Herath,3,1,1,1,0,100,0,0,,1,0,0,0,14,6,3,13,5.66,45.94,2,0,,17,0,0,1,0,100,192.9703652653,1580.1936135644
R McLaren,2,1,0,1,1,25,0,0,,1,0,0,0,14,9,3,24,12.5,58.13,6,0,,75,0,0,1,0,25,48.2425913163,395.0484033911
SD Parry,3,1,0,1,1,100,0,0,,1,0,0,0,2,0,0,0,0,0,0,0,,0,0,0,0,0,100,192.9703652653,1580.1936135644
LL Tsotsobe,5,1,1,1,0,50,0,0,,1,0,0,0,,,,,,,,,,,,,,0,50,96.4851826327,790.0968067822
BJ Watling,2,1,0,1,1,50,0,0,,1,0,0,0,,,,,,,,,,,,,,0,50,96.4851826327,790.0968067822
