Player,Mat_t20,Inns_t20,NO_t20,HS_t20,Ave_t20,SR_t20,4s_t20,6s_t20,Team_t20,Runs_t20,100s_t20,50s_t20,0s_t20,Mat_odi,Inns_odi,NO_odi,HS_odi,Ave_odi,SR_odi,4s_odi,6s_odi,Team_odi,Runs_odi,100s_odi,50s_odi,0s_odi,Price,Score,Price_score,Price_adjusted
V Kohli,7,7,3,77,96.25,133.68,33,11,,385,0,5,0,22,21,3,139,52.22,92.88,79,13,,940,4,3,1,0,182.68,352.5182632667,2886.6976932595
AD Hales,9,9,1,116,44.12,144.08,34,15,,353,1,1,1,7,7,0,42,18,70.39,13,1,,126,0,0,1,0,195.08,376.4465885596,3082.6417013415
AJ Finch,10,10,1,71,33.11,130.7,37,9,,298,0,2,0,19,18,0,135,45,83.5,77,14,,810,3,4,2,0,178.7,344.8380427292,2823.8059874396
F du Plessis,7,7,1,119,47.33,179.74,29,12,,284,1,1,0,22,21,1,126,47,84.6,73,16,,940,3,6,1,0,222.74,429.822191592,3519.7232548534
JP Duminy,11,10,4,86,44,120.54,19,10,,264,0,1,0,21,18,7,115,45.9,86.17,31,10,,505,1,2,0,0,150.54,290.4975878704,2378.8234658599
Q de Kock,10,10,1,48,26.66,124.35,20,10,,240,0,0,2,22,22,1,128,36.14,88.46,84,9,,759,2,4,0,0,154.35,297.849758787,2439.0288425367
KS Williamson,8,8,1,51,33.42,120,30,3,,234,0,1,1,14,14,2,123,71.41,90.68,84,5,,857,3,5,0,0,154,297.1743625086,2433.4981648892
DA Miller,12,11,3,47,26.37,122.67,16,5,,211,0,0,0,25,21,8,138,50.92,103.27,51,21,,662,2,2,1,0,143.67,277.2405237767,2270.264164608
GJ Maxwell,9,9,0,74,22.77,183.03,20,13,,205,0,1,1,18,17,0,95,28.7,110.65,58,8,,488,0,4,3,0,217.03,418.8035837354,3429.4941995189
EJG Morgan,9,9,0,71,22.77,128.93,18,10,,205,0,2,0,26,24,0,121,19.33,73.76,35,12,,464,1,1,4,0,158.93,306.6878015162,2511.4017100379
Anamul Haque,8,8,2,44,33.83,116.66,23,9,,203,0,0,1,19,18,0,109,36.66,69.32,59,12,,660,2,3,3,0,148.66,286.8697450034,2349.1158259249
RG Sharma,6,6,1,62,40,123.45,19,6,,200,0,2,0,10,10,1,264,65.11,101.73,60,17,,586,2,2,1,0,150.45,290.3239145417,2377.4012916077
RS Bopara,9,9,5,42,48.75,144.44,17,5,,195,0,0,0,20,18,3,65,25.93,73.12,17,3,,389,0,3,0,0,166.44,321.1798759476,2630.0742504166
HM Amla,7,7,0,56,27.28,124.83,22,3,,191,0,1,0,24,24,3,153,63.71,87.05,128,11,,1338,7,4,0,0,150.83,291.0572019297,2383.4060273392
Shakib Al Hasan,7,7,2,66,37.2,129.16,15,9,,186,0,1,1,13,12,1,101,32,102.92,35,5,,352,1,2,2,0,154.16,297.483115093,2436.0264746709
DA Warner,6,6,1,53,36.8,144.88,20,9,,184,0,1,0,13,12,0,127,36.41,96.25,52,7,,437,1,2,1,0,174.88,337.466574776,2763.4425914015
JC Buttler,9,9,0,67,20,120.8,15,4,,180,0,1,1,28,26,3,121,31.08,98.89,62,13,,715,1,3,1,0,140.8,271.7022742936,2224.9126078987
RR Rossouw,6,6,1,78,32,142.85,15,5,,160,0,2,1,14,14,0,132,29.71,100.24,41,10,,416,2,1,5,0,164.85,318.1116471399,2604.949171961
DPMD Jayawardene,6,6,1,89,31.6,125.39,20,3,,158,0,1,1,36,35,1,118,36,85.29,128,9,,1224,3,7,2,0,149.39,288.2784286699,2360.6512393039
TM Dilshan,7,7,1,55,24.33,108.95,16,3,,146,0,1,1,34,33,1,116,44.09,84.59,179,3,,1411,3,8,1,0,128.95,248.8352860096,2037.6596646913
BB McCullum,6,6,1,65,29.2,131.53,10,7,,146,0,1,1,14,13,0,117,35.76,127.74,57,21,,465,1,3,1,0,149.53,288.5485871813,2362.8635103629
MJ Lumb,7,7,0,63,20.28,124.56,17,5,,142,0,1,1,3,3,0,106,55,81.28,12,3,,165,1,0,0,0,147.56,284.7470709855,2331.7336961757
AB de Villiers,6,6,1,69,28,157.3,15,4,,140,0,1,0,22,21,4,149,69.58,117.71,102,31,,1183,3,7,0,0,177.3,342.1364576154,2801.6832768497
LRPL Taylor,8,7,1,62,23.33,122.8,9,6,,140,0,1,1,16,16,5,105,55.72,82.83,49,9,,613,2,3,0,0,138.8,267.8428669883,2193.3087356274
MDKJ Perera,7,7,0,61,19.28,145.16,13,8,,135,0,1,0,22,22,0,106,23,83.63,52,14,,506,1,2,6,0,167.16,322.5692625775,2641.4516444343
MN van Wyk,3,3,1,114,67.5,153.4,12,8,,135,1,0,0,1,1,0,18,18,75,4,0,,18,0,0,0,0,174.4,336.5403170227,2755.8576620564
SR Watson,9,8,0,47,15.75,108.62,8,5,,126,0,0,0,8,8,0,82,27.75,82.52,22,4,,222,0,1,1,0,121.62,234.6905582357,1921.8314728171
RR Hendricks,5,5,0,49,24.2,103.41,13,1,,121,0,0,1,,,,,,,,,,,,,,0,117.41,226.566505858,1855.305321686
NLTC Perera,6,5,2,49,39.66,183.07,13,6,,119,0,0,0,32,25,4,80,22.33,123.42,37,20,,469,0,3,3,0,202.07,389.9352170917,3193.0972349296
Mushfiqur Rahim,8,5,0,47,23.6,116.83,14,2,,118,0,0,0,19,18,1,117,45.58,87.96,58,13,,775,1,7,0,0,132.83,256.3225361819,2098.9711768976
AD Mathews,7,5,1,43,28.25,136.14,6,5,,113,0,0,0,38,36,12,139,57.83,86.53,125,24,,1388,1,9,1,0,147.14,283.9365954514,2325.0968829987
HDRL Thirimanne,4,4,0,44,27.75,115.62,10,3,,111,0,0,0,33,29,5,102,37.95,73.52,84,8,,911,2,5,2,0,128.62,248.1984838043,2032.4450257666
CJ Anderson,7,5,1,48,26,130,4,7,,104,0,0,0,17,14,1,81,26.84,106.72,35,10,,349,0,2,1,0,141,272.0882150241,2228.0729951258
Yuvraj Singh,6,5,0,60,20,98.03,8,4,,100,0,1,0,,,,,,,,,,,,,,0,111.03,214.2549965541,1754.4889691406
CL White,6,6,3,41,32.66,119.51,11,1,,98,0,0,1,1,1,0,0,0,0,0,0,,0,0,0,1,0,131.51,253.7753273604,2078.1126211986
Tamim Iqbal,8,8,1,30,13.42,88.67,9,1,,94,0,0,1,12,11,0,76,26.18,65.6,34,2,,288,0,2,1,0,98.67,190.4038594073,1559.177038504
TT Bresnan,6,5,3,47,46.5,186,8,5,,93,0,0,0,3,3,2,14,25,49.01,2,0,,25,0,0,0,0,199,384.011026878,3144.5852909932
SK Raina,7,5,2,35,29.33,127.53,8,3,,88,0,0,0,20,18,2,100,36.75,113.29,54,19,,588,1,5,1,0,138.53,267.3218470021,2189.0422128708
L Ronchi,8,6,1,33,16.6,125.75,6,3,,83,0,0,0,20,15,3,170,51.16,123.54,62,18,,614,1,2,2,0,134.75,260.027567195,2129.3108942781
BJ Hodge,5,5,2,35,27.33,136.66,3,4,,82,0,0,0,,,,,,,,,,,,,,0,143.66,277.2212267402,2270.1061452467
MJ Guptill,5,5,0,32,15.8,89.77,8,1,,79,0,0,0,18,17,1,76,26.31,73.85,48,5,,421,0,3,3,0,98.77,190.5968297726,1560.7572321176
MS Dhoni,7,5,4,27,77,132.75,4,4,,77,0,0,0,13,10,1,52,28,82.08,22,3,,252,0,2,0,0,140.75,271.605789111,2224.1225110919
KC Sangakkara,6,5,1,52,17.75,100,8,1,,71,0,1,1,37,36,2,128,47.73,89.66,173,10,,1623,5,10,2,0,110,212.2674017919,1738.2129749209
JP Faulkner,5,4,2,41,35,98.59,2,2,,70,0,0,0,14,13,8,50,52.8,101.93,28,5,,264,0,1,1,0,102.59,197.9682977257,1621.1206281558
CJ Jordan,6,5,1,27,17.5,148.93,3,5,,70,0,0,0,14,10,2,38,12.75,100.99,10,3,,102,0,0,2,0,156.93,302.8283942109,2479.7978377667
Nasir Hossain,7,4,1,23,22.33,106.34,4,1,,67,0,0,0,13,11,0,41,20.45,69.65,17,2,,225,0,0,0,0,111.34,214.8532046864,1759.3875693426
S Dhawan,4,4,0,33,16,98.46,7,2,,64,0,0,1,20,20,1,137,52.26,87.87,107,16,,993,2,7,0,0,107.46,207.3659545141,1698.0760571363
AM Rahane,4,4,0,32,15.5,106.89,4,2,,62,0,0,0,25,25,1,111,39.25,83.21,93,15,,942,2,6,3,0,112.89,217.844245348,1783.8805703529
Mahmudullah,8,5,3,33,29.5,122.91,5,2,,59,0,0,0,17,15,3,82,26.41,73.21,33,1,,317,0,2,3,0,129.91,250.6878015162,2052.8295233816
MM Ali,7,7,0,36,8.14,103.63,8,1,,57,0,0,2,20,20,0,128,34.9,105.27,64,25,,698,2,3,1,0,112.63,217.3425223983,1779.7720669576
JA Morkel,7,5,0,18,10.2,137.83,0,5,,51,0,0,0,,,,,,,,,,,,,,0,142.83,275.6195727085,2256.9905382541
GJ Bailey,6,6,2,12,12.25,104.25,1,4,,49,0,0,0,18,17,0,70,21.76,69.67,19,8,,370,0,3,1,0,109.25,210.8201240524,1726.3615228191
Mashrafe Mortaza,5,3,2,19,42,150,7,1,,42,0,0,0,14,12,3,39,13.33,100,12,5,,120,0,0,0,0,158,304.8931771192,2496.7059094318
BR Dunk,3,3,0,23,13,114.7,3,1,,39,0,0,0,,,,,,,,,,,,,,0,118.7,229.05582357,1875.689819301
JDS Neesham,6,6,2,11,9.5,111.76,3,1,,38,0,0,1,5,4,0,16,7.25,64.44,4,0,,29,0,0,0,0,115.76,223.3824948312,1829.2321270622
KDK Vithanage,1,1,0,38,38,146.15,7,0,,38,0,0,0,4,4,1,13,11.33,66.66,5,0,,34,0,0,0,0,153.15,295.5341144039,2420.0665191739
F Behardien,9,5,2,18,12.33,86.04,0,1,,37,0,0,0,11,8,1,63,20.85,115.87,15,2,,146,0,1,1,0,87.04,167.9614059269,1375.4005212465
BJ Haddin,7,4,2,15,16.5,122.22,2,1,,33,0,0,0,14,13,3,49,27.4,93.19,23,8,,274,0,0,0,0,125.22,241.6374913853,1978.7184429054
JE Root,2,2,0,26,15.5,86.11,2,0,,31,0,0,0,28,26,2,113,40.25,80.16,64,8,,966,3,3,1,0,88.11,170.0261888353,1392.3085929116
TWM Latham,3,2,0,26,14.5,107.4,3,0,,29,0,0,0,13,12,2,42,22.2,70.7,26,0,,222,0,0,0,0,110.4,213.0392832529,1744.5337493751
D Wiese,4,3,0,21,9,142.1,2,1,Royal Challengers Bangalore,27,0,0,1,,,,,,,,,,,,,,280,145.1,280,2292.860933282
Sabbir Rahman,4,3,1,21,12,88.88,1,1,,24,0,0,0,6,6,2,44,21.5,116.21,8,3,,86,0,0,1,0,90.88,175.3714679531,1436.0799560074
AP Devcich,2,2,0,21,11,88,3,0,,22,0,0,0,4,3,0,58,28,77.77,10,0,,84,0,1,1,0,91,175.6030323915,1437.9761883436
LD Chandimal,4,2,0,12,9.5,135.71,1,1,,19,0,0,0,18,18,2,64,20.12,74.02,23,1,,322,0,2,2,0,137.71,265.7394900069,2176.0846252396
JL Ontong,2,1,0,19,19,158.33,2,1,,19,0,0,0,,,,,,,,,,,,,,0,161.33,311.3190902826,2549.3263567635
WD Parnell,9,2,2,17,0,82.6,1,0,,19,0,0,0,13,7,4,24,30,71.42,5,1,,90,0,0,0,0,83.6,161.3232253618,1321.0418609399
SMSM Senanayake,7,2,1,17,18,150,1,1,,18,0,0,0,23,15,5,30,11.6,78.91,12,2,,116,0,0,2,0,152,293.3149552033,2401.8942926179
Imran Tahir,10,2,2,9,0,154.54,1,1,,17,0,0,0,19,7,4,23,18.33,90.16,8,0,,55,0,0,0,0,156.54,302.0758097864,2473.6350826738
KMDN Kulasekara,7,3,2,9,16,160,2,0,,16,0,0,1,20,17,5,42,8.16,69.5,4,3,,98,0,0,6,0,162,312.6119917298,2559.9136539744
Mominul Haque,2,1,0,16,16,84.21,2,0,,16,0,0,0,13,13,1,60,28.08,80.04,37,0,,337,0,3,0,0,86.21,166.3597518952,1362.2849142539
BE Hendricks,5,2,1,12,15,100,0,1,,15,0,0,0,,,,,,,,,,,,,,0,101,194.900068918,1595.9955497001
IR Bell,1,1,0,13,13,76.47,2,0,,13,0,0,0,18,18,2,141,38.56,93.06,54,5,,617,1,4,1,0,78.47,151.4238456237,1239.977928564
NL McCullum,6,4,1,4,3.66,57.89,1,0,,11,0,0,0,11,6,3,25,27,68.06,3,2,,81,0,0,0,0,58.89,113.6402481048,930.5760190281
Sohag Gazi,3,1,0,11,11,55,0,0,,11,0,0,0,9,8,2,24,11.5,81.17,4,3,,69,0,0,0,0,55,106.1337008959,869.1064874604
SCJ Broad,5,3,1,5,5,55.55,0,0,,10,0,0,0,11,8,5,28,19.66,67.81,5,2,,59,0,0,1,0,55.55,107.1950379049,877.797552335
RA Jadeja,7,2,0,7,5,142.85,1,0,,10,0,0,0,16,12,6,87,39,98.73,16,6,,234,0,2,0,0,143.85,277.5878704342,2273.1085131124
KD Mills,5,2,1,6,10,83.33,2,0,,10,0,0,0,5,3,0,30,10.33,134.78,2,1,,31,0,0,1,0,85.33,164.6616126809,1348.3792104545
MA Starc,7,3,0,4,3,90,0,0,,9,0,0,0,15,9,7,29,20,61.53,0,2,,40,0,0,0,0,90,173.6733287388,1422.174252208
JC Tredwell,9,2,1,8,9,128.57,1,0,,9,0,0,0,17,10,3,30,14.85,88.88,6,4,,104,0,0,1,0,129.57,250.0317022743,2047.4568650954
Ziaur Rahman,3,3,0,9,3,60,0,0,,9,0,0,2,6,5,0,41,14.6,137.73,7,4,,73,0,0,1,0,60,115.7822191592,948.1161681387
TA Boult,4,2,0,5,4,61.53,0,0,,8,0,0,0,11,3,1,21,22,84.61,4,3,,44,0,0,0,0,61.53,118.7346657478,972.2931304262
JJ Roy,1,1,0,8,8,80,1,0,,8,0,0,0,,,,,,,,,,,,,,0,81,156.3059958649,1279.9568269872
MA Carberry,1,1,0,7,7,100,1,0,,7,0,0,0,1,1,0,6,6,75,0,0,,6,0,0,0,0,101,194.900068918,1595.9955497001
