Player,Runs_t20,HS_t20,Bat Av_t20,Wkts_t20,BBI_t20,Bowl Av_t20,Ct_t20,St_t20,Ave Diff_t20,Team_t20,Matches_t20,100s_t20,5s_t20,Runs_odi,HS_odi,Bat Av_odi,Wkts_odi,BBI_odi,Bowl Av_odi,Ct_odi,St_odi,Ave Diff_odi,Team_odi,Matches_odi,100s_odi,5s_odi,Price,Score,Price_score,Price_adjusted
TM Dilshan,146,55,24.33,0,0,0,3,0,0,,7,0,0,1411,116,44.09,21,Mar-37,37.04,6,0,7.04,,34,3,0,0,79.33,2776.55,1361.6553675492
F du Plessis,284,119,47.33,0,0,0,6,0,0,,7,1,0,940,126,47,0,0,0,13,0,0,,22,3,0,0,166.33,5821.55,2854.9620229984
BJ Haddin,33,15,16.5,0,0,0,4,1,0,,7,0,0,274,49,27.4,0,0,0,10,1,0,,14,0,0,0,31.5,1102.5,540.6799959385
RA Jadeja,10,7,5,6,Mar-48,29.16,4,0,-24.16,,7,0,0,234,87,39,23,28-Apr,31.78,6,0,7.21,,16,0,0,0,18,630,308.9599976791
V Kohli,385,77,96.25,0,0,0,5,0,0,,7,0,0,940,139,52.22,0,0,0,11,0,0,,22,4,0,0,173.25,6063.75,2973.7399776617
KMDN Kulasekara,16,9,16,9,Apr-32,17.77,1,0,-1.77,,7,0,0,98,42,8.16,18,15-Mar,50.16,7,0,-41.99,,20,0,0,0,34,1190,583.5911067273
MJ Lumb,142,63,20.28,0,0,0,1,0,0,,7,0,0,165,106,55,0,0,0,1,0,0,,3,1,0,0,83.28,2914.8,1429.4549225955
SL Malinga,0,0,0,8,Mar-28,17.25,1,0,-17.24,,7,0,0,18,10,2.57,32,May-52,27.9,4,0,-25.33,,19,0,2,0,8,280,137.3155545241
AD Mathews,113,43,28.25,6,Mar-16,21.66,3,0,6.58,,7,0,0,1388,139,57.83,25,21-Mar,31.04,11,0,26.79,,38,1,0,0,77.25,2703.75,1325.953323373
JA Morkel,51,18,10.2,1,Jan-13,118,1,0,-107.79,,7,0,0,,,,,,,,,,,,,,0,29.2,1022,501.2017740128
Nasir Hossain,67,23,22.33,0,0,0,3,0,0,,7,0,0,225,41,20.45,0,0,0,7,0,0,,13,0,0,0,45.33,1586.55,778.064260822
MDKJ Perera,135,61,19.28,0,0,0,1,0,0,,7,0,0,506,106,23,0,0,0,6,0,0,,22,1,0,0,80.28,2809.8,1377.9615896489
SK Raina,88,35,29.33,1,Jan-24,94,4,0,-64.66,,7,0,0,588,100,36.75,6,12-Jan,39.5,13,0,-2.74,,20,1,0,0,65.33,2286.55,1121.3531471321
SMSM Senanayake,18,17,18,4,02-Mar,27.25,2,0,-9.24,,7,0,0,116,30,11.6,31,13-Apr,29.54,10,0,-17.94,,23,0,0,0,39,1365,669.4133283048
Shakib Al Hasan,186,66,37.2,8,03-Aug,17.87,2,0,19.32,,7,0,0,352,101,32,23,Apr-41,17.21,0,0,14.78,,13,1,0,0,111.2,3892,1908.6862078844
MA Starc,9,4,3,8,Feb-16,25.37,1,0,-22.37,,7,0,0,40,29,20,26,Jun-43,23.38,3,0,-3.38,,15,0,1,0,15,525,257.4666647326
Abdur Razzak,0,0,0,5,Feb-20,19.8,1,0,-19.79,,6,0,0,21,16,21,3,Jan-55,112.33,1,0,-91.33,,6,0,0,0,5,175,85.8222215775
GJ Bailey,49,12,12.25,0,0,0,1,0,0,,6,0,0,370,70,21.76,0,0,0,8,0,0,,18,0,0,0,24.25,848.75,416.2377746511
TT Bresnan,93,47,46.5,3,Feb-51,61.33,1,0,-14.83,,6,0,0,25,14,25,7,Mar-45,18,0,0,7,,3,0,0,0,96.5,3377.5,1656.3688764465
JW Dernbach,1,1,0,5,Feb-42,40.6,0,0,0,,6,0,0,,,,,,,,,,,,,,0,6,210,102.986665893
AB de Villiers,140,69,28,0,0,0,5,0,0,,6,0,0,1183,149,69.58,3,28-Feb,27.66,19,2,41.92,,22,3,0,0,97,3395,1664.9510986042
DPMD Jayawardene,158,89,31.6,0,0,0,3,0,0,,6,0,0,1224,118,36,1,5-Jan,5,16,0,31,,36,3,0,0,120.6,4221,2070.0319844502
CJ Jordan,70,27,17.5,8,Mar-39,19.75,5,0,-2.24,,6,0,0,102,38,12.75,24,29-May,28.7,10,0,-15.95,,14,0,1,0,52.5,1837.5,901.1333265641
B Kumar,0,0,0,4,01-Jul,25.75,1,0,0,,6,0,0,26,18,4.33,11,14-Feb,41.63,4,0,-37.3,,13,0,0,0,4,140,68.657777262
BB McCullum,146,65,29.2,0,0,0,1,0,0,,6,0,0,465,117,35.76,0,0,0,8,0,0,,14,1,0,0,94.2,3297,1616.8906545208
NL McCullum,11,4,3.66,4,01-Aug,31.5,3,0,-27.83,,6,0,0,81,25,27,8,Feb-33,48,3,0,-20.99,,11,0,0,0,11.66,408.1,200.1374207188
A Mishra,0,0,0,10,Mar-26,14.7,0,0,0,Delhi Daredevils,6,0,0,10,5,5,8,28-Feb,27,1,0,-21.99,Delhi Daredevils,6,0,0,350,10,350,171.6444431551
JDS Neesham,38,11,9.5,6,Mar-22,17.83,0,0,-8.33,,6,0,0,29,16,7.25,4,Feb-62,52.5,0,0,-45.24,,5,0,0,0,26.5,927.5,454.8577743609
NLTC Perera,119,49,39.66,1,Jan-24,56,1,0,-16.33,,6,0,0,469,80,22.33,29,Apr-34,40.2,17,0,-17.87,,32,0,0,0,89.66,3138.1,1538.9640773284
RR Rossouw,160,78,32,0,0,0,3,0,0,,6,0,0,416,132,29.71,1,17-Jan,17,10,0,12.71,,14,2,0,0,110,3850,1888.0888747058
KC Sangakkara,71,52,17.75,0,0,0,2,1,0,,6,0,0,1623,128,47.73,0,0,0,42,10,0,,37,5,0,0,69.75,2441.25,1197.2199910067
RG Sharma,200,62,40,0,0,0,4,0,0,,6,0,0,586,264,65.11,0,0,0,4,0,0,,10,2,0,0,102,3570,1750.7733201818
DA Warner,184,53,36.8,0,0,0,2,0,0,,6,0,0,437,127,36.41,0,0,0,8,0,0,,13,1,0,0,89.8,3143,1541.3670995326
CL White,98,41,32.66,0,0,0,2,0,0,,6,0,0,0,0,0,0,0,0,0,0,0,,1,0,0,0,73.66,2578.1,1264.3329682803
Yuvraj Singh,100,60,20,0,0,0,0,0,0,,6,0,0,,,,,,,,,,,,,,0,80,2800,1373.1555452406
SCJ Broad,10,5,5,4,Mar-24,32,0,0,-26.99,,5,0,0,59,28,19.66,10,Mar-55,48.9,4,0,-29.23,,11,0,0,0,14,490,240.3022204171
JP Faulkner,70,41,35,7,Mar-25,16,2,0,19,,5,0,0,264,50,52.8,14,Mar-47,38.35,6,0,14.44,,14,0,0,0,83,2905,1424.6488781871
MJ Guptill,79,32,15.8,0,0,0,2,0,0,,5,0,0,421,76,26.31,0,0,0,9,0,0,,18,0,0,0,47.8,1673,820.4604382813
BE Hendricks,15,12,15,5,Feb-31,29.8,0,0,-14.79,,5,0,0,,,,,,,,,,,,,,0,32,1120,549.2622180962
RR Hendricks,121,49,24.2,0,0,0,3,0,0,,5,0,0,,,,,,,,,,,,,,0,73.2,2562,1256.4373238952
BJ Hodge,82,35,27.33,1,Jan-13,13,1,0,14.33,,5,0,0,,,,,,,,,,,,,,0,63.33,2216.55,1087.0242585011
MJ McClenaghan,0,0,0,5,Feb-24,25.2,1,0,0,,5,0,0,45,34,0,18,Apr-36,30.16,0,0,0,,12,0,0,0,5,175,85.8222215775
Mashrafe Mortaza,42,19,42,3,01-Aug,47.33,0,0,-5.33,,5,0,0,120,39,13.33,21,20-Mar,22.8,4,0,-9.47,,14,0,0,0,64,2240,1098.5244361925
KD Mills,10,6,10,7,Mar-26,20.14,0,0,-10.14,,5,0,0,31,30,10.33,5,Feb-29,40.2,2,0,-29.86,,5,0,0,0,23,805,394.7822192567
DW Steyn,6,5,3,9,Apr-17,17,1,0,-13.99,,5,0,0,67,23,9.57,30,Apr-34,26,1,0,-16.42,,19,0,0,0,17,595,291.7955533636
LL Tsotsobe,1,1,0,1,Jan-46,146,1,0,0,,5,0,0,,,,,,,,,,,,,,0,2,70,34.328888631
TA Boult,8,5,4,8,Mar-20,11.87,2,0,-7.87,,4,0,0,44,21,22,17,Apr-44,27.05,0,0,-5.05,,11,0,0,0,17,595,291.7955533636
CJ Boyce,1,1,0,6,02-Oct,13.66,0,0,0,,4,0,0,,,,,,,,,,,,,,0,7,245,120.1511102086
LD Chandimal,19,12,9.5,0,0,0,4,0,0,,4,0,0,322,64,20.12,0,0,0,7,1,0,,18,0,0,0,21.5,752.5,369.0355527834
NM Coulter-Nile,0,0,0,5,Feb-17,20.6,1,0,-20.59,,4,0,0,11,9,11,5,Apr-48,23.6,0,0,-12.59,,3,0,0,0,5,175,85.8222215775
S Dhawan,64,33,16,0,0,0,1,0,0,,4,0,0,993,137,52.26,0,0,0,10,0,0,,20,2,0,0,49,1715,841.0577714599
Mohammed Shami,0,0,0,5,Mar-38,25,0,0,0,,4,0,0,69,25,13.8,35,Apr-35,20.54,5,0,-6.74,,17,0,0,0,5,175,85.8222215775
AM Rahane,62,32,15.5,0,0,0,5,0,0,,4,0,0,942,111,39.25,0,0,0,12,0,0,,25,2,0,0,47.5,1662.5,815.3111049866
Sabbir Rahman,24,21,12,1,01-Mar,16,1,0,-3.99,,4,0,0,86,44,21.5,0,0,0,2,0,0,,6,0,0,0,34,1190,583.5911067273
MM Sharma,0,0,0,3,01-Nov,34,0,0,0,,4,0,0,20,8,10,10,22-Apr,24.3,1,0,-14.29,,9,0,0,0,3,105,51.4933329465
TG Southee,2,2,2,6,Feb-20,24.33,2,0,-22.33,,4,0,0,6,5,3,22,Jul-33,17.86,1,0,-14.86,,10,0,1,0,10,350,171.6444431551
HDRL Thirimanne,111,44,27.75,0,0,0,0,0,0,,4,0,0,911,102,37.95,2,Feb-36,26.5,11,0,11.45,,33,2,0,0,71.75,2511.25,1231.5488796377
D Wiese,27,21,9,12,May-23,8.91,1,0,0.08,Royal Challengers Bangalore,4,0,1,,,,,,,,,,,,,,280,42,1470,720.9066612513
SA Abbott,5,5,5,1,Jan-17,47,2,0,-41.99,,3,0,0,3,3,3,1,25-Jan,25,0,0,-21.99,,1,0,0,0,11,385,188.8088874706
PJ Cummins,3,3,3,3,01-Nov,18.33,1,0,-15.33,,3,0,0,1,1,1,7,Mar-54,40.42,2,0,-39.42,,5,0,0,0,9,315,154.4799988396
M de Lange,0,0,0,4,Feb-26,25.5,1,0,0,,3,0,0,0,0,0,4,31-Mar,16.25,0,0,0,,2,0,0,0,4,140,68.657777262
BR Dunk,39,23,13,0,0,0,4,2,0,,3,0,0,,,,,,,,,,,,,,0,36,1260,617.9199953583
Farhad Reza,0,0,0,2,01-Feb,26,0,0,-25.99,,3,0,0,,,,,,,,,,,,,,0,2,70,34.328888631
HMRKB Herath,1,1,0,6,05-Mar,8.83,0,0,0,,3,0,1,17,13,5.66,19,Mar-36,28.57,4,0,-22.91,,14,0,0,0,7,245,120.1511102086
GB Hogg,3,3,3,2,Feb-31,32.5,1,0,-29.49,,3,0,0,,,,,,,,,,,,,,0,8,280,137.3155545241
TWM Latham,29,26,14.5,0,0,0,1,0,0,,3,0,0,222,42,22.2,0,0,0,7,0,0,,13,0,0,0,40.5,1417.5,695.1599947781
BAW Mendis,0,0,0,4,03-Dec,27,0,0,0,,3,0,0,33,18,6.6,38,Apr-60,21.63,6,0,-15.03,,17,0,0,0,4,140,68.657777262
SD Parry,1,1,1,0,0,0,2,0,0,,3,0,0,0,0,0,4,Mar-32,23,0,0,0,,2,0,0,0,2,70,34.328888631
K Rabada,0,0,0,1,Jan-25,90,0,0,0,,3,0,0,,,,,,,,,,,,,,0,1,35,17.1644443155
Shamsur Rahman,4,4,2,0,0,0,0,0,0,,3,0,0,145,62,18.12,0,0,0,3,0,0,,8,0,0,0,6,210,102.986665893
Sohag Gazi,11,11,11,0,0,0,1,0,0,,3,0,0,69,24,11.5,6,7-Jan,55.16,2,0,-43.66,,9,0,0,0,22,770,377.6177749412
MN van Wyk,135,114,67.5,0,0,0,3,0,0,,3,1,0,18,18,18,0,0,0,0,0,0,,1,0,0,0,181.5,6352.5,3115.3466432646
Ziaur Rahman,9,9,3,1,Jan-16,64,2,0,-60.99,,3,0,0,73,41,14.6,2,20-Jan,52,3,0,-37.39,,6,0,0,0,13,455,223.1377761016
DT Christian,0,0,0,0,0,0,0,0,0,,2,0,0,,,,,,,,,,,,,,0,0,0,0
AP Devcich,22,21,11,2,Feb-16,17.5,2,0,-6.49,,2,0,0,84,58,28,1,22-Jan,58,1,0,-29.99,,4,0,0,0,34,1190,583.5911067273
HF Gurney,0,0,0,3,Feb-26,18.33,0,0,0,,2,0,0,15,6,7.5,11,Apr-55,39.27,1,0,-31.77,,10,0,0,0,3,105,51.4933329465
MJ Henry,0,0,0,1,01-Sep,40,0,0,0,,2,0,0,21,20,21,17,30-May,16.82,1,0,4.17,,7,0,1,0,1,35,17.1644443155
R McLaren,1,1,1,1,Jan-27,43,0,0,-41.99,,2,0,0,75,24,12.5,23,Apr-48,25.34,3,0,-12.84,,14,0,0,0,3,105,51.4933329465
Mominul Haque,16,16,16,0,0,0,0,0,0,,2,0,0,337,60,28.08,3,Feb-37,44,0,0,-15.91,,13,0,0,0,32,1120,549.2622180962
M Morkel,0,0,0,2,Feb-31,40.5,0,0,0,,2,0,0,26,22,8.66,32,21-May,29.46,7,0,-20.8,,20,0,1,0,2,70,34.328888631
JM Muirhead,4,3,4,2,Jan-21,22.5,1,0,-18.49,,2,0,0,,,,,,,,,,,,,,0,9,315,154.4799988396
C Munro,7,7,7,0,0,0,0,0,0,,2,0,0,,,,,,,,,,,,,,0,14,490,240.3022204171
JL Ontong,19,19,19,0,0,0,4,0,0,,2,0,0,,,,,,,,,,,,,,0,38,1330,652.2488839893
AM Phangiso,0,0,0,2,Jan-23,28,0,0,0,,2,0,0,18,13,6,11,Mar-43,30,3,0,-23.99,,9,0,0,0,2,70,34.328888631
NJ Reardon,4,4,4,0,0,0,0,0,0,,2,0,0,,,,,,,,,,,,,,0,8,280,137.3155545241
KW Richardson,0,0,0,1,Jan-13,41,2,0,0,,2,0,0,11,9,0,8,Feb-36,35.5,0,0,0,,7,0,0,0,1,35,17.1644443155
JE Root,31,26,15.5,1,Jan-16,16,1,0,-0.49,,2,0,0,966,113,40.25,6,15-Feb,58,11,0,-17.74,,28,3,0,0,42.5,1487.5,729.4888834091
Rubel Hossain,0,0,0,0,0,0,0,0,0,,2,0,0,39,17,9.75,14,Mar-76,33.57,3,0,-23.82,,11,0,0,0,0,0,0
IS Sodhi,0,0,0,2,Jan-16,25.5,0,0,0,,2,0,0,,,,,,,,,,,,,,0,2,70,34.328888631
BA Stokes,4,4,2,0,0,0,0,0,0,,2,0,0,89,33,12.71,4,Mar-47,62.75,4,0,-50.03,,9,0,0,0,6,210,102.986665893
Taskin Ahmed,0,0,0,1,Jan-24,24,0,0,0,,2,0,0,1,1,1,8,28-May,14,0,0,-12.99,,4,0,1,0,1,35,17.1644443155
BJ Watling,1,1,1,0,0,0,1,0,0,,2,0,0,,,,,,,,,,,,,,0,2,70,34.328888631
CR Woakes,2,2,2,2,Jan-31,37,0,0,-34.99,,2,0,0,208,41,13.86,32,Jun-47,28.65,11,0,-14.78,,19,0,1,0,6,210,102.986665893
LJ Wright,7,7,7,1,Jan-20,20,0,0,-12.99,,2,0,0,1,1,0.5,0,0,0,1,0,0,,2,0,0,0,15,525,257.4666647326
IR Bell,13,13,13,0,0,0,0,0,0,,1,0,0,617,141,38.56,0,0,0,9,0,0,,18,1,0,0,26,910,446.2755522032
DG Brownlie,0,0,0,0,0,0,1,0,0,,1,0,0,181,47,30.16,0,0,0,3,0,0,,7,0,0,0,0,0,0
MA Carberry,7,7,7,0,0,0,1,0,0,,1,0,0,6,6,6,0,0,0,0,0,0,,1,0,0,0,14,490,240.3022204171
BCJ Cutting,6,6,6,0,0,0,1,0,0,,1,0,0,26,26,26,0,0,0,0,0,0,,1,0,0,0,12,420,205.9733317861
ST Finn,0,0,0,1,Jan-28,28,0,0,0,,1,0,0,18,6,2.57,27,May-33,26.85,3,0,-24.28,,16,0,2,0,1,35,17.1644443155
MC Henriques,0,0,0,1,Jan-15,15,1,0,0,,1,0,0,4,4,4,1,Jan-34,34,0,0,-29.99,,1,0,0,0,1,35,17.1644443155
PJ Hughes,6,6,6,0,0,0,0,0,0,,1,0,0,166,85,33.2,0,0,0,0,0,0,,5,0,0,0,12,420,205.9733317861
RAS Lakmal,0,0,0,1,Jan-44,44,1,0,0,,1,0,0,14,7,7,21,30-Apr,25.33,2,0,-18.33,,13,0,0,0,1,35,17.1644443155
NJ Maddinson,4,4,4,0,0,0,0,0,0,,1,0,0,,,,,,,,,,,,,,0,8,280,137.3155545241
AF Milne,2,2,0,0,0,0,0,0,0,,1,0,0,27,19,27,15,28-Feb,33.2,6,0,-6.19,,12,0,0,0,2,70,34.328888631
Mohammad Mithun,0,0,0,0,0,0,0,0,0,,1,0,0,26,26,26,0,0,0,0,0,0,,2,0,0,0,0,0,0
RJ Peterson,4,4,0,3,Mar-28,9.33,1,0,0,,1,0,0,11,11,11,5,Apr-32,15.2,1,0,-4.19,,2,0,0,0,7,245,120.1511102086
S Prasanna,6,6,0,1,Jan-15,15,0,0,0,,1,0,0,80,29,8.88,10,Mar-35,40.4,1,0,-31.51,,10,0,0,0,7,245,120.1511102086
AT Rayudu,3,3,0,0,0,0,2,0,0,,1,0,0,585,121,41.78,2,8-Jan,41.5,9,0,0.28,,21,1,0,0,3,105,51.4933329465
JJ Roy,8,8,8,0,0,0,0,0,0,,1,0,0,,,,,,,,,,,,,,0,16,560,274.6311090481
KV Sharma,0,0,0,1,Jan-28,28,0,0,0,,1,0,0,0,0,0,0,0,0,3,0,0,,2,0,0,0,1,35,17.1644443155
SPD Smith,3,3,3,0,0,0,0,0,0,,1,0,0,753,104,53.78,5,16-Mar,23,17,0,30.78,,17,3,0,0,6,210,102.986665893
DL Vettori,0,0,0,1,Jan-28,28,0,0,-27.99,,1,0,0,101,35,16.83,12,24-Mar,41.5,8,0,-24.66,,14,0,0,0,1,35,17.1644443155
KDK Vithanage,38,38,38,0,0,0,0,0,0,,1,0,0,34,13,11.33,0,0,0,2,0,0,,4,0,0,0,76,2660,1304.4977679786
