Player,Runs_t20,HS_t20,Bat Av_t20,Wkts_t20,BBI_t20,Bowl Av_t20,Ct_t20,St_t20,Ave Diff_t20,Team_t20,Matches_t20,100s_t20,5s_t20,Runs_odi,HS_odi,Bat Av_odi,Wkts_odi,BBI_odi,Bowl Av_odi,Ct_odi,St_odi,Ave Diff_odi,Team_odi,Matches_odi,100s_odi,5s_odi,Price,Score,Price_score,Price_adjusted
DA Miller,211,47,26.37,0,0,0,10,0,0,,12,0,0,662,138,50.92,0,0,0,13,0,0,,25,2,0,0,73.37,2567.95,1259.3552794288
JP Duminy,264,86,44,3,02-May,52.33,5,0,-8.33,,11,0,0,505,115,45.9,13,Mar-35,42.15,8,0,3.75,,21,1,0,0,133,4655,2282.8710939625
Q de Kock,240,48,26.66,0,0,0,7,2,0,,10,0,0,759,128,36.14,0,0,0,37,2,0,,22,2,0,0,74.66,2613.1,1281.4974125958
AJ Finch,298,71,33.11,0,0,0,3,0,0,,10,0,0,810,135,45,0,0,0,9,0,0,,19,3,0,0,104.11,3643.85,1786.9902976875
Imran Tahir,17,9,0,18,Apr-21,14.33,1,0,0,,10,0,0,55,23,18.33,33,28-Apr,22.75,2,0,-4.42,,19,0,0,0,27,945,463.4399965187
F Behardien,37,18,12.33,0,0,0,3,0,0,,9,0,0,146,63,20.85,6,21-Feb,43.66,4,0,-22.8,,11,0,0,0,30.33,1061.55,520.5975960893
RS Bopara,195,42,48.75,6,Feb-23,21.16,1,0,27.58,,9,0,0,389,65,25.93,5,26-Feb,56.8,5,0,-30.86,,20,0,0,0,96.75,3386.25,1660.6599875254
JC Buttler,180,67,20,0,0,0,2,1,0,,9,0,0,715,121,31.08,0,0,0,33,7,0,,28,1,0,0,87,3045,1493.3066554492
AD Hales,353,116,44.12,0,0,0,8,0,0,,9,1,0,126,42,18,0,0,0,1,0,0,,7,0,0,0,160.12,5604.2,2748.3708237991
GJ Maxwell,205,74,22.77,6,Mar-13,24.5,7,0,-1.72,,9,0,0,488,95,28.7,17,Apr-46,27.11,15,0,1.58,,18,0,0,0,102.77,3596.95,1763.9899423047
EJG Morgan,205,71,22.77,0,0,0,1,0,0,,9,0,0,464,121,19.33,0,0,0,12,0,0,,26,1,0,0,93.77,3281.95,1609.5099434651
WD Parnell,19,17,0,13,Mar-31,19.69,0,0,0,,9,0,0,90,24,30,20,Apr-42,28.4,1,0,1.6,,13,0,0,0,30,1050,514.9333294652
JC Tredwell,9,8,9,3,Jan-16,71.33,0,0,-62.33,,9,0,0,104,30,14.85,23,Apr-41,28.21,5,0,-13.36,,17,0,0,0,20,700,343.2888863101
SR Watson,126,47,15.75,3,Jan-25,49.33,1,0,-33.58,,9,0,0,222,82,27.75,1,Jan-48,200,2,0,-172.24,,8,0,0,0,65.75,2301.25,1128.5622137446
Al-Amin Hossain,1,1,1,10,Mar-21,18.7,1,0,-17.69,,8,0,0,3,2,1.5,17,Apr-51,26,1,0,-24.49,,11,0,0,0,12,420,205.9733317861
Anamul Haque,203,44,33.83,0,0,0,0,0,0,,8,0,0,660,109,36.66,0,0,0,8,0,0,,19,2,0,0,77.83,2724.05,1335.908701076
Mahmudullah,59,33,29.5,5,Feb-13,15.8,2,0,13.7,,8,0,0,317,82,26.41,11,Feb-38,40.09,11,0,-13.67,,17,0,0,0,67.5,2362.5,1158.5999912968
Mushfiqur Rahim,118,47,23.6,0,0,0,2,4,0,,8,0,0,775,117,45.58,0,0,0,15,2,0,,19,1,0,0,70.6,2471,1211.8097686748
L Ronchi,83,33,16.6,0,0,0,7,1,0,,8,0,0,614,170,51.16,0,0,0,31,3,0,,20,1,0,0,49.6,1736,851.3564380492
Tamim Iqbal,94,30,13.42,0,0,0,3,0,0,,8,0,0,288,76,26.18,0,0,0,1,0,0,,12,0,0,0,43.42,1519.7,745.2801721793
LRPL Taylor,140,62,23.33,0,0,0,2,0,0,,8,0,0,613,105,55.72,0,0,0,9,0,0,,16,2,0,0,85.33,2986.55,1464.6420334423
KS Williamson,234,51,33.42,1,01-Nov,41,4,0,-7.57,,8,0,0,857,123,71.41,1,Jan-50,117,9,0,-45.58,,14,3,0,0,85.42,2989.7,1466.1868334307
KJ Abbott,4,2,4,6,Mar-21,29.16,6,0,-25.16,,7,0,0,30,23,15,6,21-Feb,54.33,1,0,-39.33,,9,0,0,0,12,420,205.9733317861
MM Ali,57,36,8.14,1,Jan-31,72,1,0,-63.85,,7,0,0,698,128,34.9,19,Feb-34,39,8,0,-4.09,,20,2,0,0,45.14,1579.9,774.803016402
HM Amla,191,56,27.28,0,0,0,2,0,0,,7,0,0,1338,153,63.71,0,0,0,12,0,0,,24,7,0,0,83.28,2914.8,1429.4549225955
CJ Anderson,104,48,26,7,Feb-28,27.42,8,0,-1.42,,7,0,0,349,81,26.84,22,Apr-52,26.63,2,0,0.2,,17,0,0,0,81,2835,1390.3199895561
R Ashwin,2,2,0,11,04-Nov,14.63,2,0,0,,7,0,0,73,18,18.25,27,31-Mar,25.07,7,0,-6.82,,15,0,0,0,13,455,223.1377761016
DE Bollinger,1,1,0,7,Jan-22,27.14,2,0,0,,7,0,0,,,,,,,,,,,,,,0,8,280,137.3155545241
MS Dhoni,77,27,77,0,0,0,3,3,0,,7,0,0,252,52,28,0,0,0,8,5,0,,13,0,0,0,104,3640,1785.1022088128
