Player,Mat_t20,Inns_t20,Overs_t20,Mdns_t20,Runs_t20,BBI_t20,Ave_t20,Econ_t20,SR_t20,Team_t20,Wkts_t20,4s_t20,5s_t20,Mat_odi,Inns_odi,Overs_odi,Mdns_odi,Runs_odi,BBI_odi,Ave_odi,Econ_odi,SR_odi,Team_odi,Wkts_odi,4s_odi,5s_odi,Price
LMP Simmons,,,,,,,,,,,,,,9.0,2.0,2.0,0.0,25.0,0,0.0,12.5,0.0,,0.0,0.0,0.0,0.0
Soumya Sarkar,,,,,,,,,,,,,,2.0,1.0,3.0,0.0,13.0,0,0.0,4.33,0.0,,0.0,0.0,0.0,0.0
RV Uthappa,,,,,,,,,,,,,,5.0,1.0,0.2,0.0,0.0,0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0
GS Ballance,,,,,,,,,,,,,,10.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0
DM Bravo,,,,,,,,,,,,,,12.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0
JL Carter,,,,,,,,,,,,,,6.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0
AN Cook,,,,,,,,,,,,,,15.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0
N Dickwella,,,,,,,,,,,,,,1.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0
KA Edwards,,,,,,,,,,,,,,5.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0
Imrul Kayes,,,,,,,,,,,,,,5.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0
KM Jadhav,,,,,,,,,,,,,,1.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0
LR Johnson,,,,,,,,,,,,,,3.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0
JH Kallis,,,,,,,,,,,,,,3.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0
SHT Kandamby,,,,,,,,,,,,,,1.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0
KD Karthik,,,,,,,,,,,,,,4.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0
FDM Karunaratne,,,,,,,,,,,,,,9.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0
SE Marsh,,,,,,,,,,,,,,1.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0
KOA Powell,,,,,,,,,,,,,,4.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0
CA Pujara,,,,,,,,,,,,,,3.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0
D Ramdin,,,,,,,,,,,,,,18.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0
WP Saha,,,,,,,,,,,,,,6.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0
JWA Taylor,,,,,,,,,,,,,,12.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0
WU Tharanga,,,,,,,,,,,,,,5.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0
MK Tiwary,,,,,,,,,,,,,,1.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0
MS Wade,,,,,,,,,,,,,,5.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0
