Player,Mat_t20,Inns_t20,NO_t20,HS_t20,Ave_t20,SR_t20,4s_t20,6s_t20,Team_t20,Runs_t20,100s_t20,50s_t20,0s_t20,Mat_odi,Inns_odi,NO_odi,HS_odi,Ave_odi,SR_odi,4s_odi,6s_odi,Team_odi,Runs_odi,100s_odi,50s_odi,0s_odi,Price,Score,Price_score,Price_adjusted
V Kohli,15,13,5,89,61.75,130.68,58,6,RCB,494,0,4,0,8,8,2,154,90.5,102.84,48,9,RCB,543,2,3,0,1250,198.68,1250,2079.2038066015
GJ Maxwell,9,9,2,145,61.57,178.09,41,21,,431,1,2,0,12,10,1,78,27.44,124.12,29,5,,247,0,2,2,0,243.09,1529.4065834508,2543.9583921218
JE Root,12,12,2,83,42.3,128.57,39,11,,423,0,2,0,12,11,1,93,57.7,91.15,53,2,,577,0,7,0,0,180.57,1136.0604992954,1889.6810517316
Sabbir Rahman,15,15,2,80,31.15,125,38,13,,405,0,1,0,9,9,0,65,23.77,84.92,20,7,,214,0,1,0,0,177,1113.5997584055,1852.3206853657
JC Buttler,13,12,4,73,47.62,150,25,21,,381,0,3,1,14,11,2,93,52.33,121.07,38,15,,471,0,5,0,0,199,1252.0132876988,2082.5526349592
HM Amla,8,8,3,97,74,146.24,41,12,,370,0,5,0,16,16,1,154,41.4,92.68,72,7,,621,2,2,0,0,204.24,1284.9808737669,2137.3896993169
Tamim Iqbal,11,11,2,103,40.33,138.02,32,16,,363,1,1,0,9,9,0,118,45.22,73.73,44,2,,407,1,2,0,0,188.02,1182.9323535333,1967.6459619348
LD Chandimal,14,14,1,58,24.84,106.95,32,7,,323,0,3,0,15,15,2,102,51.38,74.72,38,5,,668,2,5,0,0,148.95,937.1225085565,1558.774949634
F du Plessis,10,10,1,79,33.77,128.27,24,11,,304,0,1,0,17,16,2,185,60.35,98.83,75,9,,845,3,4,0,0,164.27,1033.5086571371,1719.10010726
MS Dhoni,18,15,10,56,59.8,142.38,20,10,RPS,299,0,1,0,11,8,0,134,44.62,82.25,26,12,RPS,357,1,1,0,1250,173.38,1090.8244413127,1814.437064569
RG Sharma,12,12,1,83,27.09,134.23,28,13,,298,0,2,1,5,5,0,70,24.6,77.84,11,5,,123,0,1,0,0,177.23,1115.046808939,1854.7276557478
Mahmudullah,15,13,5,52,37,133.33,23,11,,296,0,1,0,9,9,1,75,28.62,82.97,20,3,,229,0,2,1,0,168.33,1059.0522448158,1761.5883670487
AB de Villiers,10,10,1,71,32.22,169.59,17,20,,290,0,3,1,13,12,3,64,41.55,94.68,24,4,,374,0,2,0,0,209.59,1318.6405274814,2193.3779234226
JJ Roy,13,13,0,78,22.23,133.79,29,13,,289,0,1,2,15,15,2,162,59.3,111.41,80,14,,771,2,5,1,0,176.79,1112.2785383531,1850.123016756
EJG Morgan,13,13,2,51,25.72,122.51,9,16,,283,0,1,2,13,11,2,102,48.55,98.86,36,16,,437,1,2,0,0,148.51,934.3542379706,1554.1703106422
KS Williamson,9,9,1,73,35.12,110.19,29,5,,281,0,2,0,15,15,1,118,45.85,84.25,67,6,,642,1,4,0,0,146.19,919.7579021542,1529.8913050487
KL Rahul,8,7,2,110,56,150.53,26,11,,280,1,1,1,6,6,2,100,55,81.78,18,4,,220,1,1,0,0,189.53,1192.4325548621,1983.4482457478
TM Dilshan,10,10,2,83,33.75,121.07,32,6,,270,0,2,0,3,3,0,42,24.66,71.84,9,0,,74,0,0,0,0,161.07,1013.375780149,1685.6118236828
Shakib Al Hasan,15,15,3,50,21.83,111.01,21,5,,262,0,1,0,9,9,0,79,28,91.97,23,3,,252,0,2,0,0,138.01,868.2932353533,1444.2868801544
Soumya Sarkar,15,15,0,48,16.66,109.64,28,5,,250,0,0,3,4,4,0,20,8,60.37,3,0,,32,0,0,1,0,142.64,897.4229917455,1492.7402404552
Q de Kock,8,8,0,52,28.62,143.12,31,8,,229,0,1,1,19,19,1,178,48.88,107.44,99,19,,880,2,6,0,0,183.12,1152.1038856453,1916.3670277072
DA Miller,12,10,2,53,28.62,165.94,16,14,,229,0,1,0,8,7,3,118,88,122.22,27,12,,352,2,0,0,0,196.94,1239.0527481377,2060.9945524064
UT Khawaja,8,8,0,58,28.37,128.97,29,5,,227,0,1,0,13,12,1,98,32.81,81.12,31,6,,361,0,3,1,0,163.97,1031.6211999195,1715.9605806747
AD Mathews,9,9,3,73,37.16,105.18,11,9,,223,0,2,0,11,11,1,73,42.5,83.49,29,7,,425,0,4,1,0,127.18,800.1560297967,1330.9499704227
DA Warner,9,9,0,77,24.55,144.44,23,7,,221,0,1,0,22,22,1,179,67.09,106.58,150,21,,1409,8,2,0,0,175.44,1103.7849808738,1835.9951471218
C Munro,9,9,0,101,24.33,134.35,18,11,,219,1,0,3,8,7,0,87,25,91.14,14,6,,175,0,1,0,0,164.35,1034.0119790618,1719.9373143495
AJ Finch,7,7,0,53,29.71,140.54,15,11,,208,0,1,0,22,20,0,72,25.1,93.13,56,18,,502,0,5,2,0,167.54,1054.0819408094,1753.3209470405
CJ Anderson,9,9,1,94,25.37,130.12,12,11,,203,0,1,1,4,4,0,21,7.75,53.44,4,0,,31,0,0,1,0,154.12,969.6496879404,1612.8794577885
CK Kapugedera,13,13,2,43,18.45,107.97,16,5,,203,0,0,0,,,,,,,,,,,,,,0,128.97,811.4178578619,1349.6824790487
SK Raina,13,10,0,63,18.4,119.48,12,8,,184,0,1,1,,,,,,,,,,,,,,0,140.48,883.8332997785,1470.1356490406
Yuvraj Singh,12,11,2,35,20.44,110.17,15,9,,184,0,0,0,3,3,0,150,70,107.14,28,5,,210,1,0,0,0,134.17,844.1337829676,1404.1009398617
N Dickwella,6,5,0,68,35.4,150,28,4,,177,0,1,0,10,9,0,94,41.77,99.73,42,3,,376,0,3,0,0,183,1151.3489027582,1915.111217073
DAS Gunaratne,6,6,3,84,54.66,156.19,15,6,,164,0,2,0,10,8,2,114,37,88.09,22,3,,222,1,0,0,0,179.19,1127.3781960942,1875.2392294389
