Player,Mat_t20,Inns_t20,NO_t20,HS_t20,Ave_t20,SR_t20,4s_t20,6s_t20,Team_t20,Runs_t20,100s_t20,50s_t20,0s_t20,Mat_odi,Inns_odi,NO_odi,HS_odi,Ave_odi,SR_odi,4s_odi,6s_odi,Team_odi,Runs_odi,100s_odi,50s_odi,0s_odi,Price,Score,Price_score,Price_adjusted
AM Rahane,5,5,1,33,22,104.76,8,0,,88,0,0,0,20,18,1,89,42.17,86.28,69,8,,717,0,7,0,0,112.76,14.2981529228,1130.7236302486
DA Miller,8,6,3,30,28.33,119.71,5,4,,85,0,0,0,18,16,2,49,26.28,101.09,31,5,,368,0,0,2,0,128.71,16.3206390803,1290.6654704621
CJ Anderson,5,3,1,82,42,178.72,6,4,,84,0,1,1,13,12,1,58,23.09,82.46,16,12,,254,0,1,1,0,189.72,24.0568071347,1902.4555439054
F Behardien,4,4,2,36,41.5,118.57,8,2,Kings XI Punjab,83,0,0,0,19,16,6,70,44.9,101.12,30,13,Kings XI Punjab,449,0,2,0,30,128.57,16.3028868507,1289.2615922408
RV Uthappa,2,2,1,42,81,135,11,0,,81,0,0,0,3,3,0,31,14.66,75.86,4,0,,44,0,0,1,0,146,18.5130394353,1464.0444307937
MDKJ Perera,4,4,0,40,18.75,129.31,11,1,,75,0,0,0,10,10,0,116,42,114.44,41,14,,420,1,3,1,0,141.31,17.9183397439,1417.0145103799
MM Ali,5,5,1,72,18.25,128.07,6,3,,73,0,1,3,18,17,4,128,23.53,96.22,33,7,,306,1,0,0,0,138.07,17.5075024304,1384.5247572582
MS Dhoni,9,7,4,20,23,168.29,6,3,,69,0,0,0,20,18,3,92,42.53,94.23,47,14,,638,0,4,1,0,177.29,22.4806627499,1777.8112132563
GD Elliott,8,6,1,20,13,118.18,5,1,,65,0,0,0,24,21,2,84,34.1,102.36,55,17,,648,0,4,2,0,124.18,15.7462276512,1245.2399823011
MD Gunathilaka,4,4,0,46,16.25,108.33,4,3,,65,0,0,0,6,5,0,65,23.4,86.66,14,4,,117,0,1,0,0,115.33,14.6240331375,1156.4948233112
HH Pandya,7,3,0,31,20,166.66,5,3,,60,0,0,0,,,,,,,,,,,,,,0,174.66,22.1471744368,1751.4383580989
Mashrafe Mortaza,10,6,1,22,11.8,155.26,4,5,,59,0,0,2,16,10,1,21,10.66,101.05,13,1,,96,0,0,1,0,164.26,20.8284373811,1647.1502616588
Q de Kock,2,2,0,44,28,143.58,4,3,,56,0,0,0,20,20,2,138,45.88,99.39,107,13,,826,4,1,1,0,150.58,19.0937909464,1509.9713040337
MD Shanaka,4,4,0,27,14,103.7,2,5,,56,0,0,0,,,,,,,,,,,,,,0,110.7,14.0369415444,1110.0665649922
Nurul Hasan,4,3,2,30,52,140.54,7,0,,52,0,0,0,,,,,,,,,,,,,,0,147.54,18.7083139609,1479.4870912281
CR Woakes,2,2,1,37,52,167.74,3,3,,52,0,0,0,13,10,3,42,19.85,82.73,9,1,,139,0,0,2,0,173.74,22.030516928,1742.2128726445
Liton Das,3,3,0,22,16.33,108.88,3,1,,49,0,0,0,9,9,1,36,15.5,73.8,12,2,,124,0,0,2,0,112.88,14.3133691196,1131.9269544383
NLTC Perera,7,6,0,28,8.16,85.96,4,1,,49,0,0,1,12,8,1,47,15,92.1,8,2,,105,0,0,1,0,90.96,11.5338771715,912.1197357877
Anamul Haque,2,2,0,47,24,90.56,3,0,,48,0,0,0,3,2,0,29,29,59.18,5,1,,58,0,0,0,0,93.56,11.8635614354,938.1917598977
GJ Maxwell,3,3,0,44,16,123.07,6,1,,48,0,0,0,20,17,2,102,40.06,142.41,59,23,,601,1,3,2,0,130.07,16.4930893106,1304.3031446119
M Vijay,2,2,0,34,23.5,156.66,5,2,,47,0,0,0,3,3,0,72,28.66,68.8,3,2,,86,0,1,0,0,163.66,20.7523563971,1641.1336407103
L Ronchi,9,6,0,29,7.66,100,3,1,,46,0,0,1,29,21,1,37,10.9,94.37,18,7,,218,0,0,2,0,104,13.1873705567,1042.880964401
DM de Silva,2,2,0,31,22.5,95.74,2,0,,45,0,0,0,,,,,,,,,,,,,,0,97.74,12.3935922905,980.1075525053
LRPL Taylor,5,3,2,22,45,173.07,6,1,,45,0,0,0,20,18,6,119,65,83.33,62,9,,780,3,3,1,0,180.07,22.833171309,1805.6882236509
Imrul Kayes,4,4,0,18,10.75,82.69,5,1,,43,0,0,0,5,5,0,76,31.6,72.14,12,8,,158,0,2,0,0,88.69,11.2460374488,889.3568531993
R Ashwin,9,2,1,31,42,107.69,6,0,,42,0,0,0,13,7,3,16,8.5,51.51,0,0,,34,0,0,1,0,113.69,14.4160784479,1140.0493927188
Yuvraj Singh,7,4,1,15,13.33,93.02,2,2,,40,0,0,1,,,,,,,,,,,,,,0,97.02,12.3022951097,972.8876073672
BA Stokes,4,4,2,24,18.5,154.16,5,1,,37,0,0,0,15,15,1,68,28.78,107.75,39,11,,403,0,3,1,0,160.16,20.3085506573,1606.0366851776
STR Binny,2,2,0,24,17.5,120.68,2,1,,35,0,0,0,5,5,2,77,46.33,119.82,13,3,,139,0,1,0,0,123.68,15.6828268312,1240.2261315107
BB McCullum,1,1,0,35,35,233.33,2,4,,35,0,0,0,19,18,0,77,29.88,186.15,69,30,,538,0,4,2,0,239.33,30.3474364935,2399.9298193278
CA Lynn,3,3,0,17,10.66,110.34,2,1,,32,0,0,0,,,,,,,,,,,,,,0,113.34,14.371697874,1136.5396971655
SE Marsh,2,2,0,23,16,91.42,3,0,,32,0,0,0,4,4,0,71,36.25,81,12,0,,145,0,2,0,0,94.42,11.9726108458,946.8155832571
TM Head,2,2,0,26,14,116.66,1,1,,28,0,0,0,,,,,,,,,,,,,,0,118.66,15.0462825986,1189.8870695752
JDS Neesham,2,1,0,28,28,147.36,3,1,,28,0,0,0,3,3,2,41,92,113.58,9,1,,92,0,0,0,0,151.36,19.1926962255,1517.7929112667
NL McCullum,4,4,2,18,12,92.3,2,1,,24,0,0,0,6,3,1,25,20,100,2,1,,40,0,0,0,0,95.3,12.0841962889,955.6399606482
AR Patel,4,3,1,13,12,80,1,0,,24,0,0,0,9,8,4,15,12.5,81.96,0,3,,50,0,0,1,0,81,10.2709328374,812.2438280431
MS Wade,3,3,1,16,11.5,95.83,0,1,,23,0,0,0,14,11,3,71,33,113.3,26,6,,264,0,2,1,0,96.83,12.2782027981,970.9823440668
MN van Wyk,2,2,0,19,11,84.61,2,1,,22,0,0,0,3,3,0,58,25.33,60.31,7,2,,76,0,1,0,0,87.61,11.1090916776,878.526935492
Arafat Sunny,5,4,2,10,10.5,105,2,0,,21,0,0,0,8,5,3,15,19,62.29,4,0,,38,0,0,0,0,107,13.5677754766,1072.9640691434
Rony Talukdar,1,1,0,21,21,95.45,0,1,,21,0,0,0,,,,,,,,,,,,,,0,96.45,12.2300181749,967.1718174661
DA Warner,2,2,0,17,10.5,140,2,1,,21,0,0,0,16,16,2,178,58.07,110.46,83,20,,813,2,4,0,0,143,18.1326345154,1433.9613260514
JP Faulkner,2,2,0,10,10,142.85,0,2,,20,0,0,0,12,9,3,36,17.16,117.04,13,2,,103,0,0,2,0,144.85,18.3672175493,1452.5125739758
Nasir Hossain,5,4,0,16,5,95.23,1,1,,20,0,0,1,15,9,1,41,23.37,93.03,18,3,,187,0,0,2,0,97.23,12.3289234541,974.9934246991
DJ Willey,5,4,2,7,10,125,0,1,,20,0,0,0,13,7,3,13,14.5,89.23,2,2,,58,0,0,1,0,126,15.977006636,1263.4903991782
Muktar Ali,1,1,1,19,0,126.66,1,1,,19,0,0,0,,,,,,,,,,,,,,0,128.66,16.3142989983,1290.164085383
MK Pandey,2,2,0,19,9.5,86.36,1,1,,19,0,0,1,4,3,1,104,90.5,105.23,13,2,,181,1,1,0,0,88.36,11.2041929076,886.0477116776
SV Samson,1,1,0,19,19,79.16,1,0,,19,0,0,0,,,,,,,,,,,,,,0,80.16,10.1644194598,803.8205587152
KMDN Kulasekara,3,2,0,14,9,112.5,0,1,,18,0,0,0,7,5,1,58,27.75,85.38,7,7,,111,0,1,0,0,113.5,14.3919861364,1138.1441294184
CH Morris,4,1,1,17,0,242.85,1,1,,17,0,0,0,6,3,0,62,27.66,120.28,7,4,,83,0,1,0,0,244.85,31.0473815461,2455.2827320537
CJ Jordan,4,3,1,15,8,94.11,2,0,,16,0,0,0,7,5,1,14,5.5,100,0,1,,22,0,0,1,0,96.11,12.1869056173,963.7623989287
Taskin Ahmed,3,2,2,15,0,100,1,1,,16,0,0,0,11,4,1,2,1,33.33,0,0,,3,0,0,1,0,102,12.9337672767,1022.8255612395
TWM Latham,2,2,0,12,7.5,83.33,1,0,,15,0,0,0,12,12,2,110,41.5,81.85,39,5,,415,1,3,1,0,84.33,10.6931822985,845.6360743071
Mosaddek Hossain,1,1,0,15,15,78.94,1,0,,15,0,0,0,,,,,,,,,,,,,,0,79.94,10.136523099,801.6144643675
Abu Hider,2,1,0,14,14,140,1,1,,14,0,0,0,,,,,,,,,,,,,,0,142,18.0058328754,1423.9336244706
KM Jadhav,2,2,0,9,7,107.69,1,0,,14,0,0,0,3,3,1,105,63,111.5,14,1,,126,1,0,0,0,108.69,13.7820702481,1089.9108848149
UT Khawaja,1,1,0,14,14,233.33,2,0,,14,0,0,0,2,2,0,50,47,110.58,11,2,,94,0,1,0,0,235.33,29.8402299336,2359.8190130047
AF Milne,7,3,3,10,0,127.27,1,0,,14,0,0,0,16,9,4,36,18.4,101.09,5,3,,92,0,0,1,0,128.27,16.2648463587,1286.2532817665
AU Rashid,7,4,2,7,7,100,1,0,,14,0,0,0,20,13,4,69,26,111.96,30,3,,234,0,1,1,0,101,12.8069656368,1012.7978596587
MR Marsh,1,1,0,13,13,100,1,0,,13,0,0,0,15,14,4,102,42.7,103.64,39,8,,427,1,2,2,0,101,12.8069656368,1012.7978596587
S Prasanna,3,3,1,9,6.5,86.66,2,0,,13,0,0,0,3,3,0,9,4,70.58,1,0,,12,0,0,1,0,88.66,11.2422333996,889.0560221519
