Player,Mat_t20,Inns_t20,NO_t20,HS_t20,Ave_t20,SR_t20,4s_t20,6s_t20,Team_t20,Runs_t20,100s_t20,50s_t20,0s_t20,Mat_odi,Inns_odi,NO_odi,HS_odi,Ave_odi,SR_odi,4s_odi,6s_odi,Team_odi,Runs_odi,100s_odi,50s_odi,0s_odi,Price,Score,Price_score
N Dickwella,7,7,0,30,15.85,124.71,15,2,,111,0,0,0,25,24,1,116,30.17,88.52,76,4,,694,2,2,1,0,141.71,1243.8403552251
S Prasanna,9,9,3,23,18.5,121.97,6,6,,111,0,0,0,4,4,0,16,8.75,50,0,2,,35,0,0,0,0,133.97,1175.9035522511
EJG Morgan,5,4,1,80,36.66,154.92,7,7,,110,0,1,0,22,20,1,107,37.21,89.26,61,19,,707,2,3,1,0,169.92,1491.4498141264
Mushfiqur Rahim,6,6,1,66,22,146.66,10,4,,110,0,1,0,19,18,4,110,42.85,79.78,47,8,,600,1,5,1,0,161.66,1418.9487814953
DA Warner,7,7,0,59,15.14,149.29,10,5,,106,0,1,0,13,13,1,124,33.08,93.63,41,6,,397,1,1,0,0,165.29,1450.8106154482
C de Grandhomme,12,10,3,38,14.57,161.9,4,8,,102,0,0,2,10,7,5,74,126,118.3,17,12,,252,0,1,0,0,173.9,1526.3837257332
CK Kapugedera,5,4,1,50,33,123.75,11,1,,99,0,1,0,5,5,0,40,14.6,62.93,5,0,,73,0,0,1,0,136.75,1200.3046261875
GD Phillips,8,7,1,56,16.16,108.98,6,4,,97,0,1,0,,,,,,,,,,,,,,0,119.98,1053.1082197439
CA Lynn,5,4,0,44,23.25,138.8,11,4,,93,0,0,1,,,,,,,,,,,,,,0,153.8,1349.9586947542
H Klaasen,3,3,0,69,30.66,191.66,4,8,,92,0,1,0,4,4,1,43,36.66,90.9,11,3,,110,0,0,0,0,204.66,1796.375464684
JT Smuts,5,5,0,45,18,107.14,9,4,,90,0,0,1,,,,,,,,,,,,,,0,120.14,1054.5125981
SK Raina,3,3,0,43,29.66,153.44,12,2,,89,0,0,0,,,,,,,,,,,,,,0,167.44,1469.6819496076
Mohammad Saifuddin,6,4,1,39,29.33,111.39,6,3,,88,0,0,0,3,3,1,16,15,66.66,2,1,,30,0,0,0,0,120.39,1056.7069392813
HH Pandya,11,8,2,25,14.66,129.41,3,4,,88,0,0,1,31,20,2,83,26,114.7,27,27,,468,0,3,2,0,136.41,1197.3203221809
S Samarawickrama,5,5,0,32,17,106.25,8,0,,85,0,0,0,3,3,0,42,14,67.74,5,0,,42,0,0,2,0,114.25,1002.8139198678
KD Karthik,5,4,2,48,42,171.42,9,4,,84,0,0,0,8,7,4,64,61,69.84,16,0,,183,0,2,1,0,184.42,1618.7216026435
SS Iyer,6,5,0,30,16.6,103.75,8,1,,83,0,0,1,6,5,0,88,42,96.33,22,3,,210,0,2,0,0,112.75,989.6478727798
MS Chapman,4,4,1,37,27,122.72,4,4,,81,0,0,0,,,,,,,,,,,,,,0,130.72,1147.3771168939
SW Billings,7,6,0,29,12,109.09,6,2,,72,0,0,0,6,4,0,52,15.25,85.91,8,0,,61,0,1,1,0,117.09,1027.7416356877
Shakib Al Hasan,4,4,0,38,16,110.34,7,0,,64,0,0,0,19,16,0,114,37.06,82.59,62,2,,593,1,5,0,0,117.34,1029.9359768691
BR Dunk,2,2,0,32,30,171.42,5,5,,60,0,0,0,,,,,,,,,,,,,,0,181.42,1592.3895084676
Sabbir Rahman,5,5,0,19,12,109.09,3,3,,60,0,0,0,19,17,1,65,20.68,88.5,45,3,,331,0,2,2,0,115.09,1010.1869062371
Q de Kock,2,2,0,59,29.5,122.91,5,1,,59,0,1,1,16,16,1,168,52.46,88.72,82,6,,787,1,6,1,0,129.91,1140.2674514663
M Mosehle,4,3,0,36,18.66,143.58,3,5,,56,0,0,0,,,,,,,,,,,,,,0,151.58,1330.472945064
SMA Priyanjan,3,3,2,40,54,87.09,1,2,,54,0,0,0,,,,,,,,,,,,,,0,90.09,790.7527881041
