Player,Runs_t20,HS_t20,Bat Av_t20,Wkts_t20,BBI_t20,Bowl Av_t20,Ct_t20,St_t20,Ave Diff_t20,Team_t20,Matches_t20,100s_t20,5s_t20,Runs_odi,HS_odi,Bat Av_odi,Wkts_odi,BBI_odi,Bowl Av_odi,Ct_odi,St_odi,Ave Diff_odi,Team_odi,Matches_odi,100s_odi,5s_odi,Price,Score,Price_score
SW Billings,72,29,12,0,0,0,5,0,0,,7,0,0,61,52,15.25,0,0,0,7,0,0,,6,0,0,0,41,674.6379991224
N Dickwella,111,30,15.85,0,0,0,6,0,0,,7,0,0,694,116,30.17,0,0,0,22,5,0,,25,2,0,0,45.85,754.442738043
AD Hales,199,47,33.16,0,0,0,3,0,0,,7,0,0,612,110,36,0,0,0,11,0,0,,18,1,0,0,80.16,1318.9995612111
GJ Maxwell,250,103,83.33,3,10-Mar,3.33,5,0,80,,7,1,0,112,39,22.4,0,0,0,8,0,0,,7,0,0,0,189.33,3115.3466432646
DA Warner,106,59,15.14,0,0,0,8,0,0,,7,0,0,397,124,33.08,0,0,0,7,0,0,,13,1,0,0,74.14,1219.9429574375
TK Curran,8,6,8,7,Mar-33,27.85,1,0,-19.85,,6,0,0,46,35,46,7,May-35,15.28,1,0,30.71,,3,0,1,0,21,345.5462922334
A Dananjaya,23,11,11.5,1,20-Jan,186,3,0,-174.49,MI,6,0,0,154,50,12.83,21,Jun-54,37,7,0,-24.16,MI,18,0,1,50,23.5,386.6827555946
AB de Villiers,241,65,48.2,0,0,0,4,0,0,,6,0,0,664,176,51.07,0,0,0,6,0,0,,17,1,0,0,113.2,1862.6590609917
JP Duminy,168,64,33.6,3,23-Feb,24.33,1,0,9.26,MI,6,0,0,317,51,24.38,2,Feb-60,119,7,0,-94.61,MI,17,0,0,100,100.6,1655.3312856516
MD Gunathilaka,153,51,25.5,3,3-Feb,11.66,1,0,13.83,,6,0,0,580,116,36.25,1,01-Sep,126,5,0,-89.74,,17,1,0,0,79.5,1308.1395348837
TM Head,128,48,25.6,1,16-Jan,30,1,0,-4.39,,6,0,0,320,96,35.55,1,Jan-33,221,1,0,-185.44,,12,0,0,0,74.6,1227.5120666959
RR Hendricks,113,70,18.83,0,0,0,0,0,0,,6,0,0,,,,,,,,,,,,,,0,88.83,1461.6608161474
SS Iyer,83,30,16.6,0,0,0,1,0,0,,6,0,0,210,88,42,0,0,0,3,0,0,,6,0,0,0,46.6,766.7836770513
Mahmudullah,146,43,29.2,1,15-Jan,77,3,0,-47.79,,6,0,0,469,102,42.63,0,0,0,12,0,0,,19,1,0,0,73.2,1204.4756472137
SL Malinga,2,1,1,12,1-Mar,16.5,2,0,-15.49,,6,0,0,21,9,5.25,10,Feb-44,62.3,1,0,-57.04,,13,0,0,0,14,230.3641948223
Mohammad Saifuddin,88,39,29.33,4,1-Feb,49.75,1,0,-20.41,,6,0,0,30,16,15,1,Jan-15,75,1,0,-59.99,,3,0,0,0,72.33,1190.160157964
