Player,Mat_t20,Inns_t20,Overs_t20,Mdns_t20,Runs_t20,BBI_t20,Ave_t20,Econ_t20,SR_t20,Team_t20,Wkts_t20,4s_t20,5s_t20,Mat_odi,Inns_odi,Overs_odi,Mdns_odi,Runs_odi,BBI_odi,Ave_odi,Econ_odi,SR_odi,Team_odi,Wkts_odi,4s_odi,5s_odi,Price,Score,Price_score
Nasir Hossain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Shaiman Anwar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sharafuddin Ashraf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tanwir Afzal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S Bau,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RD Berrington,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RP Burl,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JW Hastings,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AK Markram,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SF Mire,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mohammed Qasim,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MDK Perera,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TB Sole,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JE Taylor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SR Thompson,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aamer Yamin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aizaz Khan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RR Beaton,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RL Chase,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TS Chisoro,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JH Davey,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fakhar Zaman,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Haris Sohail,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CBRLS Kumara,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NO Miller,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PWA Mulder,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R Powell,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PM Pushpakumara,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Qadeer Ahmed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rahmat Shah,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TS Roland-Jones,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sabbir Rahman,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Samiullah Shenwari,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Shapoor Zadran,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Shoaib Malik,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BV Vitori,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wahab Riaz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Abul Hasan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Amir Hayat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Amjad Javed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ashfaq Ahmed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CR Brathwaite,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KC Brathwaite,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JL Carter,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DM de Silva,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AM Fernando,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WT Gavera,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Javed Ahmadi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Karim Janat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CS MacLeod,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LD Madushanka,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mohammad Nawaz ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JN Mohammed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CT Mumba,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TK Musakanda,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
V Permaul,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N Pokana,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
D Ravu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MN Samuels,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
L Siaka,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Simi Singh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DT Tiripano,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Umar Amin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TP Ura,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yuvraj Singh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
