Player,Runs_t20,HS_t20,Bat Av_t20,Wkts_t20,BBI_t20,Bowl Av_t20,Ct_t20,St_t20,Ave Diff_t20,Team_t20,Matches_t20,100s_t20,5s_t20,Runs_odi,HS_odi,Bat Av_odi,Wkts_odi,BBI_odi,Bowl Av_odi,Ct_odi,St_odi,Ave Diff_odi,Team_odi,Matches_odi,100s_odi,5s_odi,Price,Score,Price_score,Price_adjusted
JJ Bumrah,0,0,0,24,11-Mar,18.25,3,0,0,,18,0,0,0,0,0,20,Apr-22,21.85,4,0,-21.84,,10,0,0,0,24,259.067357513,358.4807440549
MS Dhoni,299,56,59.8,0,0,0,13,7,0,RPS,18,0,0,357,134,44.62,0,0,0,12,5,0,RPS,11,1,0,1250,115.8,1250,1729.6695900648
V Kohli,494,89,61.75,1,15-Jan,15,9,0,46.75,RCB,15,0,0,543,154,90.5,0,0,0,3,0,0,RCB,8,2,0,1250,151.75,1638.061312608,2266.6438712637
Mahmudullah,296,52,37,5,5-Feb,23,7,0,14,,15,0,0,229,75,28.62,0,0,0,2,0,0,,9,0,0,0,94,1014.6804835924,1404.0495808817
Mashrafe Mortaza,47,15,5.22,9,12-Feb,37,4,0,-31.77,,15,0,0,98,44,12.25,15,Apr-29,24.4,3,0,-12.14,,9,0,0,0,29.22,315.414507772,436.4503058868
Sabbir Rahman,405,80,31.15,2,Jan-18,8,8,0,23.15,,15,0,0,214,65,23.77,0,0,0,7,0,0,,9,0,0,0,113.15,1221.3946459413,1690.0873412421
Shakib Al Hasan,262,50,21.83,17,15-Apr,21.05,6,0,0.77,,15,0,0,252,79,28,14,Apr-47,30.71,2,0,-2.71,,9,0,0,0,88.83,958.8730569948,1326.8268539332
Soumya Sarkar,250,48,16.66,0,0,0,10,0,0,,15,0,0,32,20,8,0,0,0,2,0,0,,4,0,0,0,64.66,697.9706390328,965.8068712745
LD Chandimal,323,58,24.84,0,0,0,10,4,0,,14,0,0,668,102,51.38,0,0,0,10,3,0,,15,2,0,0,82.84,894.2141623489,1237.3560348961
JC Buttler,381,73,47.62,0,0,0,4,0,0,,13,0,0,471,93,52.33,0,0,0,19,3,0,,14,0,0,0,120.62,1302.0293609672,1801.6644728292
Imran Tahir,1,1,1,27,24-May,11.62,2,0,-10.62,,13,0,1,35,29,8.75,30,Jul-45,23.06,0,0,-14.31,,17,0,1,0,29,313.0397236615,433.1642323997
CJ Jordan,48,15,9.6,17,28-Apr,24.05,5,0,-14.45,,13,0,0,15,15,0,3,Feb-42,61,1,0,0,,4,0,0,0,41.6,449.0500863558,621.3666230285
CK Kapugedera,203,43,18.45,0,0,0,8,0,0,,13,0,0,,,,,,,,,,,,,,0,61.45,663.3203799655,917.8600717572
EJG Morgan,283,51,25.72,0,0,0,7,0,0,,13,0,0,437,102,48.55,0,0,0,3,0,0,,13,1,0,0,76.72,828.1519861831,1145.9434451621
HH Pandya,71,31,8.87,12,8-Mar,22.91,7,0,-14.04,,13,0,0,160,56,53.33,9,Mar-31,32.88,3,0,20.44,,7,0,0,0,51.87,559.9093264249,774.7665080886
SK Raina,184,63,18.4,3,4-Jan,35.66,8,0,-17.26,,13,0,0,,,,,,,,,,,,,,0,84.4,911.0535405872,1260.6572832597
AU Rashid,8,4,4,9,18-Feb,35,6,0,-30.99,,13,0,0,33,33,0,24,Apr-43,26.87,3,0,0,,13,0,0,0,17,183.506044905,253.9238603722
JJ Roy,289,78,22.23,0,0,0,1,0,0,,13,0,0,771,162,59.3,0,0,0,3,0,0,,15,2,0,0,100.23,1081.9300518135,1497.1052073592
MM Ali,73,41,14.6,10,21-Feb,27.3,4,0,-12.69,,12,0,0,171,55,21.37,5,Feb-39,118.4,7,0,-97.02,,13,0,0,0,65.6,708.1174438687,979.8473670834
Al-Amin Hossain,0,0,0,19,25-Mar,15.21,1,0,-15.21,,12,0,0,,,,,,,,,,,,,,0,19,205.0949913644,283.7972557101
KMDN Kulasekara,47,13,9.4,17,1-Apr,19.47,2,0,-10.07,,12,0,0,46,17,11.5,9,Feb-23,38.88,1,0,-27.38,,8,0,0,0,39.4,425.3022452504,588.5058881568
DA Miller,229,53,28.62,0,0,0,6,0,0,,12,0,0,352,118,88,0,0,0,7,0,0,,8,2,0,0,81.62,881.0449050086,1219.13326374
Mushfiqur Rahim,84,18,10.5,0,0,0,4,2,0,,12,0,0,198,67,39.6,0,0,0,8,1,0,,7,0,0,0,28.5,307.6424870466,425.6958835652
A Nehra,0,0,0,14,23-Mar,21.07,0,0,-21.07,SRH,12,0,0,,,,,,,,,,,,,,550,14,151.1226252159,209.1137673654
JE Root,423,83,42.3,2,9-Feb,16,7,0,26.3,,12,0,0,577,93,57.7,1,Jan-26,63,3,0,-5.29,,12,0,0,0,127.3,1374.1364421416,1901.4416132578
RG Sharma,298,83,27.09,0,0,0,2,0,0,,12,0,0,123,70,24.6,0,0,0,3,0,0,,5,0,0,0,110.09,1188.3635578584,1644.3810463751
BA Stokes,118,38,13.11,7,26-Mar,48.57,7,0,-35.46,,12,0,0,469,101,67,8,Mar-63,46.75,6,0,20.25,,11,1,0,0,58.11,627.2668393782,867.9715015429
Yuvraj Singh,184,35,20.44,3,10-Jan,14.33,1,0,6.11,,12,0,0,210,150,70,0,0,0,0,0,0,,3,1,0,0,58.44,630.829015544,872.9006117737
R Ashwin,15,10,15,10,11-Feb,24.6,3,0,-9.59,RPS,11,0,0,16,15,16,3,Mar-65,62.66,0,0,-46.66,RPS,3,0,0,750,35,377.8065630397,522.7844184134
JP Faulkner,42,14,8.4,21,27-May,14.85,6,0,-6.45,,11,0,1,115,25,16.42,28,Apr-32,24.53,6,0,-8.1,,17,0,0,0,43.4,468.4801381693,648.2526788326
RA Jadeja,12,12,6,9,11-Feb,29.55,3,0,-23.55,,11,0,0,39,16,19.5,4,Feb-62,39.25,2,0,-19.74,,3,0,0,0,27,291.4507772021,403.2908370618
