Player,Runs_t20,HS_t20,Bat Av_t20,Wkts_t20,BBI_t20,Bowl Av_t20,Ct_t20,St_t20,Ave Diff_t20,Team_t20,Matches_t20,100s_t20,5s_t20,Runs_odi,HS_odi,Bat Av_odi,Wkts_odi,BBI_odi,Bowl Av_odi,Ct_odi,St_odi,Ave Diff_odi,Team_odi,Matches_odi,100s_odi,5s_odi,Price,Score,Price_score,Price_adjusted
TAM Siriwardana,107,35,11.88,3,1-Feb,38.66,2,0,-26.77,,11,0,0,19,19,19,0,0,0,0,0,0,,1,0,0,0,49.88,538.4283246978,745.0424797274
Tamim Iqbal,363,103,40.33,0,0,0,2,0,0,,11,1,0,407,118,45.22,0,0,0,2,0,0,,9,1,0,0,143.33,1547.1718480138,2140.8768768911
AB de Villiers,290,71,32.22,0,0,0,3,1,0,,10,0,0,374,64,41.55,0,0,0,6,0,0,,13,0,0,0,103.22,1114.2055267703,1541.7659333894
TM Dilshan,270,83,33.75,3,8-Feb,5,0,0,28.75,,10,0,0,74,42,24.66,0,0,0,4,0,0,,3,0,0,0,119.75,1292.6381692573,1788.6695458572
F du Plessis,304,79,33.77,0,0,0,7,0,0,,10,0,0,845,185,60.35,0,0,0,9,0,0,,17,3,0,0,112.77,1217.292746114,1684.4113961279
Mohammad Mithun,85,47,12.14,0,0,0,3,0,0,,10,0,0,,,,,,,,,,,,,,0,59.14,638.3851468048,883.3563001419
Taskin Ahmed,16,15,16,6,Feb-32,31.66,1,0,-15.66,,10,0,0,9,4,1.8,14,Apr-59,29.21,2,0,-27.41,,9,0,0,0,37,399.3955094991,552.6578137513
A Zampa,7,5,0,14,16-Mar,15.14,0,0,0,RPS,10,0,0,49,12,7,31,Mar-16,28.67,6,0,-21.67,RPS,20,0,0,30,19,205.0949913644,283.7972557101
CJ Anderson,203,94,25.37,2,1-Feb,42,5,0,-16.62,,9,0,0,31,21,7.75,0,0,0,1,0,0,,4,0,0,0,121.37,1310.1252158895,1812.8669960809
AD Mathews,223,73,37.16,4,Feb-18,42.5,6,0,-5.33,,9,0,0,425,73,42.5,9,Feb-17,22,4,0,20.5,,11,0,0,0,114.16,1232.2970639033,1705.1734058878
GJ Maxwell,431,145,61.57,2,18-Feb,84,6,0,-22.42,,9,1,0,247,78,27.44,3,Feb-15,9.33,7,0,18.11,,12,0,0,0,208.57,2251.4032815199,3115.3470328137
C Munro,219,101,24.33,0,0,0,2,0,0,,9,1,0,175,87,25,1,Jan-20,51,3,0,-25.99,,8,0,0,0,125.33,1352.8713298791,1872.01631885
PM Nevill,25,10,25,0,0,0,2,1,0,,9,0,0,,,,,,,,,,,,,,0,35,377.8065630397,522.7844184134
NLTC Perera,108,40,13.5,5,1-Mar,46.8,4,0,-33.29,,9,0,0,55,21,13.75,4,Mar-33,25,0,0,-11.24,,4,0,0,0,58.5,631.4766839378,873.7968136338
MJ Santner,38,18,6.33,13,11-Apr,17.3,4,0,-10.97,,9,0,0,133,38,14.77,18,Mar-44,33.66,7,0,-18.88,,15,0,0,0,37.33,402.9576856649,557.586923982
DA Warner,221,77,24.55,0,0,0,4,0,0,,9,0,0,1409,179,67.09,0,0,0,15,0,0,,22,8,0,0,101.55,1096.1787564767,1516.8216482823
KS Williamson,281,73,35.12,3,16-Feb,9.33,2,0,25.79,,9,0,0,642,118,45.85,6,Mar-22,21,5,0,24.85,,15,1,0,0,111.12,1199.481865285,1659.7658449741
HM Amla,370,97,74,0,0,0,5,0,0,,8,0,0,621,154,41.4,0,0,0,6,0,0,,16,2,0,0,171,1845.8549222798,2554.1753013911
Q de Kock,229,52,28.62,0,0,0,10,2,0,,8,0,0,880,178,48.88,0,0,0,19,2,0,,19,2,0,0,80.62,870.2504317789,1204.1965660711
S Dhawan,122,60,17.42,0,0,0,2,0,0,SRH,8,0,0,12,11,6,0,0,0,1,0,0,SRH,2,0,0,1250,77.42,835.7081174439,1156.3991335304
JP Duminy,155,54,38.75,1,31-Jan,89,6,0,-50.24,DD,8,0,0,457,82,32.64,8,Apr-16,33.37,6,0,-0.73,DD,19,0,0,220,93.75,1011.981865285,1400.3154064644
AD Hales,146,37,18.25,0,0,0,5,0,0,,8,0,0,383,171,42.55,0,0,0,4,0,0,,11,2,0,0,55.25,596.3946459413,825.2525462097
HMRKB Herath,6,3,2,6,22-Feb,33.16,0,0,-31.16,,8,0,0,,,,,,,,,,,,,,0,11,118.7392055268,164.3036743585
UT Khawaja,227,58,28.37,0,0,0,5,0,0,,8,0,0,361,98,32.81,0,0,0,1,0,0,,13,0,0,0,86.37,932.3186528497,1290.0825776675
BKG Mendis,74,22,9.25,0,0,0,0,0,0,,8,0,0,685,94,34.25,0,0,0,11,0,0,,22,0,0,0,31.25,337.3272884283,466.7718021548
CH Morris,53,17,26.5,11,27-Apr,22.45,2,0,4.04,,8,0,0,108,40,18,15,Apr-31,23.73,4,0,-5.73,,10,0,0,0,54.5,588.298791019,814.050022958
Mustafizur Rahman,6,6,3,13,22-May,16.07,2,0,-13.07,,8,0,1,0,0,0,4,Feb-32,23.5,0,0,-23.49,,2,0,0,0,22,237.4784110535,328.607348717
LE Plunkett,4,4,2,6,27-Feb,34.5,0,0,-32.49,,8,0,0,58,26,29,18,Mar-44,37.27,5,0,-8.27,,12,0,0,0,12,129.5336787565,179.2403720274
S Prasanna,86,37,14.33,5,14-Jan,36,3,0,-21.66,,8,0,0,177,95,22.12,6,Feb-32,66.16,1,0,-44.04,,9,0,0,0,56.33,608.0526770294,841.3841796922
K Rabada,0,0,0,13,25-Feb,20.84,2,0,0,DD,8,0,0,37,15,37,21,Mar-13,34.9,6,0,2.09,DD,17,0,0,500,13,140.3281519862,194.1770696964
KL Rahul,280,110,56,0,0,0,1,0,0,,8,1,0,220,100,55,0,0,0,4,0,0,,6,1,0,0,166,1791.8825561313,2479.4918130463
L Ronchi,50,21,10,0,0,0,3,4,0,,8,0,0,47,35,9.4,0,0,0,9,2,0,,6,0,0,0,31,334.6286701209,463.0376277376
MD Shanaka,56,20,8,3,27-Feb,24,0,0,-15.99,,8,0,0,119,42,19.83,6,May-43,24,2,0,-4.16,,9,0,1,0,31,334.6286701209,463.0376277376
D Wiese,53,28,17.66,4,16-Feb,57.5,4,0,-39.83,,8,0,0,,,,,,,,,,,,,,0,49.66,536.0535405872,741.7564062402
DJ Willey,60,21,20,10,20-Mar,19,4,0,1,,8,0,0,41,10,13.66,13,Apr-34,39.15,9,0,-25.48,,12,0,0,0,51,550.518134715,761.7715811166
KJ Abbott,8,6,0,13,26-Mar,16.3,0,0,0,,7,0,0,6,5,2,7,Apr-40,23.42,0,0,-21.42,,4,0,0,0,19,205.0949913644,283.7972557101
PVD Chameera,4,2,0,3,30-Mar,60.33,1,0,0,,7,0,0,,,,,,,,,,,,,,0,5,53.9723661485,74.6834883448
AJ Finch,208,53,29.71,0,0,0,3,0,0,,7,0,0,502,72,25.1,0,0,0,7,0,0,,22,0,0,0,82.71,892.810880829,1235.4142641992
SPD Smith,152,61,25.33,0,0,0,2,0,0,,7,0,0,1019,164,53.63,0,0,0,15,0,0,,23,3,0,0,86.33,931.8868739206,1289.4851097608
IS Sodhi,0,0,0,15,18-Mar,11.86,2,0,0,,7,0,0,1,1,0.5,6,Feb-66,41.83,0,0,-41.33,,5,0,0,0,15,161.9170984456,224.0504650343
F Behardien,75,31,18.75,2,15-Feb,7.5,4,0,11.25,,6,0,0,249,62,31.12,0,0,0,10,0,0,,14,0,0,0,51.75,558.6139896373,772.9741043684
YS Chahal,0,0,0,11,25-Jun,15.81,2,0,0,,6,0,1,0,0,0,6,Mar-25,12.83,1,0,0,,3,0,0,0,11,118.7392055268,164.3036743585
NM Coulter-Nile,10,9,5,6,29-Mar,32.83,4,0,-27.83,,6,0,0,16,15,8,5,Feb-38,30.2,1,0,-22.19,,3,0,0,0,20,215.8894645941,298.7339533791
N Dickwella,177,68,35.4,0,0,0,2,0,0,,6,0,0,376,94,41.77,0,0,0,6,1,0,,10,0,0,0,103.4,1116.1485319516,1544.4545389698
DAS Gunaratne,164,84,54.66,3,11-Jan,40.66,3,0,14,,6,0,0,222,114,37,9,03-Oct,26.22,4,0,10.77,,10,1,0,0,141.66,1529.1450777202,2115.932591784
GSNFG Jayasuriya,44,26,8.8,1,13-Jan,43,2,0,-34.19,,6,0,0,40,31,20,0,0,0,1,0,0,,3,0,0,0,35.8,386.4421416235,534.7337765485
MK Pandey,81,48,20.25,0,0,0,0,0,0,,6,0,0,80,28,20,0,0,0,2,0,0,,8,0,0,0,68.25,736.7227979275,1019.4296159061
SR Watson,147,44,36.75,6,23-Feb,20.83,2,0,15.91,,6,0,0,,,,,,,,,,,,,,0,86.75,936.420552677,1295.7585227817
SW Billings,39,22,9.75,0,0,0,1,0,0,,5,0,0,97,62,48.5,0,0,0,2,0,0,,2,0,0,0,31.75,342.7245250432,474.2401509893
DM de Silva,122,62,24.4,1,3-Jan,23,2,0,1.4,,5,0,0,334,78,25.69,4,Feb-35,52.25,7,0,-26.55,,16,0,0,0,87.4,943.4369602763,1305.4673762666
GD Elliott,50,27,16.66,3,12-Mar,25,1,0,-8.33,,5,0,0,,,,,,,,,,,,,,0,46.66,503.6701208981,696.9463132334
JW Hastings,10,7,5,4,Feb-18,36.5,2,0,-31.49,,5,0,0,91,51,30.33,16,Jun-45,22.62,0,0,7.7,,8,0,1,0,16,172.7115716753,238.9871627033
TM Head,119,45,29.75,1,16-Jan,16,3,0,13.75,,5,0,0,744,128,37.2,11,Feb-22,46.9,10,0,-9.7,,22,1,0,0,75.75,817.6813471503,1131.4548484233
MC Henriques,76,56,38,1,24-Jan,93,1,0,-54.99,,5,0,0,10,6,5,1,Jan-48,88,1,0,-82.99,,2,0,0,0,95,1025.4749568221,1418.9862785506
MR Marsh,71,35,23.66,3,17-Jan,27.66,1,0,-3.99,,5,0,0,372,79,28.61,12,Mar-32,50.75,10,0,-22.13,,18,0,0,0,61.66,665.5872193437,920.9967782677
Nurul Hasan,26,10,8.66,0,0,0,2,3,0,,5,0,0,68,44,34,0,0,0,2,1,0,,2,0,0,0,18.66,201.4248704663,278.7187785027
RR Rossouw,53,19,13.25,0,0,0,1,0,0,,5,0,0,379,122,63.16,0,0,0,0,0,0,,7,1,0,0,32.25,348.121761658,481.7084998238
LRPL Taylor,91,36,22.75,0,0,0,1,0,0,,5,0,0,345,107,43.12,0,0,0,5,0,0,,9,2,0,0,58.75,634.1753022453,877.530988051
TC Bruce,104,59,34.66,0,0,0,4,0,0,,4,0,0,,,,,,,,,,,,,,0,93.66,1011.0103626943,1398.9711036742
C de Grandhomme,62,41,31,3,Feb-18,27.33,4,0,3.66,,4,0,0,63,34,21,4,Feb-50,47,1,0,-25.99,,5,0,0,0,75,809.585492228,1120.2523251715
MJ Guptill,140,80,35,0,0,0,6,0,0,,4,0,0,386,114,35.09,2,02-Jun,3,2,0,32.09,,12,1,0,0,115,1241.3644214162,1717.7202319297
Imrul Kayes,14,14,4.66,0,0,0,1,0,0,,4,0,0,325,112,46.42,0,0,0,1,0,0,,7,1,0,0,18.66,201.4248704663,278.7187785027
RAS Lakmal,1,1,0.5,2,18-Jan,56,1,0,-55.49,,4,0,0,45,20,7.5,21,Apr-38,29.52,4,0,-22.02,,16,0,0,0,3.5,37.780656304,52.2784418413
MJ McClenaghan,7,6,7,4,17-Mar,21.75,0,0,-14.74,,4,0,0,,,,,,,,,,,,,,0,17,183.506044905,253.9238603722
SL Malinga,2,1,2,10,26-Apr,12.1,3,0,-10.09,,4,0,0,,,,,,,,,,,,,,0,13,140.3281519862,194.1770696964
TS Mills,0,0,0,3,Jan-18,38.66,1,0,-38.66,,4,0,0,,,,,,,,,,,,,,0,3,32.3834196891,44.8100930069
AF Milne,2,2,0,3,26-Feb,27.66,1,0,0,,4,0,0,,,,,,,,,,,,,,0,5,53.9723661485,74.6834883448
WD Parnell,10,4,10,3,16-Jan,40.33,1,0,-30.33,,4,0,0,45,28,11.25,23,Apr-58,23.26,4,0,-12.01,,13,0,0,0,17,183.506044905,253.9238603722
AM Phangiso,17,13,8.5,4,26-Feb,23.25,0,0,-14.74,,4,0,0,15,9,5,10,Mar-40,16.8,1,0,-11.79,,5,0,0,0,25.5,275.2590673575,380.8857905583
AL Phehlukwayo,0,0,0,3,19-Mar,32,0,0,-31.99,,4,0,0,124,42,124,11,Apr-44,43.09,3,0,80.9,,12,0,0,0,3,32.3834196891,44.8100930069
AM Rahane,51,40,17,0,0,0,3,0,0,,4,0,0,144,57,24,0,0,0,5,0,0,,6,0,0,0,57,615.2849740933,851.3917671304
DW Steyn,0,0,0,3,1-Feb,43.33,0,0,0,,4,0,0,6,6,0,5,Feb-65,50.8,0,0,0,,4,0,0,0,3,32.3834196891,44.8100930069
WU Tharanga,38,20,9.5,0,0,0,1,0,0,,4,0,0,403,119,33.58,0,0,0,2,0,0,,18,1,0,0,29.5,318.4369602763,440.6325812341
HDRL Thirimanne,14,6,3.5,0,0,0,2,0,0,,4,0,0,,,,,,,,,,,,,,0,9.5,102.5474956822,141.8986278551
RJW Topley,1,1,0,1,Jan-18,114,0,0,0,,4,0,0,,,,,,,,,,,,,,0,2,21.5889464594,29.8733953379
BM Wheeler,6,6,6,5,16-Feb,23.2,1,0,-17.19,,4,0,0,,,,,,,,,,,,,,0,17,183.506044905,253.9238603722
Abu Hider,0,0,0,0,0,0,0,0,0,,3,0,0,,,,,,,,,,,,,,0,0,0,0
Arafat Sunny,8,8,0,4,1-Feb,19.75,1,0,0,,3,0,0,,,,,,,,,,,,,,0,12,129.5336787565,179.2403720274
TA Boult,1,1,0,5,8-Feb,16.8,3,0,0,,3,0,0,40,16,13.33,26,Jun-33,24.84,5,0,-11.51,,13,0,1,0,6,64.7668393782,89.6201860137
PJ Cummins,3,3,3,2,28-Jan,38.5,1,0,-35.49,,3,0,0,79,36,19.75,18,Apr-41,26.16,1,0,-6.41,,10,0,0,0,8,86.3557858377,119.4935813516
ST de Silva,3,3,1.5,0,0,0,0,0,0,,3,0,0,,,,,,,,,,,,,,0,4.5,48.5751295337,67.2151395103
JR Hazlewood,0,0,0,1,26-Jan,114,1,0,0,,3,0,0,15,11,7.5,28,May-50,25.89,9,0,-18.39,,18,0,1,0,1,10.7944732297,14.936697669
KM Jadhav,77,58,38.5,0,0,0,0,0,0,,3,0,0,322,120,64.4,6,Mar-29,23.5,5,0,40.9,,11,1,0,0,96.5,1041.6666666667,1441.391325054
M Klinger,143,62,47.66,0,0,0,2,0,0,,3,0,0,,,,,,,,,,,,,,0,109.66,1183.7219343696,1637.9582663775
B Kumar,0,0,0,3,8-Feb,29,1,0,0,SRH,3,0,0,0,0,0,1,Jan-63,119,0,0,0,SRH,2,0,0,425,3,32.3834196891,44.8100930069
Mandeep Singh,87,52,43.5,0,0,0,1,0,0,,3,0,0,,,,,,,,,,,,,,0,95.5,1030.872193437,1426.4546273851
A Mishra,0,0,0,5,24-Mar,14.4,1,0,-14.39,DD,3,0,0,15,14,7.5,15,May-18,14.33,1,0,-6.83,DD,5,0,1,350,5,53.9723661485,74.6834883448
Mosaddek Hossain,33,20,11,2,22-Jan,29,1,0,-17.99,,3,0,0,180,50,36,6,Feb-30,31.66,3,0,4.33,,8,0,0,0,33,356.2176165803,492.9110230755
M Mosehle,49,32,24.5,0,0,0,3,1,0,,3,0,0,,,,,,,,,,,,,,0,56.5,609.8877374784,843.9234182959
EMDY Munaweera,91,44,30.33,0,0,0,0,0,0,,3,0,0,,,,,,,,,,,,,,0,74.33,802.3531951641,1110.2447377333
L Ngidi,2,2,0,6,19-Apr,7.33,0,0,0,,3,0,0,,,,,,,,,,,,,,0,8,86.3557858377,119.4935813516
TD Paine,8,7,4,0,0,0,4,1,0,,3,0,0,,,,,,,,,,,,,,0,11,118.7392055268,164.3036743585
AR Patel,38,20,38,2,18-Jan,29.5,2,0,8.5,,3,0,0,79,38,26.33,7,02-Sep,35.71,1,0,-9.38,,8,0,0,0,60,647.6683937824,896.2018601372
MDKJ Perera,39,22,13,0,0,0,0,1,0,,3,0,0,376,135,23.5,0,0,0,6,2,0,,17,1,0,0,35,377.8065630397,522.7844184134
AT Rayudu,39,20,19.5,0,0,0,2,0,0,,3,0,0,103,62,0,0,0,0,1,0,0,,3,0,0,0,39.5,426.3816925734,589.9995579237
Rubel Hossain,4,2,4,7,31-Mar,15.85,0,0,-11.85,,3,0,0,11,10,11,1,Jan-62,86,0,0,-74.99,,2,0,0,0,13,140.3281519862,194.1770696964
PADLR Sandakan,0,0,0,6,23-Apr,12.66,2,0,0,,3,0,0,3,2,1.5,4,Feb-33,53.5,1,0,-51.99,,5,0,0,0,6,64.7668393782,89.6201860137
JRMVB Sanjaya,5,5,5,3,1-Feb,33.66,1,0,-28.66,,3,0,0,,,,,,,,,,,,,,0,13,140.3281519862,194.1770696964
Shuvagata Hom,29,16,29,1,24-Jan,53,1,0,-23.99,,3,0,0,,,,,,,,,,,,,,0,46,496.5457685665,687.0880927719
JT Smuts,36,19,12,1,19-Jan,41,0,0,-28.99,,3,0,0,,,,,,,,,,,,,,0,32,345.4231433506,477.9743254065
AJ Turner,26,18,8.66,3,12-Feb,14,2,0,-5.33,,3,0,0,,,,,,,,,,,,,,0,29.66,320.1640759931,443.0224528612
AJ Tye,0,0,0,4,Mar-37,27.25,0,0,-27.24,,3,0,0,,,,,,,,,,,,,,0,4,43.1778929188,59.7467906758
JDF Vandersay,3,3,3,3,26-Feb,20.66,0,0,-17.66,,3,0,0,15,8,7.5,4,Mar-50,40.5,1,0,-32.99,,4,0,0,0,9,97.1502590674,134.4302790206
AC Agar,9,9,9,1,25-Jan,43,3,0,-33.99,,2,0,0,,,,,,,,,,,,,,0,19,205.0949913644,283.7972557101
LA Dawson,0,0,0,3,27-Mar,15.66,2,0,0,,2,0,0,10,10,10,2,Feb-70,35,0,0,-24.99,,1,0,0,0,3,32.3834196891,44.8100930069
TB de Bruyn,26,19,13,0,0,0,2,0,0,,2,0,0,,,,,,,,,,,,,,0,32,345.4231433506,477.9743254065
BR Dunk,60,32,30,0,0,0,1,0,0,,2,0,0,,,,,,,,,,,,,,0,62,669.2573402418,926.0752554751
N Pradeep,0,0,0,0,0,0,0,0,0,,2,0,0,9,7,9,11,Feb-21,38,1,0,-28.99,,9,0,0,0,0,0,0
HG Kuhn,39,29,19.5,0,0,0,1,0,0,,2,0,0,,,,,,,,,,,,,,0,48.5,523.5319516408,724.4298369443
DS Kulkarni,1,1,0,3,Feb-18,18.33,0,0,0,,2,0,0,25,25,0,6,Feb-31,24.83,0,0,0,,4,0,0,0,4,43.1778929188,59.7467906758
NL McCullum,0,0,0,3,15-Feb,7,3,0,-6.99,,2,0,0,,,,,,,,,,,,,,0,3,32.3834196891,44.8100930069
Mohammed Shami,0,0,0,3,1-Feb,26.33,0,0,0,,2,0,0,,,,,,,,,,,,,,0,3,32.3834196891,44.8100930069
Nasir Hossain,3,3,3,1,24-Jan,46,1,0,-42.99,,2,0,0,31,27,31,2,Jan-29,41,1,0,-9.99,,2,0,0,0,7,75.5613126079,104.5568836827
JDS Neesham,20,15,10,0,0,0,1,0,0,,2,0,0,401,74,36.45,10,Mar-36,40.1,7,0,-3.64,,13,0,0,0,25,269.8618307427,373.4174417238
D Paterson,0,0,0,0,0,0,0,0,0,,2,0,0,,,,,,,,,,,,,,0,0,0,0
SS Pathirana,8,6,4,3,Feb-18,22.66,0,0,-18.66,,2,0,0,226,56,32.28,10,Mar-37,38.1,3,0,-5.81,,11,0,0,0,13,140.3281519862,194.1770696964
JA Richardson,0,0,0,2,24-Jan,31,3,0,-30.99,,2,0,0,,,,,,,,,,,,,,0,2,21.5889464594,29.8733953379
SMSM Senanayake,13,7,0,1,1-Jan,85,0,0,0,,2,0,0,,,,,,,,,,,,,,0,8,86.3557858377,119.4935813516
BB Sran,0,0,0,6,10-Apr,6.83,0,0,0,,2,0,0,0,0,0,4,Feb-17,24.75,0,0,0,,3,0,0,0,6,64.7668393782,89.6201860137
MA Starc,0,0,0,4,26-Mar,14.5,2,0,0,,2,0,0,96,29,12,39,Apr-42,20.41,6,0,-8.41,,19,0,0,0,4,43.1778929188,59.7467906758
I Udana,0,0,0,3,13-Mar,20.66,0,0,0,,2,0,0,,,,,,,,,,,,,,0,3,32.3834196891,44.8100930069
JM Vince,38,22,19,0,0,0,0,0,0,,2,0,0,104,51,26,0,0,0,3,0,0,,4,0,0,0,41,442.573402418,612.4046044271
GJ Bailey,0,0,0,0,0,0,1,0,0,,1,0,0,546,90,36.4,0,0,0,14,0,0,,19,0,0,0,0,0,0
JM Bairstow,0,0,0,0,0,0,0,0,0,,1,0,0,254,61,31.75,0,0,0,6,1,0,,11,0,0,0,0,0,0
KMC Bandara,2,2,0,0,0,0,0,0,0,,1,0,0,1,1,0,1,Jan-83,83,0,0,0,,1,0,0,0,2,21.5889464594,29.8733953379
STR Binny,0,0,0,0,0,0,0,0,0,,1,0,0,,,,,,,,,,,,,,0,0,0,0
TA Blundell,0,0,0,0,0,0,0,0,0,,1,0,0,,,,,,,,,,,,,,0,0,0,0
SM Boland,0,0,0,3,26-Mar,8.66,1,0,0,,1,0,0,7,4,3.5,11,Mar-67,31.45,0,0,-27.95,,8,0,0,0,3,32.3834196891,44.8100930069
NT Broom,6,6,6,0,0,0,0,0,0,,1,0,0,313,109,52.16,0,0,0,5,0,0,,7,1,0,0,12,129.5336787565,179.2403720274
R Dhawan,1,1,0,1,1-Jan,42,2,0,0,KKR,1,0,0,,,,,,,,,,,,,,55,2,21.5889464594,29.8733953379
LH Ferguson,0,0,0,3,1-Mar,10.66,0,0,0,,1,0,0,11,4,3.66,7,Mar-54,48,0,0,-44.33,,6,0,0,0,3,32.3834196891,44.8100930069
MD Gunathilaka,26,26,26,0,0,0,0,0,0,,1,0,0,260,63,26,5,Mar-48,28.4,6,0,-2.39,,10,0,0,0,52,561.3126079447,776.7082787856
