Player,Mat_t20,Inns_t20,Overs_t20,Mdns_t20,Runs_t20,BBI_t20,Ave_t20,Econ_t20,SR_t20,Team_t20,Wkts_t20,4s_t20,5s_t20,Mat_odi,Inns_odi,Overs_odi,Mdns_odi,Runs_odi,BBI_odi,Ave_odi,Econ_odi,SR_odi,Team_odi,Wkts_odi,4s_odi,5s_odi,Price,Score,Price_score,Price_adjusted
Imran Tahir,13,13,49.5,0,314,24-May,11.62,6.3,11,,27,1,1,17,16,148.1,5,692,Jul-45,23.06,4.67,29.6,,30,0,1,0,17.3,803.063583815,1866.7465055176
JJ Bumrah,18,18,67.4,3,438,11-Mar,18.25,6.47,16.9,,24,0,0,10,10,87.3,5,437,Apr-22,21.85,4.99,26.2,,20,2,0,0,23.37,594.4801026958,1381.8876570584
JP Faulkner,11,11,40.1,0,312,27-May,14.85,7.76,11.4,,21,0,1,17,16,133.4,2,687,Apr-32,24.53,5.13,28.6,,28,2,0,0,19.16,725.1043841336,1685.5278990321
Al-Amin Hossain,12,11,34.5,0,289,25-Mar,15.21,8.29,11,,19,0,0,,,,,,,,,,,,,,0,19.29,720.2177293935,1674.1687167162
CJ Jordan,13,13,46.4,0,409,28-Apr,24.05,8.76,16.4,,17,1,0,4,4,33.2,1,183,Feb-42,61,5.49,66.6,,3,0,0,0,25.16,552.186009539,1283.5737100737
KMDN Kulasekara,12,12,42,1,331,Apr-31,19.47,7.88,14.8,,17,1,0,8,8,65,3,350,Feb-23,38.88,5.38,43.3,,9,0,0,0,22.68,612.5661375661,1423.9292127626
Shakib Al Hasan,15,14,51.4,0,358,15-Apr,21.05,6.92,18.2,,17,1,0,9,9,81,0,430,Apr-47,30.71,5.3,34.7,,14,1,0,0,25.12,553.0652866242,1285.6176172554
IS Sodhi,7,7,27.4,0,178,18-Mar,11.86,6.43,11,,15,0,0,5,5,41.1,1,251,Feb-66,41.83,6.09,41.1,,6,0,0,0,17.43,797.074010327,1852.8235539561
A Nehra,12,12,43,2,295,23-Mar,21.07,6.86,18.4,SRH,14,0,0,,,,,,,,,,,,,,550,25.26,550,1278.4922622904
A Zampa,10,10,35,0,212,16-Mar,15.14,6.05,15,RPS,14,0,0,20,20,161.2,2,889,Mar-16,28.67,5.51,31.2,RPS,31,0,0,30,21.05,660,1534.1907147485
KJ Abbott,7,7,26.3,0,212,26-Mar,16.3,8,12.2,,13,0,0,4,4,38,4,164,Apr-40,23.42,4.31,32.5,,7,1,0,0,20.2,687.7722772277,1598.7482448245
Mustafizur Rahman,8,8,32,0,209,22-May,16.07,6.53,14.7,,13,0,1,2,2,19.2,2,94,Feb-32,23.5,4.86,29,,4,0,0,0,21.23,654.4041450777,1521.1829743502
K Rabada,8,8,31.2,0,271,25-Feb,20.84,8.64,14.4,DD,13,0,0,17,16,132,7,733,Mar-13,34.9,5.55,37.7,DD,21,0,0,500,23.04,602.9947916667,1401.6803188131
MJ Santner,9,9,33.1,0,225,11-Apr,17.3,6.78,15.3,,13,1,0,15,15,139,2,606,Mar-44,33.66,4.35,46.3,,18,0,0,0,22.08,629.2119565217,1462.6229413702
HH Pandya,13,12,35.3,1,275,8-Mar,22.91,7.74,17.7,,12,0,0,7,7,51,1,296,Mar-31,32.88,5.8,34,,9,0,0,0,25.44,546.108490566,1269.4463264723
