Player,Mat,Inns,NO,RunsDescending,HS,Ave,BF,SR,100,50,0,4s,6s
AR Patel (INDIA),3,2,1,38,20*,38,20,190,0,0,0,1,3
MJ Santner (NZ),9,6,0,38,18,6.33,37,102.7,0,0,0,4,0
WU Tharanga (SL),4,4,0,38,20,9.5,29,131.03,0,0,1,6,1
JM Vince (ENG),2,2,0,38,22,19,32,118.75,0,0,0,6,0
JT Smuts (SA),3,3,0,36,19,12,30,120,0,0,0,5,1
Mosaddek Hossain (BDESH),3,3,0,33,20,11,31,106.45,0,0,0,2,2
Shuvagata Hom (BDESH),3,3,2,29,16*,29,28,103.57,0,0,0,3,1
TB de Bruyn (SA),2,2,0,26,19,13,16,162.5,0,0,0,3,1
MD Gunathilaka (SL),1,1,0,26,26,26,16,162.5,0,0,0,4,0
Nurul Hasan (BDESH),5,5,2,26,10,8.66,26,100,0,0,1,2,0
AJ Turner (AUS),3,3,0,26,18,8.66,21,123.8,0,0,0,1,0
PM Nevill (AUS),9,5,4,25,10*,25,11,227.27,0,0,0,1,2
JDS Neesham (NZ),2,2,0,20,15,10,17,117.64,0,0,0,3,0
TG Southee (NZ),1,1,0,20,20,20,6,333.33,0,0,0,0,3
RLB Rambukwella (SL),1,1,0,19,19,19,16,118.75,0,0,0,1,1
AM Phangiso (SA),4,2,0,17,13,8.5,24,70.83,0,0,0,1,0
Taskin Ahmed (BDESH),10,2,1,16,15*,16,17,94.11,0,0,0,1,1
R Ashwin (INDIA),11,2,1,15,10,15,22,68.18,0,0,0,1,0
Imrul Kayes (BDESH),4,3,0,14,14,4.66,29,48.27,0,0,2,1,0
HDRL Thirimanne (SL),4,4,0,14,6,3.5,26,53.84,0,0,1,2,0
MS Wade (AUS),1,1,0,14,14,14,23,60.86,0,0,0,0,0
SMSM Senanayake (SL),2,2,2,13,7*,-,14,92.85,0,0,0,1,0
RA Jadeja (INDIA),11,3,1,12,12,6,11,109.09,0,0,1,2,0
NM Coulter-Nile (AUS),6,2,0,10,9,5,11,90.9,0,0,0,0,1
JW Hastings (AUS),5,2,0,10,7,5,13,76.92,0,0,0,1,0
MF Maharoof (SL),1,1,0,10,10,10,16,62.5,0,0,0,0,0
WD Parnell (SA),4,4,3,10,4*,10,11,90.9,0,0,0,1,0
AC Agar (AUS),2,1,0,9,9,9,8,112.5,0,0,0,0,1
KJ Abbott (SA),7,2,2,8,6*,-,6,133.33,0,0,0,1,0
Arafat Sunny (BDESH),3,1,1,8,8*,-,4,200,0,0,0,0,1
TD Paine (AUS),3,3,1,8,7,4,6,133.33,0,0,1,1,0
SS Pathirana (SL),2,2,0,8,6,4,7,114.28,0,0,0,1,0
AU Rashid (ENG),13,5,3,8,4*,4,13,61.53,0,0,0,0,0
MJ McClenaghan (NZ),4,2,1,7,6*,7,3,233.33,0,0,0,0,1
HM Nicholls (NZ),1,1,0,7,7,7,11,63.63,0,0,0,1,0
A Zampa (AUS),10,2,2,7,5*,-,6,116.66,0,0,0,0,0
NT Broom (NZ),1,1,0,6,6,6,7,85.71,0,0,0,1,0
HMRKB Herath (SL),8,3,0,6,3,2,10,60,0,0,0,0,0
Mustafizur Rahman (BDESH),8,3,1,6,6,3,7,85.71,0,0,1,0,1
BM Wheeler (NZ),4,2,1,6,6,6,6,100,0,0,0,1,0
RR Pant (INDIA),1,1,1,5,5*,-,3,166.66,0,0,0,1,0
Parvez Rasool (INDIA),1,1,0,5,5,5,6,83.33,0,0,0,0,0
GD Phillips (NZ),1,1,0,5,5,5,11,45.45,0,0,0,0,0
JRMVB Sanjaya (SL),3,1,0,5,5,5,3,166.66,0,0,0,1,0
PVD Chameera (SL),7,4,4,4,2*,-,4,100,0,0,0,0,0
LE Plunkett (ENG),8,3,1,4,4,2,5,80,0,0,1,0,0
Rubel Hossain (BDESH),3,3,2,4,2*,4,5,80,0,0,0,0,0
PJ Cummins (AUS),3,2,1,3,3,3,3,100,0,0,0,0,0
ST de Silva (SL),3,2,0,3,3,1.5,7,42.85,0,0,1,0,0
Nasir Hossain (BDESH),2,1,0,3,3,3,7,42.85,0,0,0,0,0
JDF Vandersay (SL),3,3,2,3,3,3,8,37.5,0,0,0,0,0
KMC Bandara (SL),1,1,1,2,2*,-,4,50,0,0,0,0,0
SL Malinga (SL),4,2,1,2,1*,2,4,50,0,0,0,0,0
AF Milne (NZ),4,1,1,2,2*,-,2,100,0,0,0,0,0
L Ngidi (SA),3,1,1,2,2*,-,3,66.66,0,0,0,0,0
TA Boult (NZ),3,1,1,1,1*,-,1,100,0,0,0,0,0
R Dhawan (INDIA),1,1,1,1,1*,-,2,50,0,0,0,0,0
Imran Tahir (SA),13,1,0,1,1,1,6,16.66,0,0,0,0,0
DS Kulkarni (INDIA),2,1,1,1,1*,-,1,100,0,0,0,0,0
RAS Lakmal (SL),4,3,1,1,1,0.5,3,33.33,0,0,1,0,0
RJW Topley (ENG),4,1,1,1,1*,-,2,50,0,0,0,0,0
Al-Amin Hossain (BDESH),12,1,0,0,0,0,2,0,0,0,1,0,0
JJ Bumrah (INDIA),18,3,3,0,0*,-,2,0,0,0,0,0,0
N Pradeep (SL),2,1,0,0,0,0,1,0,0,0,1,0,0
NL McCullum (NZ),2,2,1,0,0*,0,1,0,0,0,1,0,0
TS Mills (ENG),4,1,0,0,0,0,2,0,0,0,1,0,0
A Mishra (INDIA),3,1,0,0,0,0,0,-,0,0,1,0,0
A Nehra (INDIA),12,1,0,0,0,0,4,0,0,0,1,0,0
AL Phehlukwayo (SA),4,1,0,0,0,0,2,0,0,0,1,0,0
