Player,Mat,Inns,NO,RunsDescending,HS,Ave,BF,SR,100,50,0,4s,6s
V Kohli (INDIA),15,13,5,494,89*,61.75,378,130.68,0,4,0,58,6
GJ Maxwell (AUS),9,9,2,431,145*,61.57,242,178.09,1,2,0,41,21
JE Root (ENG),12,12,2,423,83,42.3,329,128.57,0,2,0,39,11
Sabbir Rahman (BDESH),15,15,2,405,80,31.15,324,125,0,1,0,38,13
JC Buttler (ENG),13,12,4,381,73*,47.62,254,150,0,3,1,25,21
HM Amla (SA),8,8,3,370,97*,74,253,146.24,0,5,0,41,12
Tamim Iqbal (BDESH),11,11,2,363,103*,40.33,263,138.02,1,1,0,32,16
LD Chandimal (SL),14,14,1,323,58,24.84,302,106.95,0,3,0,32,7
F du Plessis (SA),10,10,1,304,79,33.77,237,128.27,0,1,0,24,11
MS Dhoni (INDIA),18,15,10,299,56,59.8,210,142.38,0,1,0,20,10
RG Sharma (INDIA),12,12,1,298,83,27.09,222,134.23,0,2,1,28,13
Mahmudullah (BDESH),15,13,5,296,52,37,222,133.33,0,1,0,23,11
AB de Villiers (SA),10,10,1,290,71,32.22,171,169.59,0,3,1,17,20
JJ Roy (ENG),13,13,0,289,78,22.23,216,133.79,0,1,2,29,13
EJG Morgan (ENG),13,13,2,283,51,25.72,231,122.51,0,1,2,9,16
KS Williamson (NZ),9,9,1,281,73*,35.12,255,110.19,0,2,0,29,5
KL Rahul (INDIA),8,7,2,280,110*,56,186,150.53,1,1,1,26,11
TM Dilshan (SL),10,10,2,270,83*,33.75,223,121.07,0,2,0,32,6
Shakib Al Hasan (BDESH),15,15,3,262,50*,21.83,236,111.01,0,1,0,21,5
Soumya Sarkar (BDESH),15,15,0,250,48,16.66,228,109.64,0,0,3,28,5
Q de Kock (SA),8,8,0,229,52,28.62,160,143.12,0,1,1,31,8
DA Miller (SA),12,10,2,229,53*,28.62,138,165.94,0,1,0,16,14
UT Khawaja (AUS),8,8,0,227,58,28.37,176,128.97,0,1,0,29,5
AD Mathews (SL),9,9,3,223,73*,37.16,212,105.18,0,2,0,11,9
DA Warner (AUS),9,9,0,221,77,24.55,153,144.44,0,1,0,23,7
C Munro (NZ),9,9,0,219,101,24.33,163,134.35,1,0,3,18,11
AJ Finch (AUS),7,7,0,208,53,29.71,148,140.54,0,1,0,15,11
CJ Anderson (NZ),9,9,1,203,94*,25.37,156,130.12,0,1,1,12,11
CK Kapugedera (SL),13,13,2,203,43,18.45,188,107.97,0,0,0,16,5
SK Raina (INDIA),13,10,0,184,63,18.4,154,119.48,0,1,1,12,8
Yuvraj Singh (INDIA),12,11,2,184,35,20.44,167,110.17,0,0,0,15,9
N Dickwella (SL),6,5,0,177,68,35.4,118,150,0,1,0,28,4
DAS Gunaratne (SL),6,6,3,164,84*,54.66,105,156.19,0,2,0,15,6
JP Duminy (SA),8,7,3,155,54*,38.75,107,144.85,0,1,0,10,7
SPD Smith (AUS),7,7,1,152,61*,25.33,127,119.68,0,1,0,12,4
SR Watson (AUS),6,6,2,147,44*,36.75,106,138.67,0,0,0,13,7
AD Hales (ENG),8,8,0,146,37,18.25,122,119.67,0,0,1,19,2
M Klinger (AUS),3,3,0,143,62,47.66,112,127.67,0,1,0,12,2
MJ Guptill (NZ),4,4,0,140,80,35,89,157.3,0,1,0,15,8
DM de Silva (SL),5,5,0,122,62,24.4,107,114.01,0,1,0,8,2
S Dhawan (INDIA),8,8,1,122,60,17.42,123,99.18,0,1,0,16,3
TM Head (AUS),5,5,1,119,45,29.75,73,163.01,0,0,0,5,7
BA Stokes (ENG),12,11,2,118,38,13.11,89,132.58,0,0,0,9,6
NLTC Perera (SL),9,8,0,108,40,13.5,76,142.1,0,0,1,10,5
TAM Siriwardana (SL),11,10,1,107,35,11.88,91,117.58,0,0,2,5,4
TC Bruce (NZ),4,4,1,104,59*,34.66,79,131.64,0,1,0,9,3
EMDY Munaweera (SL),3,3,0,91,44,30.33,58,156.89,0,0,0,10,3
LRPL Taylor (NZ),5,5,1,91,36*,22.75,80,113.75,0,0,0,5,3
Mandeep Singh (INDIA),3,3,1,87,52*,43.5,73,119.17,0,1,0,11,1
S Prasanna (SL),8,8,2,86,37*,14.33,64,134.37,0,0,0,7,5
Mohammad Mithun (BDESH),10,7,0,85,47,12.14,92,92.39,0,0,1,6,3
Mushfiqur Rahim (BDESH),12,10,2,84,18,10.5,96,87.5,0,0,2,9,0
MK Pandey (INDIA),6,4,0,81,48,20.25,67,120.89,0,0,1,1,4
KM Jadhav (INDIA),3,2,0,77,58,38.5,55,140,0,1,0,8,2
MC Henriques (AUS),5,4,2,76,56*,38,53,143.39,0,1,0,2,3
F Behardien (SA),6,5,1,75,31*,18.75,58,129.31,0,0,0,5,2
BKG Mendis (SL),8,8,0,74,22,9.25,60,123.33,0,0,0,6,3
MM Ali (ENG),12,9,4,73,41*,14.6,71,102.81,0,0,2,5,2
MR Marsh (AUS),5,5,2,71,35,23.66,56,126.78,0,0,0,3,4
HH Pandya (INDIA),13,8,0,71,31,8.87,57,124.56,0,0,1,6,3
C de Grandhomme (NZ),4,4,2,62,41*,31,34,182.35,0,0,0,3,5
BR Dunk (AUS),2,2,0,60,32,30,35,171.42,0,0,0,5,5
DJ Willey (ENG),8,5,2,60,21,20,49,122.44,0,0,1,2,4
MD Shanaka (SL),8,8,1,56,20*,8,61,91.8,0,0,2,3,3
CH Morris (SA),8,5,3,53,17*,26.5,45,117.77,0,0,0,4,2
RR Rossouw (SA),5,4,0,53,19,13.25,55,96.36,0,0,1,3,1
D Wiese (SA),8,5,2,53,28,17.66,42,126.19,0,0,0,2,2
AM Rahane (INDIA),4,4,1,51,40,17,47,108.51,0,0,1,3,0
GD Elliott (NZ),5,5,2,50,27,16.66,46,108.69,0,0,0,4,0
L Ronchi (NZ),8,7,2,50,21*,10,35,142.85,0,0,2,3,2
M Mosehle (SA),3,3,1,49,32*,24.5,26,188.46,0,0,0,3,4
CJ Jordan (ENG),13,7,2,48,15,9.6,54,88.88,0,0,1,6,0
KMDN Kulasekara (SL),12,7,2,47,13,9.4,41,114.63,0,0,1,6,0
Mashrafe Mortaza (BDESH),15,11,2,47,15*,5.22,43,109.3,0,0,3,4,3
GSNFG Jayasuriya (SL),6,5,0,44,26,8.8,42,104.76,0,0,0,3,2
JP Faulkner (AUS),11,8,3,42,14*,8.4,34,123.52,0,0,0,4,0
RR Hendricks (SA),1,1,0,41,41,41,34,120.58,0,0,0,4,0
SW Billings (ENG),5,4,0,39,22,9.75,26,150,0,0,1,4,2
HG Kuhn (SA),2,2,0,39,29,19.5,26,150,0,0,0,3,2
MDKJ Perera (SL),3,3,0,39,22,13,39,100,0,0,0,6,0
AT Rayudu (INDIA),3,2,0,39,20,19.5,42,92.85,0,0,0,5,0
