Player,MatDescending,Runs,HS,Bat Av,100,Wkts,BBI,Bowl Av,5,Ct,St,Ave Diff
MD Shanaka (SL),9,157,54,26.16,0,5,27-Feb,17.4,0,3,0,8.76
AJ Tye (AUS),9,0,0*,0,0,14,23-Apr,20.21,0,3,0,-20.21
JC Buttler (ENG),8,126,46,18,0,-,-,-,-,7,0,-
AJ Finch (AUS),8,232,53,46.4,0,-,-,-,-,3,0,-
DAS Gunaratne (SL),8,197,84*,28.14,0,4,11-Jan,27.25,0,2,0,0.89
CJ Jordan (ENG),8,35,16*,17.5,0,8,31-Mar,35.25,0,2,0,-17.74
Kuldeep Yadav (INDIA),8,16,16,16,0,12,Mar-52,18.5,0,1,0,-2.49
DA Miller (SA),8,188,101*,31.33,1,-,-,-,-,7,0,-
GD Phillips (NZ),8,97,56,16.16,0,-,-,-,-,7,2,-
JJ Roy (ENG),8,149,67,18.62,0,-,-,-,-,1,0,-
JRMVB Sanjaya (SL),8,20,6,6.66,0,9,20-Feb,27.77,0,1,0,-21.11
LRPL Taylor (NZ),8,159,43*,39.75,0,-,-,-,-,2,0,-
DJ Willey (ENG),8,46,21,7.66,0,6,28-Mar,41.66,0,3,0,-33.99
SW Billings (ENG),7,72,29,12,0,-,-,-,-,5,0,-
N Dickwella (SL),7,111,30,15.85,0,-,-,-,-,6,0,-
AD Hales (ENG),7,199,47*,33.16,0,-,-,-,-,3,0,-
GJ Maxwell (AUS),7,250,103*,83.33,1,3,10-Mar,3.33,0,5,0,80
DA Warner (AUS),7,106,59,15.14,0,-,-,-,-,8,0,-
TK Curran (ENG),6,8,6,8,0,7,Mar-33,27.85,0,1,0,-19.85
A Dananjaya (SL),6,23,11*,11.5,0,1,20-Jan,186,0,3,0,-174.49
AB de Villiers (SA),6,241,65*,48.2,0,-,-,-,-,4,0,-
JP Duminy (SA),6,168,64*,33.6,0,3,23-Feb,24.33,0,1,0,9.26
MD Gunathilaka (SL),6,153,51,25.5,0,3,3-Feb,11.66,0,1,0,13.83
TM Head (AUS),6,128,48*,25.6,0,1,16-Jan,30,0,1,0,-4.39
RR Hendricks (SA),6,113,70,18.83,0,-,-,-,-,0,0,-
SS Iyer (INDIA),6,83,30,16.6,0,-,-,-,-,1,0,-
Mahmudullah (BDESH),6,146,43,29.2,0,1,15-Jan,77,0,3,0,-47.79
SL Malinga (SL),6,2,1*,1,0,12,1-Mar,16.5,0,2,0,-15.49
Mohammad Saifuddin (BDESH),6,88,39*,29.33,0,4,1-Feb,49.75,0,1,0,-20.41
CH Morris (SA),6,33,12,8.25,0,7,10-Feb,25.14,0,0,0,-16.89
Mushfiqur Rahim (BDESH),6,110,66*,22,0,-,-,-,-,0,2,-
D Paterson (SA),6,5,4*,5,0,7,Apr-32,29.28,0,1,0,-24.28
Soumya Sarkar (BDESH),6,205,51,34.16,0,1,25-Jan,25,0,6,0,9.16
B Stanlake (AUS),6,-,-,-,-,8,15-Mar,26,0,0,0,-
MP Stoinis (AUS),6,10,6,5,0,3,16-Jan,43,0,2,0,-37.99
I Udana (SL),6,25,19*,12.5,0,5,12-Jan,32,0,1,0,-19.49
AC Agar (AUS),5,2,2,2,0,7,27-Mar,16.42,0,4,0,-14.42
AT Carey (AUS),5,6,5*,-,0,-,-,-,-,4,1,-
MC Henriques (AUS),5,145,62*,72.5,0,0,-,-,0,1,0,-
CK Kapugedera (SL),5,99,50,33,0,-,-,-,-,4,0,-
KD Karthik (INDIA),5,84,48,42,0,-,-,-,-,1,0,-
AK Kitchen (NZ),5,38,16,12.66,0,2,3-Jan,23,0,3,0,-10.33
KMDN Kulasekara (SL),5,22,12,22,0,5,1-Apr,36.6,0,0,0,-14.59
CA Lynn (AUS),5,93,44,23.25,0,-,-,-,-,0,0,-
DJ Malan (ENG),5,250,78,50,0,1,27-Jan,27,0,1,0,23
EJG Morgan (ENG),5,110,80*,36.66,0,-,-,-,-,2,0,-
TD Paine (AUS),5,25,17,8.33,0,-,-,-,-,6,2,-
MDKJ Perera (SL),5,181,77,36.2,0,-,-,-,-,1,0,-
AU Rashid (ENG),5,10,8*,5,0,7,25-Mar,21,0,1,0,-15.99
KW Richardson (AUS),5,-,-,-,-,8,1-Mar,19.75,0,2,0,-
Sabbir Rahman (BDESH),5,60,19,12,0,-,-,-,-,0,0,-
S Samarawickrama (SL),5,85,32,17,0,-,-,-,-,3,1,-
T Shamsi (SA),5,0,0*,-,0,2,31-Jan,69.5,0,0,0,-
DJM Short (AUS),5,196,76,49,0,0,-,-,0,0,0,-
TAM Siriwardana (SL),5,50,35,12.5,0,0,-,-,0,2,0,-
JT Smuts (SA),5,90,45,18,0,0,-,-,0,1,0,-
JD Unadkat (INDIA),5,-,-,-,-,7,15-Feb,17,0,1,0,-
A Zampa (AUS),5,4,4*,-,0,8,25-Mar,12.12,0,0,0,-
MS Chapman (NZ),4,81,37*,27,0,-,-,-,-,2,0,-
LA Dawson (ENG),4,17,10,17,0,2,27-Jan,52.5,0,0,0,-35.49
KM Jadhav (INDIA),4,31,27,15.5,0,-,-,-,-,0,0,-
BKG Mendis (SL),4,142,70,35.5,0,-,-,-,-,0,0,-
M Mosehle (SA),4,56,36,18.66,0,-,-,-,-,3,1,-
Mustafizur Rahman (BDESH),4,8,8,8,0,5,Apr-18,23.2,0,1,0,-15.19
AR Patel (INDIA),4,6,5,6,0,2,20-Feb,52,0,1,0,-45.99
LE Plunkett (ENG),4,18,18,6,0,6,27-Mar,19.66,0,3,0,-13.66
KL Rahul (INDIA),4,178,89,44.5,0,-,-,-,-,2,0,-
SHA Rance (NZ),4,1,1,1,0,7,26-Mar,14.71,0,0,0,-13.71
TL Seifert (NZ),4,29,14*,14.5,0,-,-,-,-,1,2,-
Shakib Al Hasan (BDESH),4,64,38,16,0,6,24-Mar,17.16,0,0,0,-1.16
HM Amla (SA),3,150,85,50,0,-,-,-,-,3,0,-
JM Bairstow (ENG),3,134,60*,67,0,-,-,-,-,0,0,-
DAJ Bracewell (NZ),3,0,0,0,0,2,Feb-18,5,0,0,0,-4.99
PVD Chameera (SL),3,15,12,7.5,0,3,22-Feb,35,0,1,0,-27.49
PJ Cummins (AUS),3,3,3,3,0,2,28-Jan,38.5,0,1,0,-35.49
CJ Dala (SA),3,2,2*,-,0,7,1-Mar,15.71,0,1,0,-
JP Faulkner (AUS),3,17,14*,8.5,0,5,20-Mar,15.8,0,1,0,-7.29
N Pradeep (SL),3,0,0*,-,0,3,1-Feb,45,0,0,0,-
Imran Tahir (SA),3,-,-,-,-,6,24-May,16.5,1,0,0,-
Imrul Kayes (BDESH),3,52,36,17.33,0,-,-,-,-,2,0,-
H Klaasen (SA),3,92,69,30.66,0,-,-,-,-,4,0,-
M Klinger (AUS),3,143,62,47.66,0,-,-,-,-,2,0,-
AD Mathews (SL),3,8,7,4,0,1,19-Jan,68,0,0,0,-63.99
Mehidy Hasan Miraz (BDESH),3,27,14,9,0,2,1-Feb,46,0,2,0,-36.99
HM Nicholls (NZ),3,8,6,4,0,-,-,-,-,0,0,-
SS Pathirana (SL),3,19,14,6.33,0,2,18-Jan,25.5,0,0,0,-19.16
AM Phangiso (SA),3,-,-,-,-,3,1-Feb,24.66,0,0,0,-
SMA Priyanjan (SL),3,54,40*,54,0,-,-,-,-,0,0,-
SK Raina (INDIA),3,89,43,29.66,0,1,27-Jan,27,0,4,0,2.66
Rubel Hossain (BDESH),3,3,2*,-,0,2,1-Jan,68.5,0,0,0,-
Taskin Ahmed (BDESH),3,4,4,2,0,1,1-Jan,95,0,0,0,-92.99
AJ Turner (AUS),3,26,18,8.66,0,3,12-Feb,14,0,2,0,-5.33
ML Udawatte (SL),3,19,11,6.33,0,-,-,-,-,0,0,-
BM Wheeler (NZ),3,37,30,18.5,0,3,1-Feb,49.66,0,1,0,-31.16
MA Wood (ENG),3,10,5*,-,0,5,1-Feb,22.6,0,0,0,-
Ariful Haque (BDESH),2,3,2,3,0,-,-,-,-,0,0,-
JP Behrendorff (AUS),2,-,-,-,-,4,21-Apr,6.5,0,1,0,-
TA Blundell (NZ),2,17,14,17,0,-,-,-,-,1,0,-
LD Chandimal (SL),2,2,2*,-,0,-,-,-,-,0,1,-
NM Coulter-Nile (AUS),2,1,1,1,0,2,20-Jan,21.5,0,0,0,-20.49
MS Crane (ENG),2,-,-,-,-,1,1-Jan,62,0,0,0,-
Q de Kock (SA),2,59,59,29.5,0,-,-,-,-,3,0,-
PC de Silva (SL),2,22,21,11,0,0,-,-,0,1,0,-
BR Dunk (AUS),2,60,32,30,0,-,-,-,-,1,0,-
R Frylinck (SA),2,-,-,-,-,3,1-Feb,14,0,1,0,-
BE Hendricks (SA),2,-,-,-,-,3,1-Feb,23.33,0,2,0,-
LS Livingstone (ENG),2,16,16,8,0,-,-,-,-,0,0,-
DSK Madushanka (SL),2,-,-,-,-,2,23-Feb,31,0,0,0,-
Mashrafe Mortaza (BDESH),2,9,9*,9,0,3,Feb-32,20.66,0,1,0,-11.66
BMAJ Mendis (SL),2,-,-,-,-,3,21-Feb,9.66,0,2,0,-
Mohammed Siraj (INDIA),2,-,-,-,-,2,1-Jan,49,0,1,0,-
M Morkel (SA),2,5,5*,-,0,1,1-Jan,75,0,0,0,-
Mosaddek Hossain (BDESH),2,51,34*,51,0,0,-,-,0,1,0,-
Nazmul Islam (BDESH),2,1,1*,-,0,2,Feb-18,26.5,0,0,0,-
WD Parnell (SA),2,4,4*,-,0,0,-,-,0,1,0,-
D Pretorius (SA),2,-,-,-,-,1,27-Jan,47,0,0,0,-
JA Richardson (AUS),2,0,0,0,0,2,Jan-18,31,0,3,0,-30.99
Tamim Iqbal (BDESH),2,29,29,14.5,0,-,-,-,-,1,0,-
SN Thakur (INDIA),2,-,-,-,-,2,31-Jan,33,0,1,0,-
JM Vince (ENG),2,31,21,15.5,0,-,-,-,-,0,0,-
Abu Jayed (BDESH),1,2,2,2,0,1,1-Jan,45,0,0,0,-42.99
Afif Hossain (BDESH),1,0,0,0,0,1,26-Jan,26,0,1,0,-25.99
CJ Anderson (NZ),1,6,6,6,0,-,-,-,-,1,0,-
MA Aponso (SL),1,-,-,-,-,1,31-Jan,31,0,0,0,-
R Ashwin (INDIA),1,11,11*,-,0,0,-,-,0,0,0,-
DT Christian (AUS),1,9,9,9,0,0,-,-,0,0,0,-
