Player,MatDescending,Runs,HS,Bat Av,100,Wkts,BBI,Bowl Av,5,Ct,St,Ave Diff
MJ Guptill (NZ),14,465,105,33.21,1,-,-,-,-,4,0,-
C Munro (NZ),14,572,109*,47.66,2,3,12-Jan,33.33,0,5,0,14.33
MJ Santner (NZ),14,126,37,31.5,0,9,15-Feb,37,0,6,0,-5.49
IS Sodhi (NZ),14,39,15,13,0,15,23-Feb,26.13,0,4,0,-13.13
MS Dhoni (INDIA),13,235,52*,39.16,0,-,-,-,-,7,6,-
TG Southee (NZ),13,52,20,13,0,16,13-Mar,22.56,0,3,0,-9.56
KS Williamson (NZ),13,204,72,17,0,0,-,-,0,5,0,-
TA Boult (NZ),12,2,1*,-,0,19,Apr-34,20.1,0,3,0,-
C de Grandhomme (NZ),12,102,38*,14.57,0,6,22-Feb,40.83,0,4,0,-26.26
RG Sharma (INDIA),12,315,118,26.25,1,-,-,-,-,6,0,-
TC Bruce (NZ),11,155,33,15.5,0,-,-,-,-,10,0,-
HH Pandya (INDIA),11,88,25,14.66,0,11,29-Mar,23.36,0,9,0,-8.69
NLTC Perera (SL),11,145,39*,16.11,0,8,24-Mar,35.87,0,5,0,-19.76
WU Tharanga (SL),11,180,47,16.36,0,-,-,-,-,0,0,-
JJ Bumrah (INDIA),10,8,7,8,0,8,9-Feb,31.37,0,1,0,-23.37
YS Chahal (INDIA),10,3,3*,-,0,16,23-Apr,21.43,0,3,0,-
B Kumar (INDIA),10,6,3*,6,0,12,24-May,19.75,1,1,0,-13.74
MK Pandey (INDIA),10,260,79*,65,0,-,-,-,-,3,0,-
F Behardien (SA),9,219,64*,54.75,0,-,-,-,-,3,0,-
S Dhawan (INDIA),9,270,80,33.75,0,-,-,-,-,5,0,-
V Kohli (INDIA),9,274,82,39.14,0,-,-,-,-,3,0,-
EMDY Munaweera (SL),9,176,53,19.55,0,1,26-Jan,92,0,0,0,-72.44
AL Phehlukwayo (SA),9,40,27*,20,0,12,19-Mar,17.58,0,1,0,2.41
S Prasanna (SL),9,111,23*,18.5,0,4,19-Jan,38,0,3,0,-19.49
