Player,Type,Price (?),Team
Prithvi Shaw,Batsman,"1,20,00,000",DD
Gurkeerat Singh Mann,All Rounder,"75,00,000",DD
Avesh Khan,Bowler,"70,00,000",DD
Abhishek Sharma,Bowler,"55,00,000",DD
Jayant Yadav,All Rounder,"50,00,000",DD
Harshal Patel,Bowler,"20,00,000",DD
Sandeep Lamichhane,Bowler,"20,00,000",DD
Manjot Kalra,Batsman,"20,00,000",DD
Sayan Ghosh,Bowler,"20,00,000",DD
Axar Patel*,All Rounder,"12,50,00,000",KXIP
Lokesh Rahul,Wicket Keeper,"11,00,00,000",KXIP
Ravichandran Ashwin,Bowler,"7,60,00,000",KXIP
Andrew Tye,Bowler,"7,20,00,000",KXIP
Aaron Finch,Batsman,"6,20,00,000",KXIP
Marcus Stoinis,All Rounder,"6,20,00,000",KXIP
Karun Nair,Batsman,"5,60,00,000",KXIP
Mujeeb Zadran,Bowler,"4,00,00,000",KXIP
Ankit Rajpoot,Bowler,"3,00,00,000",KXIP
David Miller,Batsman,"3,00,00,000",KXIP
Mohit Sharma,Bowler,"2,40,00,000",KXIP
Barinder Sran,Bowler,"2,20,00,000",KXIP
Chris Gayle,All Rounder,"2,00,00,000",KXIP
Yuvraj Singh,All Rounder,"2,00,00,000",KXIP
Ben Dwarshuis,All Rounder,"1,40,00,000",KXIP
Mayank Agarwal,Batsman,"1,00,00,000",KXIP
Manoj Tiwary,Batsman,"1,00,00,000",KXIP
Akshdeep Nath,Batsman,"1,00,00,000",KXIP
Pardeep Sahu,All Rounder,"20,00,000",KXIP
Manzoor Ahmad Dar,Batsman,"20,00,000",KXIP
Mayank Dagar,Bowler,"20,00,000",KXIP
Sunil Narine*,Bowler,"12,50,00,000",KKR
Chris Lynn,Batsman,"9,60,00,000",KKR
Mitchell Starc,Bowler,"9,40,00,000",KKR
Andre Russell*,All Rounder,"8,50,00,000",KKR
Dinesh Karthik,Wicket Keeper,"7,40,00,000",KKR
Robin Uthappa,Wicket Keeper,"6,40,00,000",KKR
Kuldeep Yadav,Bowler,"5,80,00,000",KKR
Piyush Chawla,Bowler,"4,20,00,000",KKR
Nitish Rana,Batsman,"3,40,00,000",KKR
Kamlesh Nagarkoti,All Rounder,"3,20,00,000",KKR
Shivam Mavi,All Rounder,"3,00,00,000",KKR
Mitchell Johnson,Bowler,"2,00,00,000",KKR
Shubman Gill,Batsman,"1,80,00,000",KKR
Vinay Kumar,Bowler,"1,00,00,000",KKR
Rinku Singh,Batsman,"80,00,000",KKR
Cameron Delport,All Rounder,"30,00,000",KKR
Javon Searles,Bowler,"30,00,000",KKR
Apoorv Wankhade,Batsman,"20,00,000",KKR
Ishank Jaggi,Batsman,"20,00,000",KKR
Rohit Sharma*,Batsman,"15,00,00,000",MI
Hardik Pandya*,All Rounder,"11,00,00,000",MI
Krunal Pandya,Batsman,"8,80,00,000",MI
Jasprit Bumrah*,Bowler,"7,00,00,000",MI
Ishan Kishan,Wicket Keeper,"6,20,00,000",MI
Pat Cummins,Bowler,"5,40,00,000",MI
Kieron Pollard,All Rounder,"5,40,00,000",MI
Evin Lewis,Batsman,"3,80,00,000",MI
Suryakumar Yadav,Batsman,"3,20,00,000",MI
Ben Cutting,Bowler,"2,20,00,000",MI
Mustafizur Rahman,Bowler,"2,20,00,000",MI
Rahul Chahar,Bowler,"1,90,00,000",MI
Jason Behrendorff,Bowler,"1,50,00,000",MI
Pradeep Sangwan,Bowler,"1,50,00,000",MI
JP Duminy,Batsman,"1,00,00,000",MI
Saurabh Tiwary,Batsman,"80,00,000",MI
Tajinder Singh,Batsman,"55,00,000",MI
Akila Dananjaya,Bowler,"50,00,000",MI
Aditya Tare,Wicket Keeper,"20,00,000",MI
MD Nidheesh,Bowler,"20,00,000",MI
Anukul Roy,All Rounder,"20,00,000",MI
Mayank Markande,Bowler,"20,00,000",MI
Sharad Lumba,Bowler,"20,00,000",MI
Mohsin Khan,Bowler,"20,00,000",MI
Siddhesh Lad,Batsman,"20,00,000",MI
Steven Smith*,Batsman,"12,50,00,000",RR
Ben Stokes,All Rounder,"12,50,00,000",RR
Jaydev Unadkat,Bowler,"11,50,00,000",RR
Sanju Samson,Wicket Keeper,"8,00,00,000",RR
Jofra Archer,All Rounder,"7,20,00,000",RR
Krishnappa Gowtham,Bowler,"6,20,00,000",RR
Jos Buttler,Wicket Keeper,"4,40,00,000",RR
D'Arcy Short,All Rounder,"4,00,00,000",RR
Ajinkya Rahane,Batsman,"4,00,00,000",RR
Rahul Tripathi,Batsman,"3,40,00,000",RR
Dhawal Kulkarni,Bowler,"75,00,000",RR
Zahir Khan,Bowler,"60,00,000",RR
Dushmantha Chameera,Bowler,"50,00,000",RR
Ben Laughlin,Bowler,"50,00,000",RR
Stuart Binny,All Rounder,"50,00,000",RR
Aryaman Birla,All Rounder,"30,00,000",RR
Anureet Singh,Bowler,"30,00,000",RR
Jatin Saxena,All Rounder,"20,00,000",RR
Ankit Sharma,All Rounder,"20,00,000",RR
S Midhun,All Rounder,"20,00,000",RR
Shreyas Gopal,All Rounder,"20,00,000",RR
Prashant Chopra,Batsman,"20,00,000",RR
Mahipal Lomror,All Rounder,"20,00,000",RR
Virat Kohli*,Batsman,"17,00,00,000",RCB
AB de Villiers*,Wicket Keeper,"11,00,00,000",RCB
Chris Woakes,Bowler,"7,40,00,000",RCB
Yuzvendra Chahal,Bowler,"6,00,00,000",RCB
Umesh Yadav,Bowler,"4,20,00,000",RCB
Brendon McCullum,Wicket Keeper,"3,60,00,000",RCB
Washington Sundar,All Rounder,"3,20,00,000",RCB
Sarfaraz Khan*,Batsman,"3,00,00,000",RCB
Navdeep Saini,Bowler,"3,00,00,000",RCB
Quinton de Kock,Wicket Keeper,"2,80,00,000",RCB
Mohammed Siraj,Bowler,"2,60,00,000",RCB
Nathan Coulter-Nile,Bowler,"2,20,00,000",RCB
Colin de Grandhomme,All Rounder,"2,20,00,000",RCB
Murugan Ashwin,All Rounder,"2,20,00,000",RCB
Parthiv Patel,Wicket Keeper,"1,70,00,000",RCB
Moeen Ali,All Rounder,"1,70,00,000",RCB
Mandeep Singh,All Rounder,"1,40,00,000",RCB
Manan Vohra,Batsman,"1,10,00,000",RCB
Pawan Negi,Bowler,"1,00,00,000",RCB
Tim Southee,Bowler,"1,00,00,000",RCB
Kulwant Khejroliya,Bowler,"85,00,000",RCB
Aniket Choudhary,Bowler,"30,00,000",RCB
Aniruddha Joshi,All Rounder,"20,00,000",RCB
Pavan Deshpande,Bowler,"20,00,000",RCB
David Warner*,Batsman,"12,50,00,000",SRH
Manish Pandey,Batsman,"11,00,00,000",SRH
Rashid Khan,Bowler,"9,00,00,000",SRH
Bhuvneshwar Kumar*,Bowler,"8,50,00,000",SRH
Shikhar Dhawan,Batsman,"5,20,00,000",SRH
Wriddhiman Saha,Wicket Keeper,"5,00,00,000",SRH
Siddarth Kaul,Bowler,"3,80,00,000",SRH
Deepak Hooda,All Rounder,"3,60,00,000",SRH
Sandeep Sharma,Bowler,"3,00,00,000",SRH
Kane Williamson,Batsman,"3,00,00,000",SRH
Khaleel Ahmed,Bowler,"3,00,00,000",SRH
Shakib Al Hasan,All Rounder,"2,00,00,000",SRH
Carlos Brathwaite,All Rounder,"2,00,00,000",SRH
Yusuf Pathan,All Rounder,"1,90,00,000",SRH
Chris Jordan,Bowler,"1,00,00,000",SRH
Shreevats Goswami,Wicket Keeper,"1,00,00,000",SRH
Mohammad Nabi,All Rounder,"1,00,00,000",SRH
Basil Thampi,Bowler,"95,00,000",SRH
Billy Stanlake,Bowler,"50,00,000",SRH
T Natarajan,Batsman,"40,00,000",SRH
Mehdi Hasan,All Rounder,"20,00,000",SRH
Sachin Baby,Batsman,"20,00,000",SRH
Bipul Sharma,All Rounder,"20,00,000",SRH
Ricky Bhui,Batsman,"20,00,000",SRH
Tanmay Agarwal,Bowler,"20,00,000",SRH
