Player,Type,Price (?),Team
MS Dhoni*,Wicket Keeper,"15,00,00,000",CSK
Suresh Raina*,Batsman,"11,00,00,000",CSK
Kedar Jadhav,Batsman,"7,80,00,000",CSK
Ravindra Jadeja*,All Rounder,"7,00,00,000",CSK
Dwayne Bravo,All Rounder,"6,40,00,000",CSK
Karn Sharma,Bowler,"5,00,00,000",CSK
Shane Watson,All Rounder,"4,00,00,000",CSK
Shardul Thakur,Bowler,"2,60,00,000",CSK
Ambati Rayudu,Wicket Keeper,"2,20,00,000",CSK
Murali Vijay,Batsman,"2,00,00,000",CSK
Harbhajan Singh,Bowler,"2,00,00,000",CSK
Faf du Plessis,Batsman,"1,60,00,000",CSK
Mark Wood,Bowler,"1,50,00,000",CSK
Sam Billings,Wicket Keeper,"1,00,00,000",CSK
Imran Tahir,Bowler,"1,00,00,000",CSK
Deepak Chahar,Bowler,"80,00,000",CSK
Lungi Ngidi,Bowler,"50,00,000",CSK
Mitchell Santner,Bowler,"50,00,000",CSK
KM Asif,Bowler,"40,00,000",CSK
Chaitanya Bishnoi,All Rounder,"20,00,000",CSK
Narayan Jagadeesan,Wicket Keeper,"20,00,000",CSK
Dhruv Shorey,All Rounder,"20,00,000",CSK
Kshitiz Sharma,All Rounder,"20,00,000",CSK
Kanishk Seth,Bowler,"20,00,000",CSK
Monu Kumar,Bowler,"20,00,000",CSK
Rishabh Pant*,Wicket Keeper,"15,00,00,000",DD
Chris Morris*,All Rounder,"11,00,00,000",DD
Glenn Maxwell,All Rounder,"9,00,00,000",DD
Shreyas Iyer*,Batsman,"7,00,00,000",DD
Kagiso Rabada,Bowler,"4,20,00,000",DD
Amit Mishra,Bowler,"4,00,00,000",DD
Vijay Shankar,All Rounder,"3,20,00,000",DD
Shahbaz Nadeem,Bowler,"3,20,00,000",DD
Mohammed Shami,Bowler,"3,00,00,000",DD
Rahul Tewatia,All Rounder,"3,00,00,000",DD
Gautam Gambhir,Batsman,"2,80,00,000",DD
Trent Boult,Bowler,"2,20,00,000",DD
Colin Munro,Batsman,"1,90,00,000",DD
Daniel Christian,All Rounder,"1,50,00,000",DD
Jason Roy,Batsman,"1,50,00,000",DD
Naman Ojha,Wicket Keeper,"1,40,00,000",DD
