Player,Type,Price (?),Team
Mitchell McClenaghan*,Bowler,"30,00,000",MI
Nicolas Pooran,Wicket Keeper,"30,00,000",MI
Saurabh Tiwary,Batsman,"30,00,000",MI
Shreyas Gopal*,All Rounder,"10,00,000",MI
Hardik Pandya*,All Rounder,"10,00,000",MI
Nitish Rana*,Batsman,"10,00,000",MI
Siddhesh Lad*,Batsman,"10,00,000",MI
Jitesh Sharma*,Wicket Keeper,"10,00,000",MI
Jagadeesha Suchith*,All Rounder,"10,00,000",MI
Kulwant Khejroliya,Bowler,"10,00,000",MI
Deepak Punia*,Bowler,"10,00,000",MI
Shikhar Dhawan*,Batsman,"12,50,00,000",SRH
Yuvraj Singh*,All Rounder,"7,00,00,000",SRH
Ashish Nehra*,Bowler,"5,50,00,000",SRH
David Warner*,Batsman,"5,50,00,000",SRH
Bhuvneshwar Kumar*,Bowler,"4,25,00,000",SRH
Deepak Hooda*,All Rounder,"4,20,00,000",SRH
Rashid Khan,Bowler,"4,00,00,000",SRH
Mohammed Siraj,Bowler,"2,60,00,000",SRH
Mustafizur Rahman*,Bowler,"1,40,00,000",SRH
Barinder Sran*,Bowler,"1,20,00,000",SRH
Moises Henriques*,All Rounder,"1,00,00,000",SRH
Eklavya Dwivedi,Wicket Keeper,"75,00,000",SRH
Kane Williamson*,Batsman,"60,00,000",SRH
Chris Jordan,Bowler,"50,00,000",SRH
Ben Cutting*,Bowler,"50,00,000",SRH
Naman Ojha*,Wicket Keeper,"50,00,000",SRH
Vijay Shankar*,All Rounder,"35,00,000",SRH
Abhimanyu Mithun*,Bowler,"30,00,000",SRH
Mohammad Nabi,All Rounder,"30,00,000",SRH
Ben Laughlin,Bowler,"30,00,000",SRH
Siddarth Kaul*,Bowler,"10,00,000",SRH
Pravin Tambe,Bowler,"10,00,000",SRH
Bipul Sharma*,All Rounder,"10,00,000",SRH
Ricky Bhui*,Batsman,"10,00,000",SRH
Tanmay Agarwal,Bowler,"10,00,000",SRH
Ben Stokes,All Rounder,"14,50,00,000",RPS
MS Dhoni*,Wicket Keeper,"12,50,00,000",RPS
Ajinkya Rahane*,Batsman,"9,50,00,000",RPS
Ravichandran Ashwin*,All Rounder,"7,50,00,000",RPS
Steven Smith*,All Rounder,"5,50,00,000",RPS
Mitchell Marsh*,All Rounder,"4,80,00,000",RPS
Faf du Plessis*,All Rounder,"4,00,00,000",RPS
Mayank Agarwal*,Batsman,"1,60,00,000",RPS
Daniel Christian,All Rounder,"1,00,00,000",RPS
Usman Khawaja*,Batsman,"1,00,00,000",RPS
Rajat Bhatia*,All Rounder,"60,00,000",RPS
Manoj Tiwary,Batsman,"50,00,000",RPS
Ashok Dinda*,Bowler,"50,00,000",RPS
Lockie Ferguson,Bowler,"50,00,000",RPS
Adam Zampa*,Bowler,"30,00,000",RPS
Jaydev Unadkat,Bowler,"30,00,000",RPS
Ishwar Pandey*,Bowler,"20,00,000",RPS
Rahul Tripathi,Batsman,"10,00,000",RPS
Baba Aparajith*,Batsman,"10,00,000",RPS
Deepak Chahar*,Bowler,"10,00,000",RPS
Ankit Sharma*,All Rounder,"10,00,000",RPS
Ankush Bains*,Wicket Keeper,"10,00,000",RPS
Jaskarandeep Buttar*,Bowler,"10,00,000",RPS
Milind Tandon,All Rounder,"10,00,000",RPS
Saurabh Kumar,Bowler,"10,00,000",RPS
Rahul Chahar,Bowler,"10,00,000",RPS
Suresh Raina*,Batsman,"12,50,00,000",GL
Ravindra Jadeja*,All Rounder,"9,50,00,000",GL
James Faulkner*,All Rounder,"7,50,00,000",GL
Brendon McCullum*,Wicket Keeper,"5,50,00,000",GL
Dwayne Bravo*,All Rounder,"4,00,00,000",GL
Praveen Kumar*,All Rounder,"3,50,00,000",GL
Dinesh Karthik*,Wicket Keeper,"2,30,00,000",GL
Dwayne Smith*,All Rounder,"2,30,00,000",GL
Dhawal Kulkarni*,Bowler,"2,00,00,000",GL
Jason Roy,Batsman,"1,00,00,000",GL
Aaron Finch*,Batsman,"1,00,00,000",GL
Basil Thampi,Bowler,"85,00,000",GL
Manpreet Gony,Bowler,"60,00,000",GL
Andrew Tye*,Bowler,"50,00,000",GL
Nathu Singh,Bowler,"50,00,000",GL
Ishan Kishan*,Wicket Keeper,"35,00,000",GL
Munaf Patel,Bowler,"30,00,000",GL
Pradeep Sangwan*,Bowler,"20,00,000",GL
Shadab Jakati*,Bowler,"20,00,000",GL
Jaydev Shah*,Batsman,"20,00,000",GL
Akshdeep Nath,Batsman,"10,00,000",GL
Chirag Suri,Batsman,"10,00,000",GL
Shelley Shaurya,Bowler,"10,00,000",GL
Shubham Agarwal,All Rounder,"10,00,000",GL
Tejas Baroka,Bowler,"10,00,000",GL
Pratham Singh,All Rounder,"10,00,000",GL
Shivil Kaushik*,Bowler,"10,00,000",GL
