Player,MatDescending,Runs,HS,Bat Av,100,Wkts,BBI,Bowl Av,5,Ct,St,Ave Diff
MM Sharma (INDIA),4,3,3*,-,0,3,28-Feb,27.66,0,1,0,-
BA Stokes (ENG),4,37,24*,18.5,0,4,Feb-18,26,0,2,0,-7.49
RJW Topley (ENG),4,1,1*,-,0,4,24-Mar,29.5,0,1,0,-
JDF Vandersay (SL),4,12,8*,-,0,1,30-Jan,115,0,1,0,-
SR Watson (AUS),4,159,124*,53,1,3,24-Feb,34.66,0,3,0,18.33
CJ Boyce (AUS),3,3,3,3,0,2,28-Feb,35,0,0,0,-31.99
MJ Henry (NZ),3,10,10,10,0,5,1-Mar,21.4,0,0,0,-11.39
KMDN Kulasekara (SL),3,18,14,9,0,2,26-Feb,42.5,0,2,0,-33.49
Liton Das (BDESH),3,49,22,16.33,0,-,-,-,-,3,0,-
CA Lynn (AUS),3,32,17,10.66,0,-,-,-,-,1,0,-
GJ Maxwell (AUS),3,48,44,16,0,1,17-Jan,39,0,0,0,-22.99
S Prasanna (SL),3,13,9,6.5,0,0,-,-,0,0,0,-
IS Sodhi (NZ),3,-,-,-,-,4,Feb-18,18.75,0,2,0,-
Taskin Ahmed (BDESH),3,16,15*,-,0,2,29-Jan,41,0,0,0,-
JM Vince (ENG),3,125,46,41.66,0,-,-,-,-,0,0,-
MS Wade (AUS),3,23,16*,11.5,0,-,-,-,-,1,0,-
Abu Hider (BDESH),2,14,14,14,0,3,Feb-40,24.33,0,0,0,-10.33
Anamul Haque (BDESH),2,48,47,24,0,-,-,-,-,0,0,-
TD Astle (NZ),2,1,1,1,0,0,-,-,0,2,0,-
STR Binny (INDIA),2,35,24,17.5,0,1,14-Jan,22,0,0,0,-4.49
SM Boland (AUS),2,-,-,-,-,0,-,-,0,0,0,-
Q de Kock (SA),2,56,44,28,0,-,-,-,-,2,1,-
DM de Silva (SL),2,45,31,22.5,0,-,-,-,-,0,0,-
N Dickwella (SL),2,5,4,2.5,0,-,-,-,-,1,0,-
JP Faulkner (AUS),2,20,10,10,0,1,1-Jan,78,0,1,0,-67.99
B Fernando (SL),2,8,8*,-,0,3,1-Feb,23.66,0,0,0,-
AJ Finch (AUS),2,118,74,59,0,-,-,-,-,0,0,-
ST Finn (ENG),2,-,-,-,-,1,1-Jan,68,0,2,0,-
Harbhajan Singh (INDIA),2,8,8*,8,0,2,1-Feb,24.5,0,0,0,-16.49
TM Head (AUS),2,28,26,14,0,0,-,-,0,0,0,-
KM Jadhav (INDIA),2,14,9,7,0,-,-,-,-,1,0,-
TWM Latham (NZ),2,15,12,7.5,0,-,-,-,-,1,0,-
E Leie (SA),2,-,-,-,-,4,16-Mar,12,0,0,0,-
SE Marsh (AUS),2,32,23,16,0,-,-,-,-,0,0,-
JDS Neesham (NZ),2,28,28,28,0,2,21-Jan,21.5,0,3,0,6.5
MK Pandey (INDIA),2,19,19,9.5,0,-,-,-,-,1,0,-
WD Parnell (SA),2,-,-,-,-,2,12-Jan,20.5,0,1,0,-
SD Parry (ENG),2,-,-,-,-,3,1-Feb,22,0,0,0,-
LE Plunkett (ENG),2,1,1,1,0,6,21-Mar,9,0,2,0,-7.99
CAK Rajitha (SL),2,3,3*,-,0,3,Mar-18,24.66,0,0,0,-
AT Rayudu (INDIA),2,0,0,0,0,-,-,-,-,0,0,-
Sandeep Sharma (INDIA),2,1,1*,-,0,1,1-Jan,73,0,0,0,-
Shuvagata Hom (BDESH),2,6,6,6,0,1,Jan-18,18,0,0,0,-11.99
SPD Smith (AUS),2,111,90,55.5,0,-,-,-,-,0,0,-
SW Tait (AUS),2,1,1*,-,0,0,-,-,0,0,0,-
AJ Tye (AUS),2,4,4,4,0,1,28-Jan,79,0,0,0,-74.99
RV Uthappa (INDIA),2,81,42,81,0,-,-,-,-,1,0,-
MN van Wyk (SA),2,22,19,11,0,-,-,-,-,0,1,-
M Vijay (INDIA),2,47,34,23.5,0,0,-,-,0,0,0,-
KDK Vithanage (SL),2,2,1,1,0,-,-,-,-,1,0,-
DA Warner (AUS),2,21,17,10.5,0,-,-,-,-,0,0,-
CR Woakes (ENG),2,52,37,52,0,3,Feb-40,22,0,0,0,30
GH Worker (NZ),2,90,62,45,0,1,19-Jan,19,0,1,0,26
S Aravind (INDIA),1,-,-,-,-,1,1-Jan,44,0,0,0,-
JM Bairstow (ENG),1,1,1,1,0,-,-,-,-,2,0,-
CT Bancroft (AUS),1,0,0*,-,0,-,-,-,-,1,0,-
DAJ Bracewell (NZ),1,7,7*,-,0,1,17-Jan,17,0,0,0,-
NM Coulter-Nile (AUS),1,0,0,0,0,1,24-Jan,24,0,1,0,-23.99
PJ Cummins (AUS),1,0,0,0,0,2,Feb-18,12.5,0,1,0,-12.49
M de Lange (SA),1,-,-,-,-,0,-,-,0,0,0,-
CRD Fernando (SL),1,1,1,1,0,0,-,-,0,0,0,-
DAS Gunaratne (SL),1,4,4,4,0,0,-,-,0,0,0,-
JW Hastings (AUS),1,4,4,4,0,0,-,-,0,0,0,-
Jubair Hossain (BDESH),1,-,-,-,-,2,20-Feb,10,0,0,0,-
UT Khawaja (AUS),1,14,14,14,0,-,-,-,-,0,0,-
RAS Lakmal (SL),1,1,1*,-,0,0,-,-,0,1,0,-
NM Lyon (AUS),1,-,-,-,-,0,-,-,0,0,0,-
BB McCullum (NZ),1,35,35,35,0,-,-,-,-,1,0,-
MR Marsh (AUS),1,13,13,13,0,0,-,-,0,0,0,-
Mohammad Mithun (BDESH),1,1,1,1,0,-,-,-,-,0,0,-
Mohammad Shahid (BDESH),1,-,-,-,-,1,1-Jan,32,0,0,0,-
JA Morkel (SA),1,-,-,-,-,3,12-Mar,4,0,0,0,-
M Morkel (SA),1,-,-,-,-,0,-,-,0,1,0,-
Mosaddek Hossain (BDESH),1,15,15,15,0,0,-,-,0,1,0,-
Muktar Ali (BDESH),1,19,19*,-,0,0,-,-,0,0,0,-
KW Richardson (AUS),1,9,9,9,0,0,-,-,0,0,0,-
Rony Talukdar (BDESH),1,21,21,21,0,-,-,-,-,0,0,-
SV Samson (INDIA),1,19,19,19,0,-,-,-,-,1,0,-
Sohag Gazi (BDESH),1,3,3,3,0,0,-,-,0,0,0,-
TG Southee (NZ),1,0,0,0,0,1,1-Jan,45,0,0,0,-44.99
MA Starc (AUS),1,0,0*,-,0,1,1-Jan,32,0,0,0,-
MP Stoinis (AUS),1,10,10*,-,0,0,-,-,0,0,0,-
I Udana (SL),1,0,0,0,0,0,-,-,0,0,0,-
MA Wood (ENG),1,-,-,-,-,3,26-Mar,8.66,0,0,0,-
