Player,Mat,Inns,NO,RunsDescending,HS,Ave,BF,SR,100,50,0,4s,6s
MDKJ Perera (SL),4,4,0,75,40,18.75,58,129.31,0,0,0,11,1
MM Ali (ENG),5,5,1,73,72*,18.25,57,128.07,0,1,3,6,3
MS Dhoni (INDIA),9,7,4,69,20*,23,41,168.29,0,0,0,6,3
GD Elliott (NZ),8,6,1,65,20,13,55,118.18,0,0,0,5,1
MD Gunathilaka (SL),4,4,0,65,46,16.25,60,108.33,0,0,0,4,3
HH Pandya (INDIA),7,3,0,60,31,20,36,166.66,0,0,0,5,3
Mashrafe Mortaza (BDESH),10,6,1,59,22,11.8,38,155.26,0,0,2,4,5
Q de Kock (SA),2,2,0,56,44,28,39,143.58,0,0,0,4,3
MD Shanaka (SL),4,4,0,56,27,14,54,103.7,0,0,0,2,5
Nurul Hasan (BDESH),4,3,2,52,30*,52,37,140.54,0,0,0,7,0
CR Woakes (ENG),2,2,1,52,37,52,31,167.74,0,0,0,3,3
Liton Das (BDESH),3,3,0,49,22,16.33,45,108.88,0,0,0,3,1
NLTC Perera (SL),7,6,0,49,28,8.16,57,85.96,0,0,1,4,1
Anamul Haque (BDESH),2,2,0,48,47,24,53,90.56,0,0,0,3,0
GJ Maxwell (AUS),3,3,0,48,44,16,39,123.07,0,0,0,6,1
M Vijay (INDIA),2,2,0,47,34,23.5,30,156.66,0,0,0,5,2
L Ronchi (NZ),9,6,0,46,29,7.66,46,100,0,0,1,3,1
DM de Silva (SL),2,2,0,45,31,22.5,47,95.74,0,0,0,2,0
LRPL Taylor (NZ),5,3,2,45,22*,45,26,173.07,0,0,0,6,1
Imrul Kayes (BDESH),4,4,0,43,18,10.75,52,82.69,0,0,0,5,1
R Ashwin (INDIA),9,2,1,42,31*,42,39,107.69,0,0,0,6,0
Yuvraj Singh (INDIA),7,4,1,40,15*,13.33,43,93.02,0,0,1,2,2
BA Stokes (ENG),4,4,2,37,24*,18.5,24,154.16,0,0,0,5,1
STR Binny (INDIA),2,2,0,35,24,17.5,29,120.68,0,0,0,2,1
BB McCullum (NZ),1,1,0,35,35,35,15,233.33,0,0,0,2,4
CA Lynn (AUS),3,3,0,32,17,10.66,29,110.34,0,0,0,2,1
SE Marsh (AUS),2,2,0,32,23,16,35,91.42,0,0,0,3,0
TM Head (AUS),2,2,0,28,26,14,24,116.66,0,0,0,1,1
JDS Neesham (NZ),2,1,0,28,28,28,19,147.36,0,0,0,3,1
NL McCullum (NZ),4,4,2,24,18*,12,26,92.3,0,0,0,2,1
AR Patel (INDIA),4,3,1,24,13,12,30,80,0,0,0,1,0
MS Wade (AUS),3,3,1,23,16*,11.5,24,95.83,0,0,0,0,1
MN van Wyk (SA),2,2,0,22,19,11,26,84.61,0,0,0,2,1
Arafat Sunny (BDESH),5,4,2,21,10,10.5,20,105,0,0,0,2,0
Rony Talukdar (BDESH),1,1,0,21,21,21,22,95.45,0,0,0,0,1
DA Warner (AUS),2,2,0,21,17,10.5,15,140,0,0,0,2,1
JP Faulkner (AUS),2,2,0,20,10,10,14,142.85,0,0,0,0,2
Nasir Hossain (BDESH),5,4,0,20,16,5,21,95.23,0,0,1,1,1
DJ Willey (ENG),5,4,2,20,7*,10,16,125,0,0,0,0,1
Muktar Ali (BDESH),1,1,1,19,19*,-,15,126.66,0,0,0,1,1
MK Pandey (INDIA),2,2,0,19,19,9.5,22,86.36,0,0,1,1,1
SV Samson (INDIA),1,1,0,19,19,19,24,79.16,0,0,0,1,0
KMDN Kulasekara (SL),3,2,0,18,14,9,16,112.5,0,0,0,0,1
CH Morris (SA),4,1,1,17,17*,-,7,242.85,0,0,0,1,1
CJ Jordan (ENG),4,3,1,16,15,8,17,94.11,0,0,0,2,0
Taskin Ahmed (BDESH),3,2,2,16,15*,-,16,100,0,0,0,1,1
TWM Latham (NZ),2,2,0,15,12,7.5,18,83.33,0,0,0,1,0
Mosaddek Hossain (BDESH),1,1,0,15,15,15,19,78.94,0,0,0,1,0
Abu Hider (BDESH),2,1,0,14,14,14,10,140,0,0,0,1,1
KM Jadhav (INDIA),2,2,0,14,9,7,13,107.69,0,0,0,1,0
UT Khawaja (AUS),1,1,0,14,14,14,6,233.33,0,0,0,2,0
AF Milne (NZ),7,3,3,14,10*,-,11,127.27,0,0,0,1,0
AU Rashid (ENG),7,4,2,14,7*,7,14,100,0,0,0,1,0
MR Marsh (AUS),1,1,0,13,13,13,13,100,0,0,0,1,0
S Prasanna (SL),3,3,1,13,9,6.5,15,86.66,0,0,0,2,0
PVD Chameera (SL),6,3,2,12,9*,12,16,75,0,0,1,1,0
JDF Vandersay (SL),4,2,2,12,8*,-,9,133.33,0,0,0,2,0
KJ Abbott (SA),8,2,2,11,9*,-,10,110,0,0,0,1,0
MJ Santner (NZ),5,3,1,11,9,5.5,20,55,0,0,1,0,0
SMSM Senanayake (SL),5,3,0,11,8,3.66,22,50,0,0,1,0,0
MJ Henry (NZ),3,2,1,10,10,10,5,200,0,0,0,2,0
MP Stoinis (AUS),1,1,1,10,10*,-,8,125,0,0,0,1,0
B Kumar (INDIA),4,2,0,9,9,4.5,8,112.5,0,0,1,0,0
KW Richardson (AUS),1,1,0,9,9,9,7,128.57,0,0,0,0,0
B Fernando (SL),2,1,1,8,8*,-,12,66.66,0,0,0,1,0
Harbhajan Singh (INDIA),2,2,1,8,8*,8,4,200,0,0,1,1,0
DAJ Bracewell (NZ),1,1,1,7,7*,-,2,350,0,0,0,0,1
RA Jadeja (INDIA),7,3,2,7,6,7,10,70,0,0,0,0,0
A Nehra (INDIA),7,1,0,6,6,6,19,31.57,0,0,0,0,0
Shuvagata Hom (BDESH),2,1,0,6,6,6,7,85.71,0,0,0,0,0
N Dickwella (SL),2,2,0,5,4,2.5,5,100,0,0,0,1,0
K Rabada (SA),7,1,1,5,5*,-,6,83.33,0,0,0,0,0
DAS Gunaratne (SL),1,1,0,4,4,4,12,33.33,0,0,0,0,0
JW Hastings (AUS),1,1,0,4,4,4,6,66.66,0,0,0,0,0
AJ Tye (AUS),2,1,0,4,4,4,4,100,0,0,0,1,0
D Wiese (SA),6,2,0,4,2,2,6,66.66,0,0,0,0,0
CJ Boyce (AUS),3,1,0,3,3,3,6,50,0,0,0,0,0
CAK Rajitha (SL),2,1,1,3,3*,-,7,42.85,0,0,0,0,0
MM Sharma (INDIA),4,2,2,3,3*,-,7,42.85,0,0,0,0,0
Sohag Gazi (BDESH),1,1,0,3,3,3,6,50,0,0,0,0,0
SL Malinga (SL),4,1,0,2,2,2,4,50,0,0,0,0,0
Mustafizur Rahman (BDESH),8,3,1,2,1*,1,8,25,0,0,1,0,0
AM Phangiso (SA),4,1,0,2,2,2,5,40,0,0,0,0,0
KDK Vithanage (SL),2,2,0,2,1,1,8,25,0,0,0,0,0
Al-Amin Hossain (BDESH),5,1,1,1,1*,-,2,50,0,0,0,0,0
TD Astle (NZ),2,1,0,1,1,1,5,20,0,0,0,0,0
JM Bairstow (ENG),1,1,0,1,1,1,2,50,0,0,0,0,0
CRD Fernando (SL),1,1,0,1,1,1,6,16.66,0,0,0,0,0
RAS Lakmal (SL),1,1,1,1,1*,-,1,100,0,0,0,0,0
Mohammad Mithun (BDESH),1,1,0,1,1,1,3,33.33,0,0,0,0,0
LE Plunkett (ENG),2,1,0,1,1,1,2,50,0,0,0,0,0
Sandeep Sharma (INDIA),2,1,1,1,1*,-,1,100,0,0,0,0,0
SW Tait (AUS),2,1,1,1,1*,-,3,33.33,0,0,0,0,0
RJW Topley (ENG),4,1,1,1,1*,-,2,50,0,0,0,0,0
CT Bancroft (AUS),1,1,1,0,0*,-,0,-,0,0,0,0,0
TA Boult (NZ),4,1,0,0,0,0,3,0,0,0,1,0,0
JJ Bumrah (INDIA),7,1,0,0,0,0,0,-,0,0,1,0,0
NM Coulter-Nile (AUS),1,1,0,0,0,0,1,0,0,0,1,0,0
PJ Cummins (AUS),1,1,0,0,0,0,0,-,0,0,1,0,0
MJ McClenaghan (NZ),8,1,0,0,0,0,1,0,0,0,1,0,0
AT Rayudu (INDIA),2,2,0,0,0,0,3,0,0,0,2,0,0
TG Southee (NZ),1,1,0,0,0,0,1,0,0,0,1,0,0
MA Starc (AUS),1,1,1,0,0*,-,0,-,0,0,0,0,0
I Udana (SL),1,1,0,0,0,0,2,0,0,0,1,0,0
S Aravind (INDIA),1,-,-,-,-,-,-,-,-,-,-,-,-
SM Boland (AUS),2,-,-,-,-,-,-,-,-,-,-,-,-
M de Lange (SA),1,-,-,-,-,-,-,-,-,-,-,-,-
ST Finn (ENG),2,-,-,-,-,-,-,-,-,-,-,-,-
Imran Tahir (SA),4,-,-,-,-,-,-,-,-,-,-,-,-
Jubair Hossain (BDESH),1,-,-,-,-,-,-,-,-,-,-,-,-
