Player,Mat,Inns,NO,RunsDescending,HS,Ave,BF,SR,100,50,0,4s,6s
RG Sharma (INDIA),9,9,0,410,106,45.55,301,136.21,1,3,1,38,14
KS Williamson (NZ),9,9,2,404,72*,57.71,292,138.35,0,4,0,52,4
MJ Guptill (NZ),9,9,1,393,87*,49.12,238,165.12,0,4,0,42,18
Sabbir Rahman (BDESH),10,10,2,275,51*,34.37,210,130.95,0,2,0,27,7
V Kohli (INDIA),6,6,2,250,90*,62.5,164,152.43,0,3,0,20,7
AB de Villiers (SA),8,8,0,238,71,29.75,162,146.91,0,2,0,28,8
S Dhawan (INDIA),9,9,1,195,51,24.37,153,127.45,0,1,0,21,7
HM Amla (SA),6,6,1,191,69*,38.2,140,136.42,0,1,0,22,4
SK Raina (INDIA),9,8,2,189,49*,31.5,143,132.16,0,0,0,20,5
C Munro (NZ),9,8,2,188,56,31.33,91,206.59,0,2,1,11,17
EJG Morgan (ENG),6,6,1,186,74,37.2,132,140.9,0,1,0,7,13
TAM Siriwardana (SL),9,8,2,168,42,28,116,144.82,0,0,1,11,8
F du Plessis (SA),6,6,2,162,79*,40.5,148,109.45,0,1,0,14,1
JE Root (ENG),5,5,0,162,68,32.4,113,143.36,0,1,0,18,5
SR Watson (AUS),4,4,1,159,124*,53,97,163.91,1,0,0,14,7
CK Kapugedera (SL),7,6,2,155,48*,38.75,112,138.39,0,0,0,12,8
TM Dilshan (SL),8,8,0,153,56,19.12,118,129.66,0,2,2,20,0
AD Mathews (SL),5,5,2,150,81*,50,99,151.51,0,1,0,11,8
Shakib Al Hasan (BDESH),8,8,3,148,57*,29.6,136,108.82,0,1,0,15,2
JP Duminy (SA),6,5,2,145,68*,48.33,120,120.83,0,1,0,8,7
Soumya Sarkar (BDESH),8,8,0,141,43,17.62,108,130.55,0,0,1,17,6
Tamim Iqbal (BDESH),8,8,0,137,31,17.12,118,116.1,0,0,0,14,5
JC Buttler (ENG),5,5,1,132,54,33,87,151.72,0,1,0,8,8
Mushfiqur Rahim (BDESH),8,8,2,132,26,22,119,110.92,0,0,0,14,1
RR Rossouw (SA),6,5,2,132,38,44,88,150,0,0,0,11,7
JM Vince (ENG),3,3,0,125,46,41.66,105,119.04,0,0,0,12,4
LD Chandimal (SL),7,7,1,124,40*,20.66,106,116.98,0,0,0,10,4
AJ Finch (AUS),2,2,0,118,74,59,81,145.67,0,1,0,12,4
GSNFG Jayasuriya (SL),5,5,0,113,40,22.6,99,114.14,0,0,0,8,5
SPD Smith (AUS),2,2,0,111,90,55.5,67,165.67,0,1,0,10,4
Mahmudullah (BDESH),8,7,1,105,54,17.5,82,128.04,0,1,0,10,3
SW Billings (ENG),6,6,0,99,53,16.5,66,150,0,1,0,9,4
JJ Roy (ENG),7,7,0,96,29,13.71,83,115.66,0,0,1,5,5
AD Hales (ENG),6,6,0,92,27,15.33,87,105.74,0,0,0,9,2
GH Worker (NZ),2,2,0,90,62,45,64,140.62,0,1,0,6,5
AM Rahane (INDIA),5,5,1,88,33,22,84,104.76,0,0,0,8,0
DA Miller (SA),8,6,3,85,30*,28.33,71,119.71,0,0,0,5,4
CJ Anderson (NZ),5,3,1,84,82*,42,47,178.72,0,1,1,6,4
F Behardien (SA),4,4,2,83,36,41.5,70,118.57,0,0,0,8,2
RV Uthappa (INDIA),2,2,1,81,42,81,60,135,0,0,0,11,0
