Player,Mat,Inns,Overs,Mdns,Runs,WktsDescending,BBI,Ave,Econ,SR,4,5
JP Duminy (SA),6,4,10,0,73,3,23-Feb,24.33,7.3,20,0,0
N Pradeep (SL),3,3,12,0,135,3,1-Feb,45,11.25,24,0,0
R Frylinck (SA),2,2,6,0,42,3,1-Feb,14,7,12,0,0
MD Gunathilaka (SL),6,3,4.4,0,35,3,3-Feb,11.66,7.5,9.3,0,0
BE Hendricks (SA),2,2,6.3,0,70,3,Feb-42,23.33,10.76,13,0,0
Mashrafe Mortaza (BDESH),2,2,8,0,62,3,1-Feb,20.66,7.75,16,0,0
GJ Maxwell (AUS),7,1,2,0,10,3,10-Mar,3.33,5,4,0,0
BMAJ Mendis (SL),2,2,4,0,29,3,21-Feb,9.66,7.25,8,0,0
C Munro (NZ),14,7,10.4,0,100,3,12-Jan,33.33,9.37,21.3,0,0
AM Phangiso (SA),3,3,9,0,74,3,1-Feb,24.66,8.22,18,0,0
MP Stoinis (AUS),6,6,19,0,129,3,16-Jan,43,6.78,38,0,0
AJ Turner (AUS),3,3,6,0,42,3,12-Feb,14,7,12,0,0
BM Wheeler (NZ),3,3,11.1,0,149,3,1-Feb,49.66,13.34,22.3,0,0
DAJ Bracewell (NZ),3,1,2,0,10,2,Feb-18,5,5,6,0,0
NM Coulter-Nile (AUS),2,2,6,0,43,2,20-Jan,21.5,7.16,18,0,0
PJ Cummins (AUS),3,3,10,0,77,2,28-Jan,38.5,7.7,30,0,0
LA Dawson (ENG),4,4,14,0,105,2,27-Jan,52.5,7.5,42,0,0
AK Kitchen (NZ),5,3,6,0,46,2,3-Jan,23,7.66,18,0,0
DSK Madushanka (SL),2,2,5.1,0,62,2,23-Feb,31,12,15.5,0,0
Mehidy Hasan Miraz (BDESH),3,3,10,0,92,2,1-Feb,46,9.2,30,0,0
Mohammed Siraj (INDIA),2,2,8,0,98,2,1-Jan,49,12.25,24,0,0
Nazmul Islam (BDESH),2,2,8,0,53,2,25-Feb,26.5,6.62,24,0,0
AR Patel (INDIA),4,4,12,0,104,2,20-Feb,52,8.66,36,0,0
SS Pathirana (SL),3,3,9,0,51,2,18-Jan,25.5,5.66,27,0,0
JA Richardson (AUS),2,2,6,0,62,2,24-Jan,31,10.33,18,0,0
Rubel Hossain (BDESH),3,3,11.4,0,137,2,1-Jan,68.5,11.74,35,0,0
T Shamsi (SA),5,5,16,0,139,2,31-Jan,69.5,8.68,48,0,0
SN Thakur (INDIA),2,2,8,0,66,2,31-Jan,33,8.25,24,0,0
Abu Jayed (BDESH),1,1,4,0,45,1,1-Jan,45,11.25,24,0,0
Afif Hossain (BDESH),1,1,2,0,26,1,26-Jan,26,13,12,0,0
MA Aponso (SL),1,1,4,0,31,1,31-Jan,31,7.75,24,0,0
MS Crane (ENG),2,2,8,0,62,1,1-Jan,62,7.75,48,0,0
A Dananjaya (SL),6,6,23.4,1,186,1,20-Jan,186,7.85,142,0,0
TM Head (AUS),6,2,3,0,30,1,16-Jan,30,10,18,0,0
Mahmudullah (BDESH),6,5,10,0,77,1,15-Jan,77,7.7,60,0,0
DJ Malan (ENG),5,1,2,0,27,1,27-Jan,27,13.5,12,0,0
AD Mathews (SL),3,3,8.2,0,68,1,19-Jan,68,8.16,50,0,0
M Morkel (SA),2,2,8,0,75,1,1-Jan,75,9.37,48,0,0
EMDY Munaweera (SL),9,5,10,0,92,1,26-Jan,92,9.2,60,0,0
D Pretorius (SA),2,2,5,0,47,1,27-Jan,47,9.4,30,0,0
SK Raina (INDIA),3,1,3,0,27,1,Jan-18,27,9,18,0,0
PADLR Sandakan (SL),1,1,4,0,30,1,30-Jan,30,7.5,24,0,0
Soumya Sarkar (BDESH),6,1,2,0,25,1,25-Jan,25,12.5,12,0,0
Taskin Ahmed (BDESH),3,3,7.5,0,95,1,1-Jan,95,12.12,47,0,0
Washington Sundar (INDIA),1,1,4,0,22,1,22-Jan,22,5.5,24,0,0
R Ashwin (INDIA),1,1,4,0,39,0,-,-,9.75,-,0,0
DT Christian (AUS),1,1,0.3,0,7,0,-,-,14,-,0,0
PC de Silva (SL),2,2,2,0,30,0,-,-,15,-,0,0
MVT Fernando (SL),1,1,2,0,16,0,-,-,8,-,0,0
MC Henriques (AUS),5,2,5,0,48,0,-,-,9.6,-,0,0
RA Jadeja (INDIA),1,1,3.3,0,41,0,-,-,11.71,-,0,0
Mahedi Hasan (BDESH),1,1,2,0,25,0,-,-,12.5,-,0,0
AF Milne (NZ),1,1,4,0,30,0,-,-,7.5,-,0,0
Mohammed Shami (INDIA),1,1,3,0,46,0,-,-,15.33,-,0,0
Mosaddek Hossain (BDESH),2,1,1,0,7,0,-,-,7,-,0,0
A Nehra (INDIA),1,1,4,0,29,0,-,-,7.25,-,0,0
WD Parnell (SA),2,2,5,0,66,0,-,-,13.2,-,0,0
JE Root (ENG),1,1,2,0,11,0,-,-,5.5,-,0,0
Shafiul Islam (BDESH),1,1,2,0,33,0,-,-,16.5,-,0,0
DJM Short (AUS),5,1,1,0,19,0,-,-,19,-,0,0
TAM Siriwardana (SL),5,1,1,0,12,0,-,-,12,-,0,0
JT Smuts (SA),5,4,8,0,60,0,-,-,7.5,-,0,0
KS Williamson (NZ),13,1,1,0,16,0,-,-,16,-,0,0
HM Amla (SA),3,-,-,-,-,-,-,-,-,-,-,-
CJ Anderson (NZ),1,-,-,-,-,-,-,-,-,-,-,-
Ariful Haque (BDESH),2,-,-,-,-,-,-,-,-,-,-,-
JM Bairstow (ENG),3,-,-,-,-,-,-,-,-,-,-,-
F Behardien (SA),9,-,-,-,-,-,-,-,-,-,-,-
SW Billings (ENG),7,-,-,-,-,-,-,-,-,-,-,-
TA Blundell (NZ),2,-,-,-,-,-,-,-,-,-,-,-
TC Bruce (NZ),11,-,-,-,-,-,-,-,-,-,-,-
JC Buttler (ENG),8,-,-,-,-,-,-,-,-,-,-,-
AT Carey (AUS),5,-,-,-,-,-,-,-,-,-,-,-
LD Chandimal (SL),2,-,-,-,-,-,-,-,-,-,-,-
MS Chapman (NZ),4,-,-,-,-,-,-,-,-,-,-,-
Q de Kock (SA),2,-,-,-,-,-,-,-,-,-,-,-
AB de Villiers (SA),6,-,-,-,-,-,-,-,-,-,-,-
S Dhawan (INDIA),9,-,-,-,-,-,-,-,-,-,-,-
MS Dhoni (INDIA),13,-,-,-,-,-,-,-,-,-,-,-
N Dickwella (SL),7,-,-,-,-,-,-,-,-,-,-,-
BR Dunk (AUS),2,-,-,-,-,-,-,-,-,-,-,-
F du Plessis (SA),1,-,-,-,-,-,-,-,-,-,-,-
AJ Finch (AUS),8,-,-,-,-,-,-,-,-,-,-,-
MJ Guptill (NZ),14,-,-,-,-,-,-,-,-,-,-,-
AD Hales (ENG),7,-,-,-,-,-,-,-,-,-,-,-
RR Hendricks (SA),6,-,-,-,-,-,-,-,-,-,-,-
Imrul Kayes (BDESH),3,-,-,-,-,-,-,-,-,-,-,-
SS Iyer (INDIA),6,-,-,-,-,-,-,-,-,-,-,-
KM Jadhav (INDIA),4,-,-,-,-,-,-,-,-,-,-,-
C Jonker (SA),1,-,-,-,-,-,-,-,-,-,-,-
CK Kapugedera (SL),5,-,-,-,-,-,-,-,-,-,-,-
KD Karthik (INDIA),5,-,-,-,-,-,-,-,-,-,-,-
H Klaasen (SA),3,-,-,-,-,-,-,-,-,-,-,-
M Klinger (AUS),3,-,-,-,-,-,-,-,-,-,-,-
V Kohli (INDIA),9,-,-,-,-,-,-,-,-,-,-,-
TWM Latham (NZ),1,-,-,-,-,-,-,-,-,-,-,-
Liton Das (BDESH),1,-,-,-,-,-,-,-,-,-,-,-
LS Livingstone (ENG),2,-,-,-,-,-,-,-,-,-,-,-
CA Lynn (AUS),5,-,-,-,-,-,-,-,-,-,-,-
BKG Mendis (SL),4,-,-,-,-,-,-,-,-,-,-,-
DA Miller (SA),8,-,-,-,-,-,-,-,-,-,-,-
Mohammad Mithun (BDESH),1,-,-,-,-,-,-,-,-,-,-,-
EJG Morgan (ENG),5,-,-,-,-,-,-,-,-,-,-,-
M Mosehle (SA),4,-,-,-,-,-,-,-,-,-,-,-
Mushfiqur Rahim (BDESH),6,-,-,-,-,-,-,-,-,-,-,-
HM Nicholls (NZ),3,-,-,-,-,-,-,-,-,-,-,-
TD Paine (AUS),5,-,-,-,-,-,-,-,-,-,-,-
MK Pandey (INDIA),10,-,-,-,-,-,-,-,-,-,-,-
