Player,Mat,Inns,Overs,Mdns,Runs,WktsDescending,BBI,Ave,Econ,SR,4,5
TA Boult (NZ),12,12,43.5,0,382,19,1-Apr,20.1,8.71,13.8,1,0
YS Chahal (INDIA),10,10,37.3,0,343,16,23-Apr,21.43,9.14,14,2,0
TG Southee (NZ),13,12,41,0,361,16,13-Mar,22.56,8.8,15.3,0,0
IS Sodhi (NZ),14,13,49,0,392,15,23-Feb,26.13,8,19.6,0,0
AJ Tye (AUS),9,9,32,0,283,14,23-Apr,20.21,8.84,13.7,1,0
Kuldeep Yadav (INDIA),8,8,29,0,222,12,Mar-52,18.5,7.65,14.5,0,0
B Kumar (INDIA),10,10,34.4,0,237,12,24-May,19.75,6.83,17.3,0,1
SL Malinga (SL),6,6,24,0,198,12,1-Mar,16.5,8.25,12,0,0
AL Phehlukwayo (SA),9,9,26.3,0,211,12,19-Mar,17.58,7.96,13.2,0,0
HH Pandya (INDIA),11,11,32.2,0,257,11,29-Mar,23.36,7.94,17.6,0,0
JRMVB Sanjaya (SL),8,8,28.5,1,250,9,20-Feb,27.77,8.67,19.2,0,0
MJ Santner (NZ),14,13,41.4,0,333,9,15-Feb,37,7.99,27.7,0,0
JJ Bumrah (INDIA),10,10,33,0,251,8,9-Feb,31.37,7.6,24.7,0,0
CJ Jordan (ENG),8,8,31,0,282,8,31-Mar,35.25,9.09,23.2,0,0
NLTC Perera (SL),11,10,32.4,0,287,8,24-Mar,35.87,8.78,24.5,0,0
KW Richardson (AUS),5,5,20,0,158,8,1-Mar,19.75,7.9,15,0,0
B Stanlake (AUS),6,6,23,0,208,8,15-Mar,26,9.04,17.2,0,0
A Zampa (AUS),5,5,16,0,97,8,25-Mar,12.12,6.06,12,0,0
AC Agar (AUS),5,5,18,0,115,7,27-Mar,16.42,6.38,15.4,0,0
TK Curran (ENG),6,6,21,0,195,7,1-Mar,27.85,9.28,18,0,0
CJ Dala (SA),3,3,12,1,110,7,1-Mar,15.71,9.16,10.2,0,0
CH Morris (SA),6,6,23,2,176,7,10-Feb,25.14,7.65,19.7,0,0
D Paterson (SA),6,6,22,0,205,7,1-Apr,29.28,9.31,18.8,1,0
SHA Rance (NZ),4,3,12,0,103,7,26-Mar,14.71,8.58,10.2,0,0
AU Rashid (ENG),5,5,20,0,147,7,25-Mar,21,7.35,17.1,0,0
JD Unadkat (INDIA),5,5,16.4,0,119,7,15-Feb,17,7.14,14.2,0,0
C de Grandhomme (NZ),12,10,25.5,0,245,6,22-Feb,40.83,9.48,25.8,0,0
Imran Tahir (SA),3,3,10.5,0,99,6,24-May,16.5,9.13,10.8,0,1
LE Plunkett (ENG),4,4,16,0,118,6,27-Mar,19.66,7.37,16,0,0
Shakib Al Hasan (BDESH),4,4,14,0,103,6,24-Mar,17.16,7.35,14,0,0
DJ Willey (ENG),8,8,27.3,0,250,6,28-Mar,41.66,9.09,27.5,0,0
JP Faulkner (AUS),3,3,11,0,79,5,20-Mar,15.8,7.18,13.2,0,0
KMDN Kulasekara (SL),5,5,20,0,183,5,Apr-31,36.6,9.15,24,1,0
Mustafizur Rahman (BDESH),4,4,13,0,116,5,21-Apr,23.2,8.92,15.6,1,0
MD Shanaka (SL),9,6,13.1,0,87,5,27-Feb,17.4,6.6,15.8,0,0
I Udana (SL),6,6,20,0,160,5,12-Jan,32,8,24,0,0
MA Wood (ENG),3,3,11.3,0,113,5,1-Feb,22.6,9.82,13.8,0,0
JP Behrendorff (AUS),2,2,5,0,26,4,Apr-18,6.5,5.2,7.5,1,0
DAS Gunaratne (SL),8,6,12,0,109,4,11-Jan,27.25,9.08,18,0,0
Mohammad Saifuddin (BDESH),6,6,18,0,199,4,1-Feb,49.75,11.05,27,0,0
S Prasanna (SL),9,7,23,0,152,4,Jan-18,38,6.6,34.5,0,0
PVD Chameera (SL),3,3,11,0,105,3,22-Feb,35,9.54,22,0,0
