Player,MatDescending,Runs,HS,Bat Av,100,Wkts,BBI,Bowl Av,5,Ct,St,Ave Diff
JJ Bumrah (INDIA),18,0,0*,-,0,24,11-Mar,18.25,0,3,0,-
MS Dhoni (INDIA),18,299,56,59.8,0,-,-,-,-,13,7,-
V Kohli (INDIA),15,494,89*,61.75,0,1,15-Jan,15,0,9,0,46.75
Mahmudullah (BDESH),15,296,52,37,0,5,5-Feb,23,0,7,0,14
Mashrafe Mortaza (BDESH),15,47,15*,5.22,0,9,12-Feb,37,0,4,0,-31.77
Sabbir Rahman (BDESH),15,405,80,31.15,0,2,Jan-18,8,0,8,0,23.15
Shakib Al Hasan (BDESH),15,262,50*,21.83,0,17,15-Apr,21.05,0,6,0,0.77
Soumya Sarkar (BDESH),15,250,48,16.66,0,0,-,-,0,10,0,-
LD Chandimal (SL),14,323,58,24.84,0,-,-,-,-,10,4,-
JC Buttler (ENG),13,381,73*,47.62,0,-,-,-,-,4,0,-
Imran Tahir (SA),13,1,1,1,0,27,24-May,11.62,1,2,0,-10.62
CJ Jordan (ENG),13,48,15,9.6,0,17,28-Apr,24.05,0,5,0,-14.45
CK Kapugedera (SL),13,203,43,18.45,0,-,-,-,-,8,0,-
EJG Morgan (ENG),13,283,51,25.72,0,-,-,-,-,7,0,-
HH Pandya (INDIA),13,71,31,8.87,0,12,8-Mar,22.91,0,7,0,-14.04
SK Raina (INDIA),13,184,63,18.4,0,3,4-Jan,35.66,0,8,0,-17.26
AU Rashid (ENG),13,8,4*,4,0,9,18-Feb,35,0,6,0,-30.99
JJ Roy (ENG),13,289,78,22.23,0,-,-,-,-,1,0,-
MM Ali (ENG),12,73,41*,14.6,0,10,21-Feb,27.3,0,4,0,-12.69
Al-Amin Hossain (BDESH),12,0,0,0,0,19,25-Mar,15.21,0,1,0,-15.21
KMDN Kulasekara (SL),12,47,13,9.4,0,17,1-Apr,19.47,0,2,0,-10.07
DA Miller (SA),12,229,53*,28.62,0,-,-,-,-,6,0,-
Mushfiqur Rahim (BDESH),12,84,18,10.5,0,-,-,-,-,4,2,-
A Nehra (INDIA),12,0,0,0,0,14,23-Mar,21.07,0,0,0,-21.07
JE Root (ENG),12,423,83,42.3,0,2,9-Feb,16,0,7,0,26.3
RG Sharma (INDIA),12,298,83,27.09,0,-,-,-,-,2,0,-
BA Stokes (ENG),12,118,38,13.11,0,7,26-Mar,48.57,0,7,0,-35.46
Yuvraj Singh (INDIA),12,184,35,20.44,0,3,10-Jan,14.33,0,1,0,6.11
R Ashwin (INDIA),11,15,10,15,0,10,11-Feb,24.6,0,3,0,-9.59
JP Faulkner (AUS),11,42,14*,8.4,0,21,27-May,14.85,1,6,0,-6.45
RA Jadeja (INDIA),11,12,12,6,0,9,11-Feb,29.55,0,3,0,-23.55
TAM Siriwardana (SL),11,107,35,11.88,0,3,1-Feb,38.66,0,2,0,-26.77
Tamim Iqbal (BDESH),11,363,103*,40.33,1,-,-,-,-,2,0,-
AB de Villiers (SA),10,290,71,32.22,0,-,-,-,-,3,1,-
TM Dilshan (SL),10,270,83*,33.75,0,3,8-Feb,5,0,0,0,28.75
F du Plessis (SA),10,304,79,33.77,0,-,-,-,-,7,0,-
Mohammad Mithun (BDESH),10,85,47,12.14,0,-,-,-,-,3,0,-
Taskin Ahmed (BDESH),10,16,15*,16,0,6,Feb-32,31.66,0,1,0,-15.66
A Zampa (AUS),10,7,5*,-,0,14,16-Mar,15.14,0,0,0,-
CJ Anderson (NZ),9,203,94*,25.37,0,2,1-Feb,42,0,5,0,-16.62
AD Mathews (SL),9,223,73*,37.16,0,4,Feb-18,42.5,0,6,0,-5.33
GJ Maxwell (AUS),9,431,145*,61.57,1,2,18-Feb,84,0,6,0,-22.42
C Munro (NZ),9,219,101,24.33,1,0,-,-,0,2,0,-
PM Nevill (AUS),9,25,10*,25,0,-,-,-,-,2,1,-
NLTC Perera (SL),9,108,40,13.5,0,5,1-Mar,46.8,0,4,0,-33.29
MJ Santner (NZ),9,38,18,6.33,0,13,11-Apr,17.3,0,4,0,-10.97
DA Warner (AUS),9,221,77,24.55,0,-,-,-,-,4,0,-
KS Williamson (NZ),9,281,73*,35.12,0,3,16-Feb,9.33,0,2,0,25.79
HM Amla (SA),8,370,97*,74,0,-,-,-,-,5,0,-
Q de Kock (SA),8,229,52,28.62,0,-,-,-,-,10,2,-
S Dhawan (INDIA),8,122,60,17.42,0,-,-,-,-,2,0,-
JP Duminy (SA),8,155,54*,38.75,0,1,31-Jan,89,0,6,0,-50.24
AD Hales (ENG),8,146,37,18.25,0,-,-,-,-,5,0,-
HMRKB Herath (SL),8,6,3,2,0,6,22-Feb,33.16,0,0,0,-31.16
UT Khawaja (AUS),8,227,58,28.37,0,-,-,-,-,5,0,-
BKG Mendis (SL),8,74,22,9.25,0,-,-,-,-,0,0,-
CH Morris (SA),8,53,17*,26.5,0,11,27-Apr,22.45,0,2,0,4.04
Mustafizur Rahman (BDESH),8,6,6,3,0,13,22-May,16.07,1,2,0,-13.07
LE Plunkett (ENG),8,4,4,2,0,6,27-Feb,34.5,0,0,0,-32.49
S Prasanna (SL),8,86,37*,14.33,0,5,14-Jan,36,0,3,0,-21.66
K Rabada (SA),8,0,0*,-,0,13,25-Feb,20.84,0,2,0,-
KL Rahul (INDIA),8,280,110*,56,1,-,-,-,-,1,0,-
