Player,MatDescending,Runs,HS,Bat Av,100,Wkts,BBI,Bowl Av,5,Ct,St,Ave Diff
L Ronchi (NZ),8,50,21*,10,0,-,-,-,-,3,4,-
MD Shanaka (SL),8,56,20*,8,0,3,27-Feb,24,0,0,0,-15.99
D Wiese (SA),8,53,28,17.66,0,4,16-Feb,57.5,0,4,0,-39.83
DJ Willey (ENG),8,60,21,20,0,10,20-Mar,19,0,4,0,1
KJ Abbott (SA),7,8,6*,-,0,13,26-Mar,16.3,0,0,0,-
PVD Chameera (SL),7,4,2*,-,0,3,30-Mar,60.33,0,1,0,-
AJ Finch (AUS),7,208,53,29.71,0,-,-,-,-,3,0,-
SPD Smith (AUS),7,152,61*,25.33,0,-,-,-,-,2,0,-
IS Sodhi (NZ),7,-,-,-,-,15,18-Mar,11.86,0,2,0,-
F Behardien (SA),6,75,31*,18.75,0,2,15-Feb,7.5,0,4,0,11.25
YS Chahal (INDIA),6,-,-,-,-,11,25-Jun,15.81,1,2,0,-
NM Coulter-Nile (AUS),6,10,9,5,0,6,29-Mar,32.83,0,4,0,-27.83
N Dickwella (SL),6,177,68,35.4,0,-,-,-,-,2,0,-
DAS Gunaratne (SL),6,164,84*,54.66,0,3,11-Jan,40.66,0,3,0,14
GSNFG Jayasuriya (SL),6,44,26,8.8,0,1,13-Jan,43,0,2,0,-34.19
MK Pandey (INDIA),6,81,48,20.25,0,-,-,-,-,0,0,-
SR Watson (AUS),6,147,44*,36.75,0,6,23-Feb,20.83,0,2,0,15.91
SW Billings (ENG),5,39,22,9.75,0,-,-,-,-,1,0,-
DM de Silva (SL),5,122,62,24.4,0,1,3-Jan,23,0,2,0,1.4
GD Elliott (NZ),5,50,27,16.66,0,3,12-Mar,25,0,1,0,-8.33
JW Hastings (AUS),5,10,7,5,0,4,Feb-18,36.5,0,2,0,-31.49
TM Head (AUS),5,119,45,29.75,0,1,16-Jan,16,0,3,0,13.75
MC Henriques (AUS),5,76,56*,38,0,1,24-Jan,93,0,1,0,-54.99
MR Marsh (AUS),5,71,35,23.66,0,3,17-Jan,27.66,0,1,0,-3.99
Nurul Hasan (BDESH),5,26,10,8.66,0,-,-,-,-,2,3,-
RR Rossouw (SA),5,53,19,13.25,0,-,-,-,-,1,0,-
LRPL Taylor (NZ),5,91,36*,22.75,0,-,-,-,-,1,0,-
TC Bruce (NZ),4,104,59*,34.66,0,-,-,-,-,4,0,-
C de Grandhomme (NZ),4,62,41*,31,0,3,Feb-18,27.33,0,4,0,3.66
MJ Guptill (NZ),4,140,80,35,0,-,-,-,-,6,0,-
Imrul Kayes (BDESH),4,14,14,4.66,0,-,-,-,-,1,0,-
RAS Lakmal (SL),4,1,1,0.5,0,2,18-Jan,56,0,1,0,-55.49
MJ McClenaghan (NZ),4,7,6*,7,0,4,17-Mar,21.75,0,0,0,-14.74
SL Malinga (SL),4,2,1*,2,0,10,26-Apr,12.1,0,3,0,-10.09
TS Mills (ENG),4,0,0,0,0,3,Jan-18,38.66,0,1,0,-38.66
AF Milne (NZ),4,2,2*,-,0,3,26-Feb,27.66,0,1,0,-
WD Parnell (SA),4,10,4*,10,0,3,16-Jan,40.33,0,1,0,-30.33
AM Phangiso (SA),4,17,13,8.5,0,4,26-Feb,23.25,0,0,0,-14.74
AL Phehlukwayo (SA),4,0,0,0,0,3,19-Mar,32,0,0,0,-31.99
AM Rahane (INDIA),4,51,40,17,0,-,-,-,-,3,0,-
DW Steyn (SA),4,-,-,-,-,3,1-Feb,43.33,0,0,0,-
WU Tharanga (SL),4,38,20,9.5,0,-,-,-,-,1,0,-
HDRL Thirimanne (SL),4,14,6,3.5,0,-,-,-,-,2,0,-
RJW Topley (ENG),4,1,1*,-,0,1,Jan-18,114,0,0,0,-
BM Wheeler (NZ),4,6,6,6,0,5,16-Feb,23.2,0,1,0,-17.19
Abu Hider (BDESH),3,-,-,-,-,0,-,-,0,0,0,-
Arafat Sunny (BDESH),3,8,8*,-,0,4,1-Feb,19.75,0,1,0,-
TA Boult (NZ),3,1,1*,-,0,5,8-Feb,16.8,0,3,0,-
PJ Cummins (AUS),3,3,3,3,0,2,28-Jan,38.5,0,1,0,-35.49
ST de Silva (SL),3,3,3,1.5,0,0,-,-,0,0,0,-
JR Hazlewood (AUS),3,-,-,-,-,1,26-Jan,114,0,1,0,-
KM Jadhav (INDIA),3,77,58,38.5,0,-,-,-,-,0,0,-
M Klinger (AUS),3,143,62,47.66,0,-,-,-,-,2,0,-
B Kumar (INDIA),3,-,-,-,-,3,8-Feb,29,0,1,0,-
Mandeep Singh (INDIA),3,87,52*,43.5,0,-,-,-,-,1,0,-
A Mishra (INDIA),3,0,0,0,0,5,24-Mar,14.4,0,1,0,-14.39
Mosaddek Hossain (BDESH),3,33,20,11,0,2,22-Jan,29,0,1,0,-17.99
M Mosehle (SA),3,49,32*,24.5,0,-,-,-,-,3,1,-
EMDY Munaweera (SL),3,91,44,30.33,0,0,-,-,0,0,0,-
L Ngidi (SA),3,2,2*,-,0,6,19-Apr,7.33,0,0,0,-
TD Paine (AUS),3,8,7,4,0,-,-,-,-,4,1,-
AR Patel (INDIA),3,38,20*,38,0,2,18-Jan,29.5,0,2,0,8.5
MDKJ Perera (SL),3,39,22,13,0,-,-,-,-,0,1,-
AT Rayudu (INDIA),3,39,20,19.5,0,-,-,-,-,2,0,-
Rubel Hossain (BDESH),3,4,2*,4,0,7,31-Mar,15.85,0,0,0,-11.85
PADLR Sandakan (SL),3,-,-,-,-,6,23-Apr,12.66,0,2,0,-
JRMVB Sanjaya (SL),3,5,5,5,0,3,1-Feb,33.66,0,1,0,-28.66
Shuvagata Hom (BDESH),3,29,16*,29,0,1,24-Jan,53,0,1,0,-23.99
JT Smuts (SA),3,36,19,12,0,1,19-Jan,41,0,0,0,-28.99
AJ Turner (AUS),3,26,18,8.66,0,3,12-Feb,14,0,2,0,-5.33
AJ Tye (AUS),3,0,0*,0,0,4,Mar-37,27.25,0,0,0,-27.24
JDF Vandersay (SL),3,3,3,3,0,3,26-Feb,20.66,0,0,0,-17.66
AC Agar (AUS),2,9,9,9,0,1,25-Jan,43,0,3,0,-33.99
LA Dawson (ENG),2,-,-,-,-,3,27-Mar,15.66,0,2,0,-
TB de Bruyn (SA),2,26,19,13,0,-,-,-,-,2,0,-
BR Dunk (AUS),2,60,32,30,0,-,-,-,-,1,0,-
N Pradeep (SL),2,0,0,0,0,0,-,-,0,0,0,-
HG Kuhn (SA),2,39,29,19.5,0,-,-,-,-,1,0,-
DS Kulkarni (INDIA),2,1,1*,-,0,3,Feb-18,18.33,0,0,0,-
NL McCullum (NZ),2,0,0*,0,0,3,15-Feb,7,0,3,0,-6.99
Mohammed Shami (INDIA),2,-,-,-,-,3,1-Feb,26.33,0,0,0,-
Nasir Hossain (BDESH),2,3,3,3,0,1,24-Jan,46,0,1,0,-42.99
JDS Neesham (NZ),2,20,15,10,0,0,-,-,0,1,0,-
D Paterson (SA),2,-,-,-,-,0,-,-,0,0,0,-
SS Pathirana (SL),2,8,6,4,0,3,Feb-18,22.66,0,0,0,-18.66
JA Richardson (AUS),2,0,0,0,0,2,24-Jan,31,0,3,0,-30.99
SMSM Senanayake (SL),2,13,7*,-,0,1,1-Jan,85,0,0,0,-
BB Sran (INDIA),2,-,-,-,-,6,10-Apr,6.83,0,0,0,-
MA Starc (AUS),2,-,-,-,-,4,26-Mar,14.5,0,2,0,-
I Udana (SL),2,-,-,-,-,3,13-Mar,20.66,0,0,0,-
JM Vince (ENG),2,38,22,19,0,-,-,-,-,0,0,-
GJ Bailey (AUS),1,-,-,-,-,-,-,-,-,1,0,-
JM Bairstow (ENG),1,-,-,-,-,-,-,-,-,0,0,-
KMC Bandara (SL),1,2,2*,-,0,0,-,-,0,0,0,-
STR Binny (INDIA),1,-,-,-,-,0,-,-,0,0,0,-
TA Blundell (NZ),1,-,-,-,-,-,-,-,-,0,0,-
SM Boland (AUS),1,-,-,-,-,3,26-Mar,8.66,0,1,0,-
NT Broom (NZ),1,6,6,6,0,-,-,-,-,0,0,-
R Dhawan (INDIA),1,1,1*,-,0,1,1-Jan,42,0,2,0,-
LH Ferguson (NZ),1,-,-,-,-,3,1-Mar,10.66,0,0,0,-
MD Gunathilaka (SL),1,26,26,26,0,0,-,-,0,0,0,-
Harbhajan Singh (INDIA),1,-,-,-,-,1,11-Jan,11,0,1,0,-
RR Hendricks (SA),1,41,41,41,0,-,-,-,-,0,0,-
MJ Henry (NZ),1,-,-,-,-,1,1-Jan,44,0,1,0,-
MF Maharoof (SL),1,10,10,10,0,0,-,-,0,0,0,-
P Negi (INDIA),1,-,-,-,-,1,16-Jan,16,0,2,0,-
HM Nicholls (NZ),1,7,7,7,0,-,-,-,-,0,0,-
RR Pant (INDIA),1,5,5*,-,0,-,-,-,-,1,0,-
Parvez Rasool (INDIA),1,5,5,5,0,1,1-Jan,32,0,0,0,-26.99
GD Phillips (NZ),1,5,5,5,0,-,-,-,-,0,0,-
CAK Rajitha (SL),1,0,0*,-,0,0,-,-,0,0,0,-
RLB Rambukwella (SL),1,19,19,19,0,0,-,-,0,0,0,-
Saqlain Sajib (BDESH),1,-,-,-,-,0,-,-,0,0,0,-
TG Southee (NZ),1,20,20,20,0,0,-,-,0,0,0,-
B Stanlake (AUS),1,-,-,-,-,0,-,-,0,0,0,-
JD Unadkat (INDIA),1,-,-,-,-,0,-,-,0,0,0,-
MS Wade (AUS),1,14,14,14,0,-,-,-,-,0,0,-
