Player,Mat,Inns,Overs,Mdns,Runs,WktsDescending,BBI,Ave,Econ,SR,4,5
NL McCullum (NZ),4,4,16,0,136,3,Feb-31,45.33,8.5,32,0,0
JA Morkel (SA),1,1,4,0,12,3,12-Mar,4,3,8,0,0
SD Parry (ENG),2,2,8,0,66,3,Feb-33,22,8.25,16,0,0
SK Raina (INDIA),9,4,9.1,0,53,3,6-Feb,17.66,5.78,18.3,0,0
CAK Rajitha (SL),2,2,8,0,74,3,29-Mar,24.66,9.25,16,0,0
Sabbir Rahman (BDESH),10,3,5.1,0,38,3,11-Mar,12.66,7.35,10.3,0,0
MD Shanaka (SL),4,2,4,0,28,3,16-Mar,9.33,7,8,0,0
MM Sharma (INDIA),4,4,12,0,83,3,28-Feb,27.66,6.91,24,0,0
SR Watson (AUS),4,4,13,0,104,3,24-Feb,34.66,8,26,0,0
CR Woakes (ENG),2,2,8,0,66,3,1-Feb,22,8.25,16,0,0
MA Wood (ENG),1,1,3,0,26,3,Mar-18,8.66,8.66,6,0,0
CJ Boyce (AUS),3,3,8,0,70,2,28-Feb,35,8.75,24,0,0
PJ Cummins (AUS),1,1,4,0,25,2,25-Feb,12.5,6.25,12,0,0
JP Duminy (SA),6,4,10,0,61,2,11-Feb,30.5,6.1,30,0,0
Harbhajan Singh (INDIA),2,2,8,0,49,2,1-Feb,24.5,6.12,24,0,0
GSNFG Jayasuriya (SL),5,4,11.5,0,103,2,11-Jan,51.5,8.7,35.5,0,0
Jubair Hossain (BDESH),1,1,2,0,20,2,20-Feb,10,10,6,0,0
KMDN Kulasekara (SL),3,3,12,0,85,2,26-Feb,42.5,7.08,36,0,0
B Kumar (INDIA),4,4,14,0,101,2,26-Feb,50.5,7.21,42,0,0
Mahmudullah (BDESH),8,4,8,1,64,2,9-Jan,32,8,24,0,0
JDS Neesham (NZ),2,2,6,0,43,2,21-Jan,21.5,7.16,18,0,0
WD Parnell (SA),2,2,5.5,0,41,2,12-Jan,20.5,7.02,17.5,0,0
Taskin Ahmed (BDESH),3,3,11,0,82,2,29-Jan,41,7.45,33,0,0
Yuvraj Singh (INDIA),7,5,9,0,70,2,Jan-18,35,7.77,27,0,0
S Aravind (INDIA),1,1,3.4,0,44,1,1-Jan,44,12,22,0,0
F Behardien (SA),4,1,1,0,4,1,4-Jan,4,4,6,0,0
STR Binny (INDIA),2,2,4,0,22,1,Jan-18,22,5.5,24,0,0
DAJ Bracewell (NZ),1,1,3,0,17,1,17-Jan,17,5.66,18,0,0
NM Coulter-Nile (AUS),1,1,4,0,24,1,24-Jan,24,6,24,0,0
JP Faulkner (AUS),2,2,7,0,78,1,1-Jan,78,11.14,42,0,0
ST Finn (ENG),2,2,8,0,68,1,Jan-39,68,8.5,48,0,0
AD Mathews (SL),5,1,4,0,33,1,1-Jan,33,8.25,24,0,0
GJ Maxwell (AUS),3,3,5,0,39,1,17-Jan,39,7.8,30,0,0
Mohammad Shahid (BDESH),1,1,3,0,32,1,1-Jan,32,10.66,18,0,0
Sandeep Sharma (INDIA),2,2,7,0,73,1,1-Jan,73,10.42,42,0,0
Shuvagata Hom (BDESH),2,1,3,0,18,1,Jan-18,18,6,18,0,0
TG Southee (NZ),1,1,4,0,45,1,1-Jan,45,11.25,24,0,0
MA Starc (AUS),1,1,4,0,32,1,1-Jan,32,8,24,0,0
AJ Tye (AUS),2,2,8,0,79,1,28-Jan,79,9.87,48,0,0
JDF Vandersay (SL),4,4,12,0,115,1,30-Jan,115,9.58,72,0,0
GH Worker (NZ),2,1,2,0,19,1,19-Jan,19,9.5,12,0,0
TD Astle (NZ),2,2,4,0,41,0,-,-,10.25,-,0,0
SM Boland (AUS),2,2,7,0,64,0,-,-,9.14,-,0,0
M de Lange (SA),1,1,4,0,47,0,-,-,11.75,-,0,0
TM Dilshan (SL),8,2,3,0,24,0,-,-,8,-,0,0
CRD Fernando (SL),1,1,2,0,7,0,-,-,3.5,-,0,0
DAS Gunaratne (SL),1,1,2.5,0,22,0,-,-,7.76,-,0,0
JW Hastings (AUS),1,1,3,0,35,0,-,-,11.66,-,0,0
TM Head (AUS),2,1,1,0,9,0,-,-,9,-,0,0
RAS Lakmal (SL),1,1,3,0,39,0,-,-,13,-,0,0
NM Lyon (AUS),1,1,1,0,15,0,-,-,15,-,0,0
MR Marsh (AUS),1,1,2,0,21,0,-,-,10.5,-,0,0
M Morkel (SA),1,1,4,0,37,0,-,-,9.25,-,0,0
Mosaddek Hossain (BDESH),1,1,2,0,10,0,-,-,5,-,0,0
Muktar Ali (BDESH),1,1,2,0,17,0,-,-,8.5,-,0,0
C Munro (NZ),9,2,3,0,30,0,-,-,10,-,0,0
S Prasanna (SL),3,3,6,0,35,0,-,-,5.83,-,0,0
KW Richardson (AUS),1,1,4,0,41,0,-,-,10.25,-,0,0
Sohag Gazi (BDESH),1,1,2,0,16,0,-,-,8,-,0,0
Soumya Sarkar (BDESH),8,1,1,0,11,0,-,-,11,-,0,0
MP Stoinis (AUS),1,1,1,0,13,0,-,-,13,-,0,0
SW Tait (AUS),2,2,8,0,91,0,-,-,11.37,-,0,0
I Udana (SL),1,1,3,0,34,0,-,-,11.33,-,0,0
M Vijay (INDIA),2,1,2,0,9,0,-,-,4.5,-,0,0
KS Williamson (NZ),9,1,1,0,9,0,-,-,9,-,0,0
HM Amla (SA),6,-,-,-,-,-,-,-,-,-,-,-
Anamul Haque (BDESH),2,-,-,-,-,-,-,-,-,-,-,-
JM Bairstow (ENG),1,-,-,-,-,-,-,-,-,-,-,-
CT Bancroft (AUS),1,-,-,-,-,-,-,-,-,-,-,-
SW Billings (ENG),6,-,-,-,-,-,-,-,-,-,-,-
JC Buttler (ENG),5,-,-,-,-,-,-,-,-,-,-,-
LD Chandimal (SL),7,-,-,-,-,-,-,-,-,-,-,-
Q de Kock (SA),2,-,-,-,-,-,-,-,-,-,-,-
DM de Silva (SL),2,-,-,-,-,-,-,-,-,-,-,-
AB de Villiers (SA),8,-,-,-,-,-,-,-,-,-,-,-
S Dhawan (INDIA),9,-,-,-,-,-,-,-,-,-,-,-
MS Dhoni (INDIA),9,-,-,-,-,-,-,-,-,-,-,-
N Dickwella (SL),2,-,-,-,-,-,-,-,-,-,-,-
F du Plessis (SA),6,-,-,-,-,-,-,-,-,-,-,-
AJ Finch (AUS),2,-,-,-,-,-,-,-,-,-,-,-
MD Gunathilaka (SL),4,-,-,-,-,-,-,-,-,-,-,-
MJ Guptill (NZ),9,-,-,-,-,-,-,-,-,-,-,-
AD Hales (ENG),6,-,-,-,-,-,-,-,-,-,-,-
Imrul Kayes (BDESH),4,-,-,-,-,-,-,-,-,-,-,-
KM Jadhav (INDIA),2,-,-,-,-,-,-,-,-,-,-,-
CK Kapugedera (SL),7,-,-,-,-,-,-,-,-,-,-,-
UT Khawaja (AUS),1,-,-,-,-,-,-,-,-,-,-,-
V Kohli (INDIA),6,-,-,-,-,-,-,-,-,-,-,-
TWM Latham (NZ),2,-,-,-,-,-,-,-,-,-,-,-
Liton Das (BDESH),3,-,-,-,-,-,-,-,-,-,-,-
CA Lynn (AUS),3,-,-,-,-,-,-,-,-,-,-,-
BB McCullum (NZ),1,-,-,-,-,-,-,-,-,-,-,-
SE Marsh (AUS),2,-,-,-,-,-,-,-,-,-,-,-
DA Miller (SA),8,-,-,-,-,-,-,-,-,-,-,-
Mohammad Mithun (BDESH),1,-,-,-,-,-,-,-,-,-,-,-
EJG Morgan (ENG),6,-,-,-,-,-,-,-,-,-,-,-
Mushfiqur Rahim (BDESH),8,-,-,-,-,-,-,-,-,-,-,-
Nurul Hasan (BDESH),4,-,-,-,-,-,-,-,-,-,-,-
MK Pandey (INDIA),2,-,-,-,-,-,-,-,-,-,-,-
MDKJ Perera (SL),4,-,-,-,-,-,-,-,-,-,-,-
AM Rahane (INDIA),5,-,-,-,-,-,-,-,-,-,-,-
AT Rayudu (INDIA),2,-,-,-,-,-,-,-,-,-,-,-
L Ronchi (NZ),9,-,-,-,-,-,-,-,-,-,-,-
Rony Talukdar (BDESH),1,-,-,-,-,-,-,-,-,-,-,-
JE Root (ENG),5,-,-,-,-,-,-,-,-,-,-,-
RR Rossouw (SA),6,-,-,-,-,-,-,-,-,-,-,-
JJ Roy (ENG),7,-,-,-,-,-,-,-,-,-,-,-
SV Samson (INDIA),1,-,-,-,-,-,-,-,-,-,-,-
RG Sharma (INDIA),9,-,-,-,-,-,-,-,-,-,-,-
