Player,Mat,Inns,Overs,Mdns,Runs,WktsDescending,BBI,Ave,Econ,SR,4,5
R Ashwin (INDIA),9,9,35,1,199,18,8-Apr,11.05,5.68,11.6,1,0
AF Milne (NZ),7,7,27,1,178,14,Apr-37,12.71,6.59,11.5,1,0
KJ Abbott (SA),8,8,28.2,0,208,11,20-Mar,18.9,7.34,15.4,0,0
Al-Amin Hossain (BDESH),5,5,19,0,122,11,20-Mar,11.09,6.42,10.3,0,0
K Rabada (SA),7,7,26.4,0,194,11,30-Mar,17.63,7.27,14.5,0,0
JJ Bumrah (INDIA),7,7,25.3,1,172,10,23-Mar,17.2,6.74,15.3,0,0
GD Elliott (NZ),8,7,15,0,112,10,22-Apr,11.2,7.46,9,1,0
Mustafizur Rahman (BDESH),8,8,31.2,0,189,10,16-Feb,18.9,6.03,18.8,0,0
A Nehra (INDIA),7,7,24,0,183,10,23-Mar,18.3,7.62,14.4,0,0
MJ McClenaghan (NZ),8,8,30,0,231,9,23-Feb,25.66,7.7,20,0,0
RA Jadeja (INDIA),7,7,27,1,172,8,21-Feb,21.5,6.37,20.2,0,0
DJ Willey (ENG),5,5,16.2,0,150,8,22-Mar,18.75,9.18,12.2,0,0
PVD Chameera (SL),6,6,18.5,0,178,7,14-Feb,25.42,9.45,16.1,0,0
Imran Tahir (SA),4,4,15,0,105,7,21-Apr,15,7,12.8,1,0
NLTC Perera (SL),7,6,19,1,165,7,Mar-33,23.57,8.68,16.2,0,0
AM Phangiso (SA),4,4,16,0,120,7,30-Mar,17.14,7.5,13.7,0,0
MJ Santner (NZ),5,5,16,0,102,7,14-Feb,14.57,6.37,13.7,0,0
Shakib Al Hasan (BDESH),8,8,31,0,231,7,Mar-32,33,7.45,26.5,0,0
SL Malinga (SL),4,4,16,0,121,6,16-Feb,20.16,7.56,16,0,0
LE Plunkett (ENG),2,2,8,0,54,6,21-Mar,9,6.75,8,0,0
AU Rashid (ENG),7,6,23,0,166,6,18-Feb,27.66,7.21,23,0,0
SMSM Senanayake (SL),5,5,18,0,164,6,Apr-46,27.33,9.11,18,1,0
D Wiese (SA),6,6,20,0,138,6,12-Feb,23,6.9,20,0,0
MM Ali (ENG),5,5,15,0,102,5,22-Feb,20.4,6.8,18,0,0
Arafat Sunny (BDESH),5,5,16,0,126,5,19-Feb,25.2,7.87,19.2,0,0
TA Boult (NZ),4,4,15,0,131,5,21-Mar,26.2,8.73,18,0,0
MJ Henry (NZ),3,3,12,1,107,5,Mar-44,21.4,8.91,14.4,0,0
Mashrafe Mortaza (BDESH),10,10,38,0,300,5,20-Feb,60,7.89,45.6,0,0
CH Morris (SA),4,4,14.2,0,127,5,16-Feb,25.4,8.86,17.2,0,0
Nasir Hossain (BDESH),5,5,16.5,0,153,5,26-Feb,30.6,9.08,20.2,0,0
AR Patel (INDIA),4,4,15,0,102,5,17-Mar,20.4,6.8,18,0,0
TAM Siriwardana (SL),9,5,11,0,90,5,17-Feb,18,8.18,13.2,0,0
E Leie (SA),2,2,6,0,48,4,16-Mar,12,8,9,0,0
HH Pandya (INDIA),7,7,17,0,137,4,Feb-37,34.25,8.05,25.5,0,0
IS Sodhi (NZ),3,3,12,0,75,4,27-Feb,18.75,6.25,18,0,0
BA Stokes (ENG),4,4,14,1,104,4,24-Feb,26,7.42,21,0,0
RJW Topley (ENG),4,4,13,0,118,4,24-Mar,29.5,9.07,19.5,0,0
Abu Hider (BDESH),2,2,8,0,73,3,Feb-40,24.33,9.12,16,0,0
CJ Anderson (NZ),5,3,8,0,61,3,17-Feb,20.33,7.62,16,0,0
B Fernando (SL),2,2,7.2,0,71,3,Feb-33,23.66,9.68,14.6,0,0
CJ Jordan (ENG),4,4,14.4,0,147,3,23-Mar,49,10.02,29.3,0,0
