Player,Mat,Inns,Overs,Mdns,Runs,WktsDescending,BBI,Ave,Econ,SR,4,5
DW Steyn (SA),4,4,14,0,130,3,1-Feb,43.33,9.28,28,0,0
AJ Turner (AUS),3,3,6,0,42,3,12-Feb,14,7,12,0,0
I Udana (SL),2,2,6.3,0,62,3,13-Mar,20.66,9.53,13,0,0
JDF Vandersay (SL),3,3,12,1,62,3,26-Feb,20.66,5.16,24,0,0
KS Williamson (NZ),9,3,7,0,28,3,16-Feb,9.33,4,14,0,0
Yuvraj Singh (INDIA),12,4,8,0,43,3,10-Jan,14.33,5.37,16,0,0
CJ Anderson (NZ),9,5,12,0,84,2,1-Feb,42,7,36,0,0
F Behardien (SA),6,1,3,0,15,2,15-Feb,7.5,5,9,0,0
PJ Cummins (AUS),3,3,10,0,77,2,28-Jan,38.5,7.7,30,0,0
RAS Lakmal (SL),4,4,10.4,0,112,2,18-Jan,56,10.5,32,0,0
GJ Maxwell (AUS),9,9,19,0,168,2,18-Feb,84,8.84,57,0,0
Mosaddek Hossain (BDESH),3,3,7.4,0,58,2,22-Jan,29,7.56,23,0,0
AR Patel (INDIA),3,3,12,0,59,2,Jan-18,29.5,4.91,36,0,0
JA Richardson (AUS),2,2,6,0,62,2,24-Jan,31,10.33,18,0,0
JE Root (ENG),12,3,3,0,32,2,9-Feb,16,10.66,9,0,0
Sabbir Rahman (BDESH),15,2,3,0,16,2,5-Jan,8,5.33,9,0,0
AC Agar (AUS),2,2,3,0,43,1,25-Jan,43,14.33,18,0,0
DM de Silva (SL),5,3,4,0,23,1,Jan-18,23,5.75,24,0,0
R Dhawan (INDIA),1,1,4,0,42,1,1-Jan,42,10.5,24,0,0
JP Duminy (SA),8,4,7,0,89,1,31-Jan,89,12.71,42,0,0
Harbhajan Singh (INDIA),1,1,4,1,11,1,Jan-18,11,2.75,24,0,0
JR Hazlewood (AUS),3,3,12,0,114,1,26-Jan,114,9.5,72,0,0
TM Head (AUS),5,1,2,0,16,1,16-Jan,16,8,12,0,0
MC Henriques (AUS),5,4,10,0,93,1,24-Jan,93,9.3,60,0,0
MJ Henry (NZ),1,1,4,0,44,1,1-Jan,44,11,24,0,0
GSNFG Jayasuriya (SL),6,3,5,0,43,1,13-Jan,43,8.6,30,0,0
V Kohli (INDIA),15,1,1.4,0,15,1,Jan-18,15,9,10,0,0
Nasir Hossain (BDESH),2,2,5,0,46,1,24-Jan,46,9.2,30,0,0
P Negi (INDIA),1,1,3,0,16,1,16-Jan,16,5.33,18,0,0
Parvez Rasool (INDIA),1,1,4,0,32,1,1-Jan,32,8,24,0,0
SMSM Senanayake (SL),2,2,8,0,85,1,1-Jan,85,10.62,48,0,0
Shuvagata Hom (BDESH),3,3,8,0,53,1,24-Jan,53,6.62,48,0,0
JT Smuts (SA),3,2,4.4,0,41,1,19-Jan,41,8.78,28,0,0
RJW Topley (ENG),4,4,9.1,0,114,1,22-Jan,114,12.43,55,0,0
Abu Hider (BDESH),3,2,3,0,29,0,-,-,9.66,-,0,0
KMC Bandara (SL),1,1,1,0,11,0,-,-,11,-,0,0
STR Binny (INDIA),1,1,1,0,32,0,-,-,32,-,0,0
ST de Silva (SL),3,1,1,0,10,0,-,-,10,-,0,0
N Pradeep (SL),2,2,4,0,37,0,-,-,9.25,-,0,0
MD Gunathilaka (SL),1,1,1,0,9,0,-,-,9,-,0,0
MF Maharoof (SL),1,1,3,0,26,0,-,-,8.66,-,0,0
EMDY Munaweera (SL),3,1,1,0,22,0,-,-,22,-,0,0
C Munro (NZ),9,1,1,0,11,0,-,-,11,-,0,0
JDS Neesham (NZ),2,1,1,0,17,0,-,-,17,-,0,0
D Paterson (SA),2,2,5.5,0,51,0,-,-,8.74,-,0,0
CAK Rajitha (SL),1,1,3,0,46,0,-,-,15.33,-,0,0
RLB Rambukwella (SL),1,1,2.3,0,27,0,-,-,10.8,-,0,0
Saqlain Sajib (BDESH),1,1,3.3,0,40,0,-,-,11.42,-,0,0
Soumya Sarkar (BDESH),15,2,2,0,38,0,-,-,19,-,0,0
TG Southee (NZ),1,1,4,0,47,0,-,-,11.75,-,0,0
B Stanlake (AUS),1,1,3,0,42,0,-,-,14,-,0,0
JD Unadkat (INDIA),1,1,4,0,43,0,-,-,10.75,-,0,0
HM Amla (SA),8,-,-,-,-,-,-,-,-,-,-,-
GJ Bailey (AUS),1,-,-,-,-,-,-,-,-,-,-,-
JM Bairstow (ENG),1,-,-,-,-,-,-,-,-,-,-,-
SW Billings (ENG),5,-,-,-,-,-,-,-,-,-,-,-
TA Blundell (NZ),1,-,-,-,-,-,-,-,-,-,-,-
NT Broom (NZ),1,-,-,-,-,-,-,-,-,-,-,-
TC Bruce (NZ),4,-,-,-,-,-,-,-,-,-,-,-
JC Buttler (ENG),13,-,-,-,-,-,-,-,-,-,-,-
LD Chandimal (SL),14,-,-,-,-,-,-,-,-,-,-,-
TB de Bruyn (SA),2,-,-,-,-,-,-,-,-,-,-,-
Q de Kock (SA),8,-,-,-,-,-,-,-,-,-,-,-
AB de Villiers (SA),10,-,-,-,-,-,-,-,-,-,-,-
S Dhawan (INDIA),8,-,-,-,-,-,-,-,-,-,-,-
MS Dhoni (INDIA),18,-,-,-,-,-,-,-,-,-,-,-
N Dickwella (SL),6,-,-,-,-,-,-,-,-,-,-,-
BR Dunk (AUS),2,-,-,-,-,-,-,-,-,-,-,-
F du Plessis (SA),10,-,-,-,-,-,-,-,-,-,-,-
AJ Finch (AUS),7,-,-,-,-,-,-,-,-,-,-,-
MJ Guptill (NZ),4,-,-,-,-,-,-,-,-,-,-,-
AD Hales (ENG),8,-,-,-,-,-,-,-,-,-,-,-
RR Hendricks (SA),1,-,-,-,-,-,-,-,-,-,-,-
Imrul Kayes (BDESH),4,-,-,-,-,-,-,-,-,-,-,-
KM Jadhav (INDIA),3,-,-,-,-,-,-,-,-,-,-,-
CK Kapugedera (SL),13,-,-,-,-,-,-,-,-,-,-,-
UT Khawaja (AUS),8,-,-,-,-,-,-,-,-,-,-,-
M Klinger (AUS),3,-,-,-,-,-,-,-,-,-,-,-
HG Kuhn (SA),2,-,-,-,-,-,-,-,-,-,-,-
Mandeep Singh (INDIA),3,-,-,-,-,-,-,-,-,-,-,-
