Player,Mat,Inns,NO,RunsDescending,HS,Ave,BF,SR,100,50,0,4s,6s
IS Sodhi (NZ),14,4,1,39,15,13,40,97.5,0,0,1,3,2
AK Kitchen (NZ),5,4,1,38,16,12.66,32,118.75,0,0,0,3,1
RR Pant (INDIA),1,1,0,38,38,38,35,108.57,0,0,0,2,1
BM Wheeler (NZ),3,3,1,37,30,18.5,28,132.14,0,0,0,3,2
F du Plessis (SA),1,1,0,36,36,36,25,144,0,0,0,1,3
CJ Jordan (ENG),8,6,4,35,16*,17.5,26,134.61,0,0,0,1,2
CH Morris (SA),6,5,1,33,12,8.25,31,106.45,0,0,1,3,1
KM Jadhav (INDIA),4,2,0,31,27,15.5,31,100,0,0,0,3,1
JM Vince (ENG),2,2,0,31,21,15.5,28,110.71,0,0,0,2,1
TL Seifert (NZ),4,3,1,29,14*,14.5,20,145,0,0,0,1,3
Tamim Iqbal (BDESH),2,2,0,29,29,14.5,25,116,0,0,1,2,2
Mehidy Hasan Miraz (BDESH),3,3,0,27,14,9,19,142.1,0,0,1,1,2
AJ Turner (AUS),3,3,0,26,18,8.66,21,123.8,0,0,0,1,0
TD Paine (AUS),5,4,1,25,17,8.33,22,113.63,0,0,1,2,1
I Udana (SL),6,4,2,25,19*,12.5,15,166.66,0,0,1,3,1
A Dananjaya (SL),6,3,1,23,11*,11.5,17,135.29,0,0,0,3,0
PC de Silva (SL),2,2,0,22,21,11,22,100,0,0,0,1,0
KMDN Kulasekara (SL),5,3,2,22,12,22,20,110,0,0,0,3,0
JRMVB Sanjaya (SL),8,5,2,20,6,6.66,18,111.11,0,0,0,3,0
SS Pathirana (SL),3,3,0,19,14,6.33,17,111.76,0,0,0,2,0
ML Udawatte (SL),3,3,0,19,11,6.33,23,82.6,0,0,1,2,0
LE Plunkett (ENG),4,4,1,18,18,6,14,128.57,0,0,2,2,0
TA Blundell (NZ),2,2,1,17,14,17,21,80.95,0,0,0,0,0
LA Dawson (ENG),4,2,1,17,10,17,8,212.5,0,0,0,2,1
JP Faulkner (AUS),3,3,1,17,14*,8.5,11,154.54,0,0,0,2,0
JE Root (ENG),1,1,0,17,17,17,19,89.47,0,0,0,2,0
Kuldeep Yadav (INDIA),8,1,0,16,16,16,19,84.21,0,0,0,1,0
LS Livingstone (ENG),2,2,0,16,16,8,19,84.21,0,0,1,1,0
PVD Chameera (SL),3,2,0,15,12,7.5,19-Jan,78.94,0,0,0,2,0
RA Jadeja (INDIA),1,1,1,13,13*,-,8-Jan,162.5,0,0,0,0,1
R Ashwin (INDIA),1,1,1,11,11*,-,7-Jan,157.14,0,0,0,1,0
Mahedi Hasan (BDESH),1,1,0,11,11,11,11-Jan,100,0,0,0,1,0
AU Rashid (ENG),5,3,1,10,8*,5,12-Jan,83.33,0,0,0,1,0
MP Stoinis (AUS),6,2,0,10,6,5,Jan-00,62.5,0,0,0,1,0
MA Wood (ENG),3,2,2,10,5*,-,12-Jan,83.33,0,0,0,1,0
Zakir Hasan (BDESH),1,1,0,10,10,10,9-Jan,111.11,0,0,0,1,0
DT Christian (AUS),1,1,0,9,9,9,13-Jan,69.23,0,0,0,0,0
Liton Das (BDESH),1,1,0,9,9,9,7-Jan,128.57,0,0,0,0,1
